id,source,name,manual_url,manual_error
smsf_c_gender,smsf,c_gender,https://alife-research.app/assets/manual/smsf/c_gender.md,missing
smsf_c_state,smsf,c_state,https://alife-research.app/assets/manual/smsf/c_state.md,missing
itr_oc_total_refundable_offsets,itr,oc_total_refundable_offsets,https://alife-research.app/assets/manual/itr/oc_total_refundable_offsets.md,missing
smsf_ic_adjusted_taxable_income,smsf,ic_adjusted_taxable_income,https://alife-research.app/assets/manual/smsf/ic_adjusted_taxable_income.md,missing
itr_sp_birthday_pre1952,itr,sp_birthday_pre1952,https://alife-research.app/assets/manual/itr/sp_birthday_pre1952.md,The read operation timed out
itr_cs_bus_form_time,itr,cs_bus_form_time,https://alife-research.app/assets/manual/itr/cs_bus_form_time.md,The read operation timed out
smsf_c_state_id,smsf,c_state_id,https://alife-research.app/assets/manual/smsf/c_state_id.md,The read operation timed out
itr_sp_gov_pension,itr,sp_gov_pension,https://alife-research.app/assets/manual/itr/sp_gov_pension.md,<urlopen error [Errno 54] Connection reset by peer>
mcs_sb_mem_bal_apra_public,mcs,sb_mem_bal_apra_public,https://alife-research.app/assets/manual/mcs/sb_mem_bal_apra_public.md,The read operation timed out
itr_in_ess_disc_elgbl,itr,in_ess_disc_elgbl,https://alife-research.app/assets/manual/itr/in_ess_disc_elgbl.md,The read operation timed out
itr_crs_pt_closeheld_trust,itr,crs_pt_closeheld_trust,https://alife-research.app/assets/manual/itr/crs_pt_closeheld_trust.md,The read operation timed out
smsf_sc_residence_disposal_cont,smsf,sc_residence_disposal_cont,https://alife-research.app/assets/manual/smsf/sc_residence_disposal_cont.md,<urlopen error _ssl.c:975: The handshake operation timed out>
itr_mls_income_purpose,itr,mls_income_purpose,https://alife-research.app/assets/manual/itr/mls_income_purpose.md,<urlopen error _ssl.c:975: The handshake operation timed out>
mcs_sb_mem_bal_apra_corporate,mcs,sb_mem_bal_apra_corporate,https://alife-research.app/assets/manual/mcs/sb_mem_bal_apra_corporate.md,<urlopen error [Errno 54] Connection reset by peer>
mcs_sc_other_concess_cont,mcs,sc_other_concess_cont,https://alife-research.app/assets/manual/mcs/sc_other_concess_cont.md,<urlopen error [Errno 54] Connection reset by peer>
smsf_div293_deferred_tax_bal,smsf,div293_deferred_tax_bal,https://alife-research.app/assets/manual/smsf/div293_deferred_tax_bal.md,<urlopen error [Errno 54] Connection reset by peer>
itr_sp_initial_streak_t_minus_1,itr,sp_initial_streak_t_minus_1,https://alife-research.app/assets/manual/itr/sp_initial_streak_t_minus_1.md,<urlopen error [Errno 54] Connection reset by peer>
itr_c_asco_fe,itr,c_asco_fe,https://alife-research.app/assets/manual/itr/c_asco_fe.md,<urlopen error _ssl.c:975: The handshake operation timed out>
mcs_sc_fsi_assessable,mcs,sc_fsi_assessable,https://alife-research.app/assets/manual/mcs/sc_fsi_assessable.md,<urlopen error [Errno 54] Connection reset by peer>
itr_ic_adjusted_taxable_income,itr,ic_adjusted_taxable_income,https://alife-research.app/assets/manual/itr/ic_adjusted_taxable_income.md,<urlopen error [Errno 54] Connection reset by peer>
mcs_div293_tax_cont_payable,mcs,div293_tax_cont_payable,https://alife-research.app/assets/manual/mcs/div293_tax_cont_payable.md,<urlopen error [Errno 54] Connection reset by peer>
itr_f_is_bus_pp,itr,f_is_bus_pp,https://alife-research.app/assets/manual/itr/f_is_bus_pp.md,<urlopen error [Errno 54] Connection reset by peer>
itr_crs_pt_trustee_tax,itr,crs_pt_trustee_tax,https://alife-research.app/assets/manual/itr/crs_pt_trustee_tax.md,<urlopen error [Errno 54] Connection reset by peer>
itr_isn_fmd_early_except,itr,isn_fmd_early_except,https://alife-research.app/assets/manual/itr/isn_fmd_early_except.md,<urlopen error _ssl.c:975: The handshake operation timed out>
smsf_sc_pers_injury,smsf,sc_pers_injury,https://alife-research.app/assets/manual/smsf/sc_pers_injury.md,<urlopen error _ssl.c:975: The handshake operation timed out>
itr_pt_is_frank_dist_trust_npp,itr,pt_is_frank_dist_trust_npp,https://alife-research.app/assets/manual/itr/pt_is_frank_dist_trust_npp.md,<urlopen error _ssl.c:975: The handshake operation timed out>
itr_onra_bto,itr,onra_bto,https://alife-research.app/assets/manual/itr/onra_bto.md,<urlopen error [Errno 54] Connection reset by peer>
itr_tws_psi_no_abn,itr,tws_psi_no_abn,https://alife-research.app/assets/manual/itr/tws_psi_no_abn.md,<urlopen error [Errno 54] Connection reset by peer>
itr_ml_etp_taxed_rate_0,itr,ml_etp_taxed_rate_0,https://alife-research.app/assets/manual/itr/ml_etp_taxed_rate_0.md,<urlopen error [Errno 54] Connection reset by peer>
smsf_sb_mem_bal_apra,smsf,sb_mem_bal_apra,https://alife-research.app/assets/manual/smsf/sb_mem_bal_apra.md,<urlopen error [Errno 54] Connection reset by peer>
itr_d_wre_self_edu,itr,d_wre_self_edu,https://alife-research.app/assets/manual/itr/d_wre_self_edu.md,<urlopen error [Errno 54] Connection reset by peer>
mcs_sn_num_accounts_smsf,mcs,sn_num_accounts_smsf,https://alife-research.app/assets/manual/mcs/sn_num_accounts_smsf.md,<urlopen error [Errno 54] Connection reset by peer>
itr_l_loss_claimed_npp,itr,l_loss_claimed_npp,https://alife-research.app/assets/manual/itr/l_loss_claimed_npp.md,<urlopen error _ssl.c:975: The handshake operation timed out>
itr_on_spouse_housekeeper_cd,itr,on_spouse_housekeeper_cd,https://alife-research.app/assets/manual/itr/on_spouse_housekeeper_cd.md,<urlopen error _ssl.c:975: The handshake operation timed out>
itr_ds_film_incentive,itr,ds_film_incentive,https://alife-research.app/assets/manual/itr/ds_film_incentive.md,<urlopen error _ssl.c:975: The handshake operation timed out>
smsf_sc_tot_cont_apra_public,smsf,sc_tot_cont_apra_public,https://alife-research.app/assets/manual/smsf/sc_tot_cont_apra_public.md,<urlopen error _ssl.c:975: The handshake operation timed out>
itr_it_rept_fringe_benefit,itr,it_rept_fringe_benefit,https://alife-research.app/assets/manual/itr/it_rept_fringe_benefit.md,<urlopen error _ssl.c:975: The handshake operation timed out>
itr_sp_rept_fringe_benefit_nexe,itr,sp_rept_fringe_benefit_nexe,https://alife-research.app/assets/manual/itr/sp_rept_fringe_benefit_nexe.md,<urlopen error [Errno 54] Connection reset by peer>
itr_onra_excess_non_concess_cont,itr,onra_excess_non_concess_cont,https://alife-research.app/assets/manual/itr/onra_excess_non_concess_cont.md,<urlopen error [Errno 54] Connection reset by peer>
smsf_sc_empl_cont_epsss,smsf,sc_empl_cont_epsss,https://alife-research.app/assets/manual/smsf/sc_empl_cont_epsss.md,<urlopen error _ssl.c:975: The handshake operation timed out>
