"dataset","source_label","url","summary"
"A&T","DEWR Australian Apprenticeships","https://www.dewr.gov.au/australian-apprenticeships","Explains Australian apprenticeships, traineeships, support services and program context."
"ACLD","ABS ACLD overview","https://www.abs.gov.au/statistics/data-integration/integrated-data/australian-census-longitudinal-dataset-acld","Explains the Census panels, linked waves, sample coverage and access arrangements."
"AEDC","Department of Education AEDC","https://www.education.gov.au/early-childhood/about/data-and-reports/australian-early-development-census","Explains the national census, covered children, five development domains and collection method."
"AIR","Department of Health AIR","https://www.health.gov.au/topics/immunisation/immunisation-information-for-health-professionals/using-the-australian-immunisation-register","Defines AIR coverage, vaccination information, reporting requirements and uses."
"AMEP","Home Affairs AMEP","https://immi.homeaffairs.gov.au/settling-in-australia/amep/overview","Explains program eligibility, tuition services and the population represented by AMEP data."
"APSED","APSC APSED overview","https://www.apsc.gov.au/initiatives-and-programs/workforce-information/workforce-data/aps-employment-database-apsed","Defines APSED coverage, contents, collection process, public releases and PLIDA availability."
"ATO_CR","ABS PLIDA data and legislation","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation","Describes the Client Register as demographic information about people registered for a tax file number."
"ATO_MCS","ATO MCS specification","https://softwaredevelopers.ato.gov.au/MCSspecification","Provides the official electronic-reporting specification and field definitions for member contribution statements."
"BIRTHS","ABS births methodology","https://www.abs.gov.au/methodologies/births-australia-methodology/2024","Defines registered-birth scope, source registries, collection method, geography and quality limitations."
"BLADE","ABS BLADE overview","https://www.abs.gov.au/statistics/data-integration/integrated-data/business-longitudinal-analysis-data-environment-blade","Defines BLADE coverage, contributing administrative and survey sources, uses and access."
"BUSOWN","ABS PLIDA Modular Product","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida","Provides the official PLIDA data item list and explains person-to-business links with BLADE."
"CENSUS","ABS Census microdata","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/census-population-and-housing","Describes Census microdata products, variables, data quality and access."
"CGT","ATO capital gains tax overview","https://www.ato.gov.au/individuals-and-families/investments-and-assets/capital-gains-tax/what-is-capital-gains-tax","Explains CGT events, capital gains and losses, affected assets and tax-return reporting."
"COMBINED","ABS PLIDA Modular Product","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida","Provides the official PLIDA data item list and information about consolidated demographic variables."
"CORE","ABS PLIDA Modular Product","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida","Defines the five Core modules, their contents, access and supporting documentation."
"DEATHS","ABS deaths methodology","https://www.abs.gov.au/methodologies/deaths-australia-methodology/2024","Defines registered-death scope, source registries, collection method and processing."
"DEX","DSS Data Exchange policy","https://dex.dss.gov.au/policy","Explains the administrative-data collection, client and service reporting, outcomes and privacy controls."
"DOMINO","DSS research-dataset metadata","https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets","Defines DOMINO, its longitudinal social-security coverage and official metadata catalogue."
"ERS","ABS PLIDA data and legislation","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation","Identifies the linked COVID-19 early-release dataset and its scheme coverage."
