"asset","collection_type","dataset","dataset_name","supplier","supplier_name","custodian","dataset_description","reference_period","update_frequency","information_source","information_url","information_summary","metadata_source","metadata_vintage"
"BLADE","administrative_and_survey","BLADE","Business Longitudinal Analysis Data Environment","ABS","Australian Bureau of Statistics","ABS","Business-level longitudinal data from administrative and survey sources.","Table-specific; periods are recorded by variable_info().","","ABS BLADE overview","https://www.abs.gov.au/statistics/data-integration/integrated-data/business-longitudinal-analysis-data-environment-blade","Defines BLADE coverage, contributing administrative and survey sources, uses and access.","BLADE Data Item List","April 2026"
"PLIDA","administrative","A&T","Apprentice and Trainee","DEWR","Department of Employment and Workplace Relations","DEWR","Information about Australian Apprentices and their employers.","2006 to 2023","Annual","DEWR Australian Apprenticeships","https://www.dewr.gov.au/australian-apprenticeships","Explains Australian apprenticeships, traineeships, support services and program context.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","ACLD","Australian Census Longitudinal Dataset","ABS","Australian Bureau of Statistics","ABS","A 5% sample of longitudinally linked 2011 and 2016 Census records.","2011 to 2021","Follows ABS publication","ABS ACLD overview","https://www.abs.gov.au/statistics/data-integration/integrated-data/australian-census-longitudinal-dataset-acld","Explains the Census panels, linked waves, sample coverage and access arrangements.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","AEDC","Australian Early Development Census","DE","Department of Education","DE","Information from the AEDC, a nationwide collection of early childhood development at the time children commence their first year of full-time school.","2009, 2012, 2015, 2018, 2021, 2024","3-yearly","Department of Education AEDC","https://www.education.gov.au/early-childhood/about/data-and-reports/australian-early-development-census","Explains the national census, covered children, five development domains and collection method.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","AIR","Australian Immunisation Register","DHDA","Department of Health, Disability and Ageing","DHDA","Information about vaccinations provided to people, as recorded in the Australian Immunisation Register.","2010 to current","Monthly","Department of Health AIR","https://www.health.gov.au/topics/immunisation/immunisation-information-for-health-professionals/using-the-australian-immunisation-register","Defines AIR coverage, vaccination information, reporting requirements and uses.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","AMEP","Adult Migrant English Program","HA","Department of Home Affairs","HA","Information about participants in the Adult Migrant English Program, a free service to help eligible migrants improve their English language skills.","2003 to 2019","Not scheduled","Home Affairs AMEP","https://immi.homeaffairs.gov.au/settling-in-australia/amep/overview","Explains program eligibility, tuition services and the population represented by AMEP data.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","APSED","APS Employment Dataset","APSC","Australian Public Service Commission","APSC","Employment data of all current and former APS employees.","2005-2006 to 2023-2024","Not scheduled","APSC APSED overview","https://www.apsc.gov.au/initiatives-and-programs/workforce-information/workforce-data/aps-employment-database-apsed","Defines APSED coverage, contents, collection process, public releases and PLIDA availability.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","ATO_CR","ATO Client Register","ATO","Australian Taxation Office","ATO","Demographic information about persons who have registered for an Australian Tax File Number with the ATO.","1999 to current","Annual","ABS PLIDA data and legislation","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation","Describes the Client Register as demographic information about people registered for a tax file number.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","ATO_MCS","Member Contributions Statement","ATO","Australian Taxation Office","ATO","Information on contributions received for each superannuation fund member during a financical year.","1999-2000 to 2017-2018","Not scheduled","ATO MCS specification","https://softwaredevelopers.ato.gov.au/MCSspecification","Provides the official electronic-reporting specification and field definitions for member contribution statements.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","BIRTHS","Birth Registrations","RBDM","Registry of Births, Deaths, and Marriages","ABS","Information on persons born in Australia and their parents, including demographics and location information.","2006 to 2023","Follows ABS publication","ABS births methodology","https://www.abs.gov.au/methodologies/births-australia-methodology/2024","Defines registered-birth scope, source registries, collection method, geography and quality limitations.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","BUSOWN","Business Ownership","ATO","Australian Taxation Office","ATO","Concordances to enable MADIP data about sole traders and partnership beneficiaries to be linked to BLADE data about the businesses they operate.","2009-2010 to 2023-2024","Annual","ABS PLIDA Modular Product","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida","Provides the official PLIDA data item list and explains person-to-business links with BLADE.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","CENSUS","Census of Population and Housing","ABS","Australian Bureau of Statistics","ABS","Information from the ABS Census of Population and Housing, including person, family, and dwelling information.","2011, 2016, 2021","Follows ABS publication","ABS Census microdata","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/census-population-and-housing","Describes Census microdata products, variables, data quality and access.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","CGT","Capital Gains Tax","ATO","Australian Taxation Office","ATO","Information about capital gains tax paid by persons or sole traders on profits from disposing of assets such as property, shares and crypto assets.","2000-2001 to 2022-2023","Annual","ATO capital gains tax overview","https://www.ato.gov.au/individuals-and-families/investments-and-assets/capital-gains-tax/what-is-capital-gains-tax","Explains CGT events, capital gains and losses, affected assets and tax-return reporting.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","COMBINED","Combined Demographics – Indigenous status","Multiple","Multiple agencies","Multiple","Derived Indigenous status from Census, DOMINO Centrelink Administrative, and Death Registrations data. Subject to review.","2006 to current","Annual","ABS PLIDA Modular Product","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida","Provides the official PLIDA data item list and information about consolidated demographic variables.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","CORE","Core Demographics | Core Income | Core Locations | Core Relationships | Core Scoping","Multiple","Multiple agencies","Multiple","Demographic information combined from multiple sources by the ABS. | Income information combined from multiple sources by the ABS. | Location information combined from multiple sources by the ABS. | Relationships informaiton combined from multiple sources by the ABS. | Vitals, residence, and activity information combined from multiple sources by the ABS which can be used to scope the PLIDA population to a point in time.","2006 to current","Annual","ABS PLIDA Modular Product","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida","Defines the five Core modules, their contents, access and supporting documentation.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","DEATHS","Death Registrations","RBDM","Registry of Births, Deaths, and Marriages","ABS","Information on persons who have died in Australia, including cause of death and demographics.","2007 to 2024","Follows ABS publication","ABS deaths methodology","https://www.abs.gov.au/methodologies/deaths-australia-methodology/2024","Defines registered-death scope, source registries, collection method and processing.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","DEX","Data Exchange","DSS","Department of Social Services","DSS","Information about clients of select programs funded by government grants, reported through the DSS Data Exchange.","2015 to 2024","Annual","DSS Data Exchange policy","https://dex.dss.gov.au/policy","Explains the administrative-data collection, client and service reporting, outcomes and privacy controls.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","DOMINO","DOMINO Centrelink Administrative Data","DSS","Department of Social Services","DSS","Information about people who have interacted with Centrelink, including demographics, eligibility for Centrelink benefits, and actual benefits received.","2000 to current","Quarterly","DSS research-dataset metadata","https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets","Defines DOMINO, its longitudinal social-security coverage and official metadata catalogue.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","ERS","COVID-19 Early Release of Super scheme","ATO","Australian Taxation Office","ATO","Information about individuals' requests of early release of their superannuation under the COVID-19 Early Release to Super scheme.","2020","Ceased","ABS PLIDA data and legislation","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation","Identifies the linked COVID-19 early-release dataset and its scheme coverage.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","HE","Higher Education","DE","Department of Education","DE","Information about enrolments, completions, courses, and loan amounts for students studying at Australian higher education institutions.","2005 to 2021","Not scheduled","Department of Education student data","https://www.education.gov.au/higher-education-statistics/student-data","Defines the annual higher-education student collection and lists its principal variables.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","JK","JobKeeper Payment","ATO","Australian Taxation Office","ATO","Information about payments to eligible persons under the JobKeeper Payment scheme.","2020 to 2021","Ceased","ABS PLIDA data and legislation","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation","Describes the linked JobKeeper subsidy-payment information and reference period.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","JM","JobMaker Hiring Credit scheme","ATO","Australian Taxation Office","ATO","Information about payments made for eligible employees under the JobMaker Hiring Credit Scheme.","2020 to 2023","Ceased","ABS PLIDA data and legislation","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation","Describes the employer and employee information in the JobMaker Hiring Credit dataset.","PLIDA Data Item List","19 March 2026"
"PLIDA","survey","LFS","Longitudinal Labour Force Survey","ABS","Australian Bureau of Statistics","ABS","Person-month longitudinal labour force survey information for Australia’s resident civilian population aged 15 years and over.","1964 to current","Monthly/quarterly","ABS Longitudinal Labour Force microdata","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/longitudinal-labour-force-australia","Describes the survey scope, longitudinal file structure, coverage and data item list.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","MBS","Medicare Benefits Schedule","DHDA","Department of Health, Disability and Ageing","DHDA","Information about claims processed for subsidised health services provided to people under the Medicare Benefits Schedule.","2006 to current","Quarterly","MBS Online","https://www.mbsonline.gov.au/","Provides the official schedule of Medicare-subsidised services, items and explanatory material.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","MCD","Medicare Consumer Directory","SA","Services Australia","Multiple","Demographic information about persons who have registered for a Medicare number with Services Australia.","2006 to 2025","Annual","ABS PLIDA data and legislation","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation","Defines the Medicare Consumer Directory population as people with active Medicare enrolment.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","MT_DEMOGS","Migrant and Traveller Demographics","HA","Department of Home Affairs","HA","Demographic and location information about persons who have migrated or travelled to or from Australia","1990 to 2023","Annual","ABS PLIDA data and legislation","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation","Describes Home Affairs client information for Australian-born citizens and temporary and permanent migrants.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","NACDC","National Aged Care Data Clearinghouse","AIHW","Australian Institute of Health and Welfare","DHDA","Information on people receiving aged care and the services and organisations providing care.","2015 to current","Quarterly","AIHW NACDC overview","https://www.gen-agedcaredata.gov.au/about-our-data/national-aged-care-data-clearinghouse","Defines the clearinghouse, its aged-care populations, program coverage, periods and access.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","NDIS","National Disability Insurance Scheme","NDIA","National Disability Insurance Agency","NDIA","Information about participants, applicants, carers, providers, supports, outcomes, and payments in the National Disability Insurance Scheme.","2013 to current","Quarterly","NDIA datasets","https://dataresearch.ndis.gov.au/datasets","Describes participant, provider, market and payment datasets and links to data definitions.","PLIDA Data Item List","19 March 2026"
"PLIDA","survey","NHS","National Health Survey","ABS","Australian Bureau of Statistics","ABS","Information about the health and wellbeing of people in Australia, such as medical conditions, health and lifestyle risk-factors, mental health, and use of health services.","2014-2015, 2017-2018, 2020-2021, 2022-2023","Follows ABS publication","ABS National Health Survey microdata","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/national-health-survey","Provides survey content, file structure, available releases and data item lists.","PLIDA Data Item List","19 March 2026"
"PLIDA","survey","NSMHW","National Study of Mental Health and Wellbeing","ABS","Australian Bureau of Statistics","ABS","Information on the mental health and wellbeing of people in Australia, including prevalence of selected mental disorders, level of impairment, health service usage, suicidality and self-harm behavious, and demographic and socio-economic characteristics.","2020 to 2022","Follows ABS publication","ABS mental-health-study microdata","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/national-study-mental-health-and-wellbeing","Provides collection scope, mental-health topics, file structure and data item lists.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","PBS","Pharmaceutical Benefits Scheme","DHDA","Department of Health, Disability and Ageing","DHDA","Information about medicines provided to people under the Pharmaceutical Benefits Scheme.","2006 to current","Quarterly","PBS overview","https://www.pbs.gov.au/about","Explains the medicine subsidy program and links to listings, statistics and supporting information.","PLIDA Data Item List","19 March 2026"
"PLIDA","survey","PEX","Patient Experience Survey","ABS","Australian Bureau of Statistics","ABS","Information on peoples' experiences of and access and barriers to healthcare services including GPs, specialists, dental professionals, hospitals, and emergency departments.","2023 to 2024","Follows ABS publication","ABS Patient Experiences microdata","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/patient-experiences-australia","Describes health-service experience variables, survey scope, weighting and file structure.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","PIT_IE","ABS Derived Income","ATO","Australian Taxation Office","ATO","Information on income derived by the ABS from ITR and PS data to align with ABS income definitions.","2010-2011 to 2023-2024","Annual","ABS administrative income sources","https://www.abs.gov.au/statistics/detailed-methodology-information/concepts-sources-methods/administrative-income-comparison-studies/2019-20-2021/administrative-data-sources","Explains ABS administrative-income concepts, source datasets and data-quality context.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","PIT_ITR","Income Tax Return","ATO","Australian Taxation Office","ATO","Information from individual income tax returns submitted to the ATO, including income, losses, deductions, expenses, offsets, tax withheld and debts.","1999-2000 to 2023-2024","Annual","ABS administrative income sources","https://www.abs.gov.au/statistics/detailed-methodology-information/concepts-sources-methods/administrative-income-comparison-studies/2019-20-2021/administrative-data-sources","Describes annual individual tax-return information, coverage, timing and non-lodgement limitations.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","PIT_PS","Payment Summaries","ATO","Australian Taxation Office","ATO","Information from payment summaries provided by employers to their employees and submitted to the ATO, including payments and the amounts withheld from those payments.","2001-2002 to 2022-2023","Annual","ABS administrative income sources","https://www.abs.gov.au/statistics/detailed-methodology-information/concepts-sources-methods/administrative-income-comparison-studies/2019-20-2021/administrative-data-sources","Describes payment-summary income, withholding information, coverage and limitations.","PLIDA Data Item List","19 March 2026"
"PLIDA","administrative","RPS","Rental Property Schedule","ATO","Australian Taxation Office","ATO","Information about rental property income and expenses for individuals, trusts and partnerships.","1999-2000 to 2022-2023","Annual","ATO residential rental properties","https://www.ato.gov.au/individuals-and-families/investments-and-assets/property-and-land/residential-rental-properties","Explains rental income, expenses, deductions and the records reported through tax returns.","PLIDA Data Item List","19 March 2026"
