"frame_id","display_order","code","label","value_kind"
"ACLD001",1,"1","Currently serving in the regular service only","substantive"
"ACLD001",2,"2","Currently serving in the reserves service only","substantive"
"ACLD001",3,"3","Currently serving in the regular service and previously served in the reserves service","substantive"
"ACLD001",4,"4","Currently serving in the reserves service and previously served in the regular service","substantive"
"ACLD001",5,"5","Previously served in the regular service only","substantive"
"ACLD001",6,"6","Previously served in the reserves service only","substantive"
"ACLD001",7,"7","Previously served in both the regular and reserves service","substantive"
"ACLD001",8,"8","Has never served in the Australian Defence Force","substantive"
"ACLD001",9,"97","Not stated","not_stated"
"ACLD001",10,"98","Not applicable","not_applicable"
"ACLD001",11,"99","Unlinked record","unlinked"
"ACLD002",1,"1","Currently serving in the regular service","substantive"
"ACLD002",2,"2","Currently serving in the reserves service","substantive"
"ACLD002",3,"3","Not currently serving (but has previously served in the Australian Defence Force)","substantive"
"ACLD002",4,"4","Has never served in the Australian Defence Force","substantive"
"ACLD002",5,"97","Not stated","not_stated"
"ACLD002",6,"98","Not applicable","not_applicable"
"ACLD002",7,"99","Unlinked record","unlinked"
"ACLD003",1,"0-110","0 to 110 years of age singly","range"
"ACLD003",2,"999","Unlinked record","unlinked"
"ACLD004",1,"0-105","0 to 105 years of age singly","range"
"ACLD004",2,"999","Unlinked record","unlinked"
"ACLD005",1,"0","0 years","substantive"
"ACLD005",2,"1","1 year","substantive"
"ACLD005",3,"2","2 years","substantive"
"ACLD005",4,"3","3 years","substantive"
"ACLD005",5,"4","4 years","substantive"
"ACLD005",6,"5","5 years","substantive"
"ACLD005",7,"6","6 years","substantive"
"ACLD005",8,"7","7 years","substantive"
"ACLD005",9,"8","8 years","substantive"
"ACLD005",10,"9","9 years","substantive"
"ACLD005",11,"10","10 years","substantive"
"ACLD005",12,"11","11 years","substantive"
"ACLD005",13,"12","12 years","substantive"
"ACLD005",14,"13","13 years","substantive"
"ACLD005",15,"14","14 years","substantive"
"ACLD005",16,"15","15 years","substantive"
"ACLD005",17,"16","16 years","substantive"
"ACLD005",18,"17","17 years","substantive"
"ACLD005",19,"18","18 years","substantive"
"ACLD005",20,"19","19 years","substantive"
"ACLD005",21,"20","20 years","substantive"
"ACLD005",22,"21","21 years","substantive"
"ACLD005",23,"22","22 years","substantive"
"ACLD005",24,"23","23 years","substantive"
"ACLD005",25,"24","24 years","substantive"
"ACLD005",26,"25","25 years","substantive"
"ACLD005",27,"26","26 years","substantive"
"ACLD005",28,"27","27 years","substantive"
"ACLD005",29,"28","28 years","substantive"
"ACLD005",30,"29","29 years","substantive"
"ACLD005",31,"30","30 years","substantive"
"ACLD005",32,"31","31 years","substantive"
"ACLD005",33,"32","32 years","substantive"
"ACLD005",34,"33","33 years","substantive"
"ACLD005",35,"34","34 years","substantive"
"ACLD005",36,"35","35 years","substantive"
"ACLD005",37,"36","36 years","substantive"
"ACLD005",38,"37","37 years","substantive"
"ACLD005",39,"38","38 years","substantive"
"ACLD005",40,"39","39 years","substantive"
