code	insurer	membership_type	source_url	source_retrieved_date	scope_note
ACA	ACA Health Benefits Fund	Restricted	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
AHB	Defence Health Limited	Restricted	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
AHM	ahm health insurance	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
AMA	Doctors' Health Fund	Restricted	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
AUF	Australian Unity Health Limited	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
BUP	Bupa HI Pty Ltd	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
CBH	CBHS Health Fund Limited	Restricted	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
CDH	CDH Benefits Fund	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
CPS	see-u by HBF	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
FAI	GU Health	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
GMH	GMHBA Limited	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
HBF	HBF Health Limited	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
HCF	HCF	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
HCI	HCi	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
HIF	Health Insurance Fund of Australia Limited	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
LHM	Peoplecare Health Insurance	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
LHS	Latrobe Health Services	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
MBP	Medibank Private Limited	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
MDH	Mildura Health Fund	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
MYO	AIA Health Insurance Pty Ltd	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
NHB	Navy Health Ltd	Restricted	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
NIB	nib Health Funds Ltd.	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
NTF	Teachers Health	Restricted	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
OMF	National Health Benefits Australia Pty Ltd (onemedifund)	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
PWA	Phoenix Health Fund Limited	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
QCH	Queensland Country Health Fund	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
QTU	TUH, part of the Teachers Health Group	Restricted	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
RBH	Reserve Bank Health Society Ltd	Restricted	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
RTE	RT Health - a division of The Hospitals Contribution Fund	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
SLM	St Lukes	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
SPE	Police Health	Restricted	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
SPS	Health Partners	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
WFD	Westfund Limited	Open	https://www.privatehealth.gov.au/dynamic/Insurer/Index/	2026-08-03	Current Australian Government insurer register; not a verified historical financial-year snapshot.
