"year","variable","code","label","value_kind","source_sheet","source_url"
2011,"AGEP","0-84","0-84 years singly","range","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"AGEP","85","85 years and over","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","1","Oceanian, n.f.d.","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","2","Australian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","3","Australian Aboriginal","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","4","Other Australian Peoples","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","5","Maori","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","6","New Zealand peoples, n.f.d., New Zealander","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","7","Melanesian and Papuan","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","8","Micronesian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
