year	layer	code	name	state
2011	NRMR	101	101	
2011	NRMR	102	102	
2011	NRMR	103	103	
2011	NRMR	104	104	
2011	NRMR	105	105	
2011	NRMR	106	106	
2011	NRMR	107	107	
2011	NRMR	108	108	
2011	NRMR	109	109	
2011	NRMR	110	110	
2011	NRMR	111	111	
2011	NRMR	112	112	
2011	NRMR	113	113	
2011	NRMR	114	114	
2011	NRMR	201	201	
2011	NRMR	202	202	
2011	NRMR	203	203	
2011	NRMR	204	204	
2011	NRMR	205	205	
2011	NRMR	206	206	
2011	NRMR	207	207	
2011	NRMR	208	208	
2011	NRMR	209	209	
2011	NRMR	210	210	
2011	NRMR	301	301	
2011	NRMR	302	302	
2011	NRMR	303	303	
2011	NRMR	304	304	
2011	NRMR	305	305	
2011	NRMR	306	306	
2011	NRMR	307	307	
2011	NRMR	308	308	
2011	NRMR	309	309	
2011	NRMR	310	310	
2011	NRMR	311	311	
2011	NRMR	312	312	
2011	NRMR	313	313	
2011	NRMR	314	314	
2011	NRMR	315	315	
2011	NRMR	401	401	
2011	NRMR	402	402	
2011	NRMR	403	403	
2011	NRMR	404	404	
2011	NRMR	405	405	
2011	NRMR	406	406	
2011	NRMR	407	407	
2011	NRMR	408	408	
2011	NRMR	501	501	
2011	NRMR	502	502	
2011	NRMR	503	503	
2011	NRMR	504	504	
2011	NRMR	505	505	
2011	NRMR	506	506	
2011	NRMR	601	601	
2011	NRMR	602	602	
2011	NRMR	603	603	
2011	NRMR	701	701	
2011	NRMR	801	801	
2011	NRMR	901	901	
2011	NRMR	902	902	
2011	NRMR	903	903	
2011	RA	10	10	1
2011	RA	11	11	1
2011	RA	12	12	1
2011	RA	13	13	1
2011	RA	14	14	1
2011	RA	20	20	2
2011	RA	21	21	2
2011	RA	22	22	2
2011	RA	23	23	2
2011	RA	30	30	3
2011	RA	31	31	3
2011	RA	32	32	3
2011	RA	33	33	3
2011	RA	34	34	3
2011	RA	40	40	4
2011	RA	41	41	4
2011	RA	42	42	4
2011	RA	43	43	4
2011	RA	44	44	4
2011	RA	50	50	5
2011	RA	51	51	5
2011	RA	52	52	5
2011	RA	53	53	5
2011	RA	54	54	5
2011	RA	61	61	6
2011	RA	62	62	6
2011	RA	63	63	6
2011	RA	64	64	6
2011	RA	72	72	7
2011	RA	73	73	7
2011	RA	74	74	7
2011	RA	80	80	8
2011	RA	81	81	8
2011	RA	91	91	9
2011	RA	94	94	9
2011	SA1	1100101	1100101	1
2011	SA1	1100102	1100102	1
2011	SA1	1100103	1100103	1
2011	SA1	1100104	1100104	1
2011	SA1	1100105	1100105	1
2011	SA1	1100106	1100106	1
2011	SA1	1100107	1100107	1
2011	SA1	1100108	1100108	1
2011	SA1	1100109	1100109	1
2011	SA1	1100110	1100110	1
2011	SA1	1100111	1100111	1
2011	SA1	1100112	1100112	1
2011	SA1	1100113	1100113	1
2011	SA1	1100114	1100114	1
2011	SA1	1100115	1100115	1
2011	SA1	1100116	1100116	1
2011	SA1	1100117	1100117	1
2011	SA1	1100118	1100118	1
2011	SA1	1100119	1100119	1
2011	SA1	1100120	1100120	1
2011	SA1	1100121	1100121	1
2011	SA1	1100122	1100122	1
2011	SA1	1100123	1100123	1
2011	SA1	1100124	1100124	1
2011	SA1	1100125	1100125	1
2011	SA1	1100126	1100126	1
2011	SA1	1100127	1100127	1
2011	SA1	1100128	1100128	1
2011	SA1	1100129	1100129	1
2011	SA1	1100130	1100130	1
2011	SA1	1100131	1100131	1
2011	SA1	1100132	1100132	1
2011	SA1	1100133	1100133	1
2011	SA1	1100134	1100134	1
2011	SA1	1100135	1100135	1
2011	SA1	1100136	1100136	1
2011	SA1	1100137	1100137	1
2011	SA1	1100138	1100138	1
2011	SA1	1100139	1100139	1
