sa2_code	sa3_code	sa4_code	state	mb_count
101021007	10102	101	1	180
101021008	10102	101	1	98
101021009	10102	101	1	173
101021010	10102	101	1	100
101021012	10102	101	1	154
101021610	10102	101	1	66
101021611	10102	101	1	240
101031013	10103	101	1	101
101031014	10103	101	1	128
101031015	10103	101	1	124
101031016	10103	101	1	167
101041017	10104	101	1	211
101041018	10104	101	1	256
101041019	10104	101	1	196
101041020	10104	101	1	309
101041021	10104	101	1	91
101041022	10104	101	1	56
101041023	10104	101	1	82
101041024	10104	101	1	206
101041025	10104	101	1	258
101041026	10104	101	1	206
101041027	10104	101	1	373
101051539	10105	101	1	431
101051540	10105	101	1	359
101061541	10106	101	1	109
101061542	10106	101	1	201
101061543	10106	101	1	209
101061544	10106	101	1	204
102011028	10201	102	1	145
102011029	10201	102	1	212
102011030	10201	102	1	164
102011031	10201	102	1	210
102011032	10201	102	1	410
102011033	10201	102	1	68
102011034	10201	102	1	100
102011035	10201	102	1	88
102011036	10201	102	1	106
102011037	10201	102	1	108
102011038	10201	102	1	121
102011039	10201	102	1	230
102011040	10201	102	1	424
102011041	10201	102	1	144
102011042	10201	102	1	264
102011043	10201	102	1	146
102021044	10202	102	1	284
102021045	10202	102	1	131
102021046	10202	102	1	160
102021047	10202	102	1	223
102021048	10202	102	1	314
102021049	10202	102	1	48
102021050	10202	102	1	180
102021051	10202	102	1	75
102021052	10202	102	1	100
102021053	10202	102	1	355
102021054	10202	102	1	159
102021055	10202	102	1	128
102021056	10202	102	1	189
102021057	10202	102	1	149
103011059	10301	103	1	142
103011060	10301	103	1	150
103011061	10301	103	1	201
103011612	10301	103	1	184
103011613	10301	103	1	170
103021062	10302	103	1	159
103021063	10302	103	1	171
103021064	10302	103	1	133
103021065	10302	103	1	241
103021066	10302	103	1	94
103021067	10302	103	1	196
103021068	10302	103	1	87
103021069	10302	103	1	154
103031070	10303	103	1	231
103031071	10303	103	1	201
103031072	10303	103	1	177
103031073	10303	103	1	146
103031074	10303	103	1	407
103031075	10303	103	1	20
103041076	10304	103	1	131
103041077	10304	103	1	349
103041078	10304	103	1	248
103041079	10304	103	1	226
104011080	10401	104	1	321
104011081	10401	104	1	467
104011082	10401	104	1	415
104021083	10402	104	1	204
104021084	10402	104	1	314
104021085	10402	104	1	227
104021086	10402	104	1	91
104021087	10402	104	1	147
104021088	10402	104	1	158
104021089	10402	104	1	321
104021090	10402	104	1	151
104021091	10402	104	1	297
105011092	10501	105	1	124
105011093	10501	105	1	147
105011094	10501	105	1	101
105011095	10501	105	1	163
105011096	10501	105	1	165
105021097	10502	105	1	316
105021098	10502	105	1	260
105031099	10503	105	1	179
105031100	10503	105	1	189
105031101	10503	105	1	277
105031102	10503	105	1	136
105031103	10503	105	1	123
105031104	10503	105	1	87
105031105	10503	105	1	105
105031106	10503	105	1	173
106011107	10601	106	1	164
106011108	10601	106	1	300
106011109	10601	106	1	173
106011110	10601	106	1	209
106011111	10601	106	1	279
106011112	10601	106	1	248
106011113	10601	106	1	165
106021114	10602	106	1	146
106021116	10602	106	1	86
106021614	10602	106	1	287
106021615	10602	106	1	185
106021616	10602	106	1	113
106021617	10602	106	1	126
106021618	10602	106	1	163
106031119	10603	106	1	108
106031120	10603	106	1	139
106031121	10603	106	1	473
106031122	10603	106	1	218
106031123	10603	106	1	60
106031124	10603	106	1	178
106031125	10603	106	1	191
106041126	10604	106	1	216
106041127	10604	106	1	75
106041128	10604	106	1	96
106041129	10604	106	1	259
107011131	10701	107	1	351
107011132	10701	107	1	122
107011133	10701	107	1	20
107011134	10701	107	1	259
107011545	10701	107	1	210
107011546	10701	107	1	175
107011547	10701	107	1	66
107021135	10702	107	1	42
107031136	10703	107	1	232
107031137	10703	107	1	120
107031138	10703	107	1	136
107031139	10703	107	1	96
107031140	10703	107	1	149
107031141	10703	107	1	238
107031142	10703	107	1	159
107031143	10703	107	1	288
107041144	10704	107	1	310
107041145	10704	107	1	227
107041146	10704	107	1	295
107041147	10704	107	1	139
107041148	10704	107	1	198
107041150	10704	107	1	279
107041548	10704	107	1	270
107041549	10704	107	1	228
108011151	10801	108	1	162
108011152	10801	108	1	322
108011153	10801	108	1	244
108011154	10801	108	1	137
108021155	10802	108	1	235
108021156	10802	108	1	293
108021157	10802	108	1	245
108021158	10802	108	1	169
108021159	10802	108	1	183
108021160	10802	108	1	119
108031161	10803	108	1	16
108041162	10804	108	1	428
108041164	10804	108	1	367
108041165	10804	108	1	171
108041166	10804	108	1	173
108041619	10804	108	1	249
108041620	10804	108	1	256
108051167	10805	108	1	187
108051168	10805	108	1	230
108051169	10805	108	1	370
108051170	10805	108	1	259
108051171	10805	108	1	89
109011172	10901	109	1	242
109011173	10901	109	1	165
109011174	10901	109	1	230
109011175	10901	109	1	310
109011176	10901	109	1	214
109021177	10902	109	1	79
109021178	10902	109	1	114
109021179	10902	109	1	160
109031180	10903	109	1	116
109031181	10903	109	1	222
109031182	10903	109	1	132
109031183	10903	109	1	250
109031184	10903	109	1	99
109031185	10903	109	1	257
110011186	11001	110	1	426
110011187	11001	110	1	150
110011188	11001	110	1	104
110011189	11001	110	1	120
110021190	11002	110	1	204
110021191	11002	110	1	171
110021192	11002	110	1	147
110021193	11002	110	1	173
110021194	11002	110	1	226
110031195	11003	110	1	171
110031196	11003	110	1	120
110031197	11003	110	1	112
110031198	11003	110	1	110
110041199	11004	110	1	195
110041200	11004	110	1	106
110041201	11004	110	1	150
110041202	11004	110	1	273
110041203	11004	110	1	236
110041204	11004	110	1	94
110041205	11004	110	1	358
111011206	11101	111	1	278
111011207	11101	111	1	101
111011208	11101	111	1	374
111011209	11101	111	1	352
111011210	11101	111	1	121
111011211	11101	111	1	48
111011212	11101	111	1	233
111011213	11101	111	1	209
111011214	11101	111	1	206
111021215	11102	111	1	138
111021216	11102	111	1	138
111021217	11102	111	1	186
111021218	11102	111	1	284
111021219	11102	111	1	242
111021220	11102	111	1	159
111021221	11102	111	1	95
111031222	11103	111	1	207
111031223	11103	111	1	130
111031224	11103	111	1	206
111031225	11103	111	1	218
111031226	11103	111	1	193
111031227	11103	111	1	235
111031228	11103	111	1	185
111031229	11103	111	1	227
111031230	11103	111	1	11
111031231	11103	111	1	141
111031232	11103	111	1	119
111031233	11103	111	1	293
111031234	11103	111	1	156
111031235	11103	111	1	165
112011236	11201	112	1	354
112011237	11201	112	1	238
112011238	11201	112	1	77
112011239	11201	112	1	191
112011240	11201	112	1	220
112011241	11201	112	1	139
112011242	11201	112	1	134
112011243	11201	112	1	141
112021244	11202	112	1	179
112021245	11202	112	1	253
112021246	11202	112	1	147
112021247	11202	112	1	181
112021248	11202	112	1	267
112021249	11202	112	1	196
112031250	11203	112	1	239
112031251	11203	112	1	193
112031252	11203	112	1	173
112031253	11203	112	1	246
112031254	11203	112	1	305
112031550	11203	112	1	211
112031551	11203	112	1	37
112031552	11203	112	1	149
113011256	11301	113	1	288
113011257	11301	113	1	378
113011258	11301	113	1	180
113011259	11301	113	1	184
113021260	11302	113	1	143
113021261	11302	113	1	123
113021262	11302	113	1	181
113031263	11303	113	1	147
113031264	11303	113	1	91
113031265	11303	113	1	98
113031266	11303	113	1	218
113031267	11303	113	1	269
113031268	11303	113	1	62
113031269	11303	113	1	300
113031270	11303	113	1	249
113031271	11303	113	1	335
114011272	11401	114	1	169
114011273	11401	114	1	114
114011274	11401	114	1	138
114011275	11401	114	1	36
114011276	11401	114	1	131
114011277	11401	114	1	264
114011278	11401	114	1	332
114011279	11401	114	1	263
114011280	11401	114	1	133
114011281	11401	114	1	63
114011282	11401	114	1	375
114011283	11401	114	1	197
114021284	11402	114	1	225
114021285	11402	114	1	96
114021286	11402	114	1	174
114021287	11402	114	1	172
114021288	11402	114	1	91
114021289	11402	114	1	139
115011290	11501	115	1	247
115011291	11501	115	1	203
115011294	11501	115	1	76
115011296	11501	115	1	135
115011553	11501	115	1	98
115011554	11501	115	1	38
115011555	11501	115	1	134
115011556	11501	115	1	95
115011557	11501	115	1	46
115011558	11501	115	1	184
115011621	11501	115	1	170
115011622	11501	115	1	78
115021297	11502	115	1	237
115021298	11502	115	1	85
115031299	11503	115	1	110
115031300	11503	115	1	215
115041301	11504	115	1	128
115041623	11504	115	1	118
115041624	11504	115	1	131
115041625	11504	115	1	182
116011303	11601	116	1	240
116011304	11601	116	1	196
116011306	11601	116	1	238
116011307	11601	116	1	301
116011560	11601	116	1	116
116011561	11601	116	1	154
116011626	11601	116	1	161
116011627	11601	116	1	139
116021309	11602	116	1	139
116021562	11602	116	1	33
116021563	11602	116	1	219
116021628	11602	116	1	168
116021629	11602	116	1	105
116021630	11602	116	1	163
116021631	11602	116	1	74
116021632	11602	116	1	157
116021633	11602	116	1	108
116031313	11603	116	1	182
116031314	11603	116	1	77
116031315	11603	116	1	187
116031316	11603	116	1	216
116031317	11603	116	1	222
116031318	11603	116	1	19
116031319	11603	116	1	220
117011320	11701	117	1	13
117011321	11701	117	1	124
117011323	11701	117	1	143
117011324	11701	117	1	8
117011325	11701	117	1	3
117011634	11701	117	1	105
117011635	11701	117	1	134
117021327	11702	117	1	260
117021328	11702	117	1	111
117021636	11702	117	1	160
117021637	11702	117	1	193
117031329	11703	117	1	178
117031330	11703	117	1	195
117031331	11703	117	1	274
117031333	11703	117	1	309
117031336	11703	117	1	201
117031638	11703	117	1	109
117031639	11703	117	1	62
117031640	11703	117	1	210
117031641	11703	117	1	80
117031642	11703	117	1	149
117031643	11703	117	1	88
117031644	11703	117	1	192
117031645	11703	117	1	94
117031646	11703	117	1	59
117031647	11703	117	1	92
117031648	11703	117	1	58
118011339	11801	118	1	274
118011340	11801	118	1	291
118011341	11801	118	1	229
118011342	11801	118	1	8
118011344	11801	118	1	147
118011345	11801	118	1	234
118011346	11801	118	1	174
118011347	11801	118	1	118
118011649	11801	118	1	208
118011650	11801	118	1	184
118021564	11802	118	1	134
118021565	11802	118	1	152
118021566	11802	118	1	107
118021567	11802	118	1	132
118021568	11802	118	1	87
118021569	11802	118	1	203
118021570	11802	118	1	169
118021651	11802	118	1	311
118021652	11802	118	1	105
118021653	11802	118	1	119
118021654	11802	118	1	63
119011354	11901	119	1	259
119011355	11901	119	1	23
119011356	11901	119	1	157
119011358	11901	119	1	199
119011360	11901	119	1	184
119011361	11901	119	1	211
119011571	11901	119	1	201
119011572	11901	119	1	206
119011655	11901	119	1	142
119011656	11901	119	1	115
119011657	11901	119	1	115
119011658	11901	119	1	170
119021362	11902	119	1	219
119021366	11902	119	1	205
119021367	11902	119	1	157
119021573	11902	119	1	181
119021574	11902	119	1	105
119021659	11902	119	1	119
119021660	11902	119	1	109
119021661	11902	119	1	102
119021662	11902	119	1	211
119021663	11902	119	1	81
119031370	11903	119	1	172
119031371	11903	119	1	170
119031372	11903	119	1	256
119031373	11903	119	1	115
119031374	11903	119	1	301
119031664	11903	119	1	117
119031665	11903	119	1	109
119031666	11903	119	1	171
119031667	11903	119	1	122
119041377	11904	119	1	180
119041378	11904	119	1	150
119041379	11904	119	1	219
119041380	11904	119	1	220
119041381	11904	119	1	229
119041382	11904	119	1	253
119041668	11904	119	1	157
119041669	11904	119	1	117
119041670	11904	119	1	183
119041671	11904	119	1	43
120011383	12001	120	1	231
120011385	12001	120	1	261
120011386	12001	120	1	272
120011672	12001	120	1	145
120011673	12001	120	1	46
120021387	12002	120	1	228
120021389	12002	120	1	193
120021674	12002	120	1	132
120021675	12002	120	1	225
120031392	12003	120	1	134
120031393	12003	120	1	212
120031394	12003	120	1	218
120031395	12003	120	1	195
120031396	12003	120	1	200
120031576	12003	120	1	49
120031676	12003	120	1	162
120031677	12003	120	1	146
120031678	12003	120	1	160
120031679	12003	120	1	138
120031680	12003	120	1	166
120031681	12003	120	1	102
121011399	12101	121	1	310
121011401	12101	121	1	165
121011682	12101	121	1	115
121011683	12101	121	1	223
121011684	12101	121	1	200
121011685	12101	121	1	164
121011686	12101	121	1	200
121011687	12101	121	1	144
121021403	12102	121	1	247
121021404	12102	121	1	152
121021406	12102	121	1	215
121021577	12102	121	1	163
121021578	12102	121	1	144
121021579	12102	121	1	101
121031407	12103	121	1	251
121031408	12103	121	1	291
121031409	12103	121	1	182
121031410	12103	121	1	241
121031411	12103	121	1	251
121031412	12103	121	1	204
121041413	12104	121	1	300
121041414	12104	121	1	299
121041416	12104	121	1	287
121041417	12104	121	1	193
121041688	12104	121	1	212
121041689	12104	121	1	229
122011418	12201	122	1	264
122011419	12201	122	1	364
122021420	12202	122	1	206
122021421	12202	122	1	138
122021422	12202	122	1	169
122021690	12202	122	1	187
122021691	12202	122	1	113
122031424	12203	122	1	164
122031425	12203	122	1	96
122031427	12203	122	1	144
122031429	12203	122	1	324
122031430	12203	122	1	210
122031432	12203	122	1	62
122031692	12203	122	1	105
122031693	12203	122	1	175
122031694	12203	122	1	112
122031695	12203	122	1	215
122031696	12203	122	1	207
122031697	12203	122	1	140
123011433	12301	123	1	151
123011698	12301	123	1	82
123011699	12301	123	1	154
123011700	12301	123	1	105
123011701	12301	123	1	189
123011702	12301	123	1	93
123021436	12302	123	1	219
123021437	12302	123	1	270
123021438	12302	123	1	241
123021439	12302	123	1	4
123021441	12302	123	1	198
123021443	12302	123	1	222
123021444	12302	123	1	221
123021703	12302	123	1	127
123021704	12302	123	1	108
123021705	12302	123	1	218
123021706	12302	123	1	171
123031445	12303	123	1	57
123031446	12303	123	1	107
123031447	12303	123	1	215
123031448	12303	123	1	99
124011449	12401	124	1	137
124011450	12401	124	1	249
124011451	12401	124	1	18
124011452	12401	124	1	294
124011453	12401	124	1	170
124011454	12401	124	1	273
124011455	12401	124	1	114
124021456	12402	124	1	22
124031457	12403	124	1	186
124031459	12403	124	1	173
124031460	12403	124	1	202
124031461	12403	124	1	208
124031462	12403	124	1	318
124031463	12403	124	1	155
124031464	12403	124	1	257
124031465	12403	124	1	64
124031707	12403	124	1	215
124031708	12403	124	1	111
124041466	12404	124	1	211
124041467	12404	124	1	222
124041468	12404	124	1	86
124051469	12405	124	1	74
124051470	12405	124	1	201
124051580	12405	124	1	133
124051581	12405	124	1	262
125011475	12501	125	1	1
125011582	12501	125	1	150
125011583	12501	125	1	117
125011584	12501	125	1	79
125011585	12501	125	1	80
125011586	12501	125	1	213
125011587	12501	125	1	67
125011709	12501	125	1	125
125011710	12501	125	1	63
125021477	12502	125	1	266
125021478	12502	125	1	215
125021711	12502	125	1	117
125021712	12502	125	1	166
125031479	12503	125	1	194
125031480	12503	125	1	188
125031481	12503	125	1	249
125031483	12503	125	1	241
125031484	12503	125	1	225
125031486	12503	125	1	40
125031487	12503	125	1	17
125031713	12503	125	1	188
125031714	12503	125	1	250
125031715	12503	125	1	113
125031716	12503	125	1	71
125041489	12504	125	1	309
125041490	12504	125	1	111
125041491	12504	125	1	247
125041493	12504	125	1	284
125041494	12504	125	1	125
125041588	12504	125	1	157
125041589	12504	125	1	222
125041717	12504	125	1	110
125041718	12504	125	1	129
125041719	12504	125	1	141
126011496	12601	126	1	245
126011720	12601	126	1	153
126011721	12601	126	1	171
126021498	12602	126	1	201
126021499	12602	126	1	124
126021500	12602	126	1	267
126021501	12602	126	1	160
126021503	12602	126	1	239
126021590	12602	126	1	59
126021722	12602	126	1	78
126021723	12602	126	1	216
126021724	12602	126	1	227
126021725	12602	126	1	77
