"pbs_code","atc_code","atc_level1","benefit_type","claimed_price","pack_size","number_of_repeats","manner_of_admin","weight"
"10001J","A07AA11","A","A",394.14,56,5,"ORAL",0.000286982052583947
"10011X","A10BK01","A","S",36.61,28,5,"ORAL",0.000286982052583947
"10032B","A10BD13","A","S",38.03,56,5,"ORAL",0.000286982052583947
"10033C","A10BD13","A","S",37.13,56,5,"ORAL",0.000286982052583947
"10034D","A07EA06","A","R",127.07,1,3,"RECTAL",0.000286982052583947
"10035E","A10BD13","A","S",38.39,56,5,"ORAL",0.000286982052583947
"10038H","A10BD11","A","S",40.23,60,5,"ORAL",0.000286982052583947
"10044P","A10BD11","A","S",41.45,60,5,"ORAL",0.000286982052583947
"10045Q","A10BD11","A","S",41.01,60,5,"ORAL",0.000286982052583947
"10048W","A10BD10","A","S",38.41,56,5,"ORAL",0.000286982052583947
"10051B","A10BD10","A","S",37.28,28,5,"ORAL",0.000286982052583947
"10055F","A10BD10","A","S",36.54,28,5,"ORAL",0.000286982052583947
"10086W","A16AX07","A","A",776.15,30,0,"ORAL",0.000286982052583947
"10087X","A16AX07","A","A",776.15,30,5,"ORAL",0.000286982052583947
"10089B","A10BD07","A","S",29.48,28,5,"ORAL",0.000286982052583947
"10090C","A10BD07","A","S",30.47,56,5,"ORAL",0.000286982052583947
"10119N","A16AA06","A","A",455.03,1,5,"ORAL",0.000286982052583947
"10128C","A10BH03","A","S",35.8,28,5,"ORAL",0.000286982052583947
"10202Y","A10BK03","A","S",39.22,30,5,"ORAL",0.000286982052583947
"10206E","A10BK03","A","S",39.02,30,5,"ORAL",0.000286982052583947
"10254Q","A07EC02","A","R",107.1,30,5,"ORAL",0.000286982052583947
"10257W","A07EC02","A","R",82.03,30,5,"ORAL",0.000286982052583947
"10295W","A02BC05","A","S",4,30,1,"ORAL",0.000286982052583947
"10330Q","A02BC05","A","A",6.79,30,1,"ORAL",0.000286982052583947
"10331R","A02BC05","A","A",6.79,30,5,"ORAL",0.000286982052583947
"10343J","A02BC05","A","S",4,30,5,"ORAL",0.000286982052583947
"10510E","A10BD15","A","S",38.31,56,5,"ORAL",0.000286982052583947
"10515K","A10BD15","A","S",37.1,28,5,"ORAL",0.000286982052583947
"10516L","A10BD15","A","S",36.37,28,5,"ORAL",0.000286982052583947
"10626G","A10BD20","A","S",39.5,60,5,"ORAL",0.000286982052583947
"10627H","A10BD20","A","S",40.83,60,5,"ORAL",0.000286982052583947
"10633P","A10BD20","A","S",39.5,60,5,"ORAL",0.000286982052583947
"10677Y","A10BD20","A","S",40.83,60,5,"ORAL",0.000286982052583947
"1070H","A11DA01","A","S",3.62,100,2,"ORAL",0.000286982052583947
"10731T","A04AA55","A","S",81.66,1,5,"ORAL",0.000286982052583947
