"dataset","variable","occurrence_count","status","determination","rule","evidence_source","caveat","official_descriptions","implementation"
"CENSUS","ADCP",1,"populated","populated_coherent_official_domain","Derive the field from related spine, labour-force, household, education, health, or imputation context and encode it in the official year-specific Census domain.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/service-australian-defence-force/australian-defence-force-service-detailed-adcp","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Australian defence force service detailed","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","ADDIVD",1,"populated","populated_official_geography","Assign an official geography code for the field's reference year, consistent with spine state where the classification permits; apply age and employment structural codes to conditional fields.","Official ABS ASGS ArcGIS services recorded in inst/extdata/codeframes/census-geography-sources.csv, lga.tsv, ireg.tsv, and phn.tsv","The codes are official, but assignment within state and historical movement or workplace location is synthetic and not population-calibrated.","Australian drainage divisions (en)","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","ADDIVP",1,"populated","populated_official_geography","Assign an official geography code for the field's reference year, consistent with spine state where the classification permits; apply age and employment structural codes to conditional fields.","Official ABS ASGS ArcGIS services recorded in inst/extdata/codeframes/census-geography-sources.csv, lga.tsv, ireg.tsv, and phn.tsv","The codes are official, but assignment within state and historical movement or workplace location is synthetic and not population-calibrated.","Australian drainage divisions (ur)","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","AGE5P",1,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/population/age-five-year-groups-age5p","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Age in 5-year groups","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","ANC1P",3,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest | https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/census-population-and-housing/data%20item%20list%20-%205%20percent%20detailed%20microdata.xls | https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/cultural-diversity/ancestry-1st-response-anc1p","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Ancestry 1st Response | Ancestry 1st response","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","ANC2P",3,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest | https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/census-population-and-housing/data%20item%20list%20-%205%20percent%20detailed%20microdata.xls | https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/cultural-diversity/ancestry-2nd-response-anc2p","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Ancestry 2nd Response | Ancestry 2nd response","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","ANCRP",1,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/cultural-diversity/ancestry-one-or-two-response-indicator-ancrp","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Ancestry one or two response indicator","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","ASSNP",2,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest | https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/census-population-and-housing/data%20item%20list%20-%205%20percent%20detailed%20microdata.xls | https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/disability-and-carers/core-activity-need-assistance-assnp","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Core Activity Need for Assistance","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","AUSTP",1,"populated","populated_official_geography","Assign an official geography code for the field's reference year, consistent with spine state where the classification permits; apply age and employment structural codes to conditional fields.","Official ABS ASGS ArcGIS services recorded in inst/extdata/codeframes/census-geography-sources.csv, lga.tsv, ireg.tsv, and phn.tsv","The codes are official, but assignment within state and historical movement or workplace location is synthetic and not population-calibrated.","Australia (ur)","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","AUSTU1P",1,"populated","populated_official_geography","Assign an official geography code for the field's reference year, consistent with spine state where the classification permits; apply age and employment structural codes to conditional fields.","Official ABS ASGS ArcGIS services recorded in inst/extdata/codeframes/census-geography-sources.csv, lga.tsv, ireg.tsv, and phn.tsv","The codes are official, but assignment within state and historical movement or workplace location is synthetic and not population-calibrated.","Australia (ur1y)","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","AUSTU5P",1,"populated","populated_official_geography","Assign an official geography code for the field's reference year, consistent with spine state where the classification permits; apply age and employment structural codes to conditional fields.","Official ABS ASGS ArcGIS services recorded in inst/extdata/codeframes/census-geography-sources.csv, lga.tsv, ireg.tsv, and phn.tsv","The codes are official, but assignment within state and historical movement or workplace location is synthetic and not population-calibrated.","Australia (ur5y)","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","BEDD",3,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter802011 | https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter802016 | https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/housing/number-bedrooms-private-dwelling-bedd","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Number of Bedrooms in Private Dwelling | Number of bedrooms in private dwelling","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
