"asset","dataset","official_product","official_table","logical_output","variable","type","n_rows","official_description","official_valid_response"
"PLIDA","A&T","plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger","APPRENTICEAPPRENTICESHIPNUMBER","character",100,"APPRENTICEAPPRENTICESHIPNUMBER",
"PLIDA","A&T","plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger","APPRENTICEEARLIEST","character",100,"APPRENTICEEARLIEST",
"PLIDA","A&T","plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger","APPRENTICELATEST","character",100,"APPRENTICELATEST",
"PLIDA","A&T","plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger","APPRENTICESHIPEARLIEST","character",100,"APPRENTICESHIPEARLIEST",
"PLIDA","A&T","plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger","APPRENTICESHIPLATEST","character",100,"APPRENTICESHIPLATEST",
"PLIDA","A&T","plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger","APPRENTICESHIPTRNGCONTRANO","character",100,"APPRENTICESHIPTRNGCONTRANO",
"PLIDA","A&T","plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger","APPRENTICESHPEMPLRELATSHIP","character",100,"APPRENTICESHPEMPLRELATSHIP",
"PLIDA","A&T","plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger","APPRENTICETRNGCONTRANO","character",100,"APPRENTICETRNGCONTRANO",
"PLIDA","A&T","plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger","COMMENCEMENTTYPECODE","character",100,"COMMENCEMENTTYPECODE",
"PLIDA","A&T","plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger","COMMENCEMENTTYPESUBCODE","character",100,"COMMENCEMENTTYPESUBCODE",
"PLIDA","A&T","plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger","EMPLOYERRELATIONSHIPEARLIEST","character",100,"EMPLOYERRELATIONSHIPEARLIEST",
"PLIDA","A&T","plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger","EMPLOYERRELATIONSHIPLATEST","character",100,"EMPLOYERRELATIONSHIPLATEST",
"PLIDA","A&T","plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger","STATUS","character",100,"Status of the wdo at the time the table was updated",
"PLIDA","A&T","plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger","TRAININGCONTRACTEARLIEST","character",100,"TRAININGCONTRACTEARLIEST",
"PLIDA","A&T","plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger","TRAININGCONTRACTLATEST","character",100,"TRAININGCONTRACTLATEST",
"PLIDA","A&T","plidage-apprentice","apprentice_address","plidage-apprentice--apprentice_address","IN_MAY_23","character",100,,
"PLIDA","A&T","plidage-apprentice","apprentice_char_ledger","plidage-apprentice--apprentice_char_ledger","CITIZENSHIPCODE","character",100,"The citizenship of the apprentice.",
"PLIDA","A&T","plidage-apprentice","apprentice_char_ledger","plidage-apprentice--apprentice_char_ledger","DOB_M","character",100,"Mof birth",
"PLIDA","A&T","plidage-apprentice","apprentice_char_ledger","plidage-apprentice--apprentice_char_ledger","DOB_Y","character",100,"Yof birth",
