"dataset","table","variable","type","observed_generated_domain_or_distribution","observed_small_domain_values","plida_or_crosswalk_variable","plida_or_crosswalk_description","crosswalk_status","evidence_status","source_url","source_summary","current_generated_assessment","required_next_action"
"MBS","2020","AGGRITEM","character","75842=97; 75042=95; 75606=94; 75400=91; 75851=91; 75206=90; 75007=89; 75049=89; 75610=87; 75023=86; 75603=86; 75032=84","75842; 75042; 75606; 75400; 75851; 75206; 75007; 75049; 75610; 75023; 75603; 75032; 75011; 75034; 75048; 75845; 75024; 75051; 75609; 75800; 75015; 75009; 75200; 75600; 75820; 75002; 75050; 75402; 75833; 75848","AGGRITEM","Mbs item number from the aggregate item number field. for most mbs items this will be the same as the mbs item number in the base item number field. where the schedule fee for one item is dependent on the schedule fee for another item  the main item is stored in the aggregate item number field and the other item number is stored in the base item number field.note: all mbs statistics are based on the latest mapped item number which is derived from the aggregate item number. | Original item number","direct_plida_dataset_variable","official_mbs_schedule_anchor_local_lookup_distribution","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.aihw.gov.au/about-our-data/our-data-collections/medicare-benefits-schedule-mbs | https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/downloads | https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/81D3D41DCEAE03F0CA2581C60013304B/%24File/MBS%20Classification%20specifications%20effective%20November%202014.pdf","MBS Online downloads provide official MBS item/schedule material. Current fplida values come from local mbs_item_lookup.csv; generated frequencies are synthetic.","Variable concept is anchored to official schedule/classification material; observed generated frequencies come from local sampling over the packaged lookup.","Pin the exact official schedule/lookup release and add tests that item/classification values stay within that lookup."
"MBS","2020","BENPAID","numeric","1.20 / 43.35 / 98.95 / 231.25 / 7897.60","","BENPAID","The total amount of medicare benefit paid for services performed by a medicare service provider  expressed in australian dollars. | Benefit paid","direct_plida_dataset_variable","direct_plida_metadata_public_collection_context_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.aihw.gov.au/about-our-data/our-data-collections/medicare-benefits-schedule-mbs | https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/downloads | https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/81D3D41DCEAE03F0CA2581C60013304B/%24File/MBS%20Classification%20specifications%20effective%20November%202014.pdf","AIHW describes MBS as processed Medicare fee-for-service claims including benefits paid, patients and providers; local PLIDA metadata supplies the variable description; generated distributions are synthetic smoke-output evidence.","Variable concept is source-supported, but observed frequencies/quantiles are generated synthetic output, not official distribution evidence.","Keep generated distribution labelled synthetic unless calibrated against an official aggregate/statistical distribution."
"MBS","2020","BILLTYPECD","character","D=60970; P=13470","D; P","BILLTYPECD","The type of medicare billing issued for the provided service  as represented by a code. code d is for direct billed (bulk billed). code p is for patient billed. | Bulk-billing flag","direct_plida_dataset_variable","direct_plida_metadata_code_labels_public_collection_context","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.aihw.gov.au/about-our-data/our-data-collections/medicare-benefits-schedule-mbs | https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/downloads | https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/81D3D41DCEAE03F0CA2581C60013304B/%24File/MBS%20Classification%20specifications%20effective%20November%202014.pdf","Local PLIDA metadata defines D as direct/bulk billed and P as patient billed. Public MBS collection sources confirm claims/payment context, not generated frequencies.","Source supports the concept; value-domain equivalence is as described in the source summary.","Keep as source-supported concept but do not infer unsourced distributional calibration."
"MBS","2020","BTOS","character","U=32863; P=22287; I=5989; O=5977; R=3632; A=2245; D=1447","U; P; I; O; R; A; D","BTOS","Broad classifications of the mbs used for reporting. the categories for the broad type of service (btos) hierarchy in reporting order  as represented by a code. | Broad Type of Service","direct_plida_dataset_variable","direct_plida_metadata_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.aihw.gov.au/about-our-data/our-data-collections/medicare-benefits-schedule-mbs | https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/downloads | https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/81D3D41DCEAE03F0CA2581C60013304B/%24File/MBS%20Classification%20specifications%20effective%20November%202014.pdf","Local PLIDA metadata defines Broad Type of Service. I did not find a public code table proving the generated compact BTOS labels; treat values as local generator evidence.","Generated domain/labels are observed local values; no public codebook evidence was found in this pass.","Find a public code table or keep guide wording as local-generator/PLIDA-metadata only."
"MBS","2020","DOP","Date","2020-01-01 to 2021-01-16","","DOP","The date in which the mbs item was processed. | Date of processing","direct_plida_dataset_variable","direct_plida_metadata_public_collection_context_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.aihw.gov.au/about-our-data/our-data-collections/medicare-benefits-schedule-mbs | https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/downloads | https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/81D3D41DCEAE03F0CA2581C60013304B/%24File/MBS%20Classification%20specifications%20effective%20November%202014.pdf","AIHW describes MBS as processed Medicare fee-for-service claims including benefits paid, patients and providers; local PLIDA metadata supplies the variable description; generated distributions are synthetic smoke-output evidence.","Variable concept is source-supported, but observed frequencies/quantiles are generated synthetic output, not official distribution evidence.","Keep generated distribution labelled synthetic unless calibrated against an official aggregate/statistical distribution."
"MBS","2020","DOS","Date","2020-01-01 to 2020-12-31","","DOS","The date on which the medicare service provider performed the medicare claimable service. the date of service is entered during claims processing and is mandatory for processing patient claims. | Date of service","direct_plida_dataset_variable","direct_plida_metadata_public_collection_context_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.aihw.gov.au/about-our-data/our-data-collections/medicare-benefits-schedule-mbs | https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/downloads | https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/81D3D41DCEAE03F0CA2581C60013304B/%24File/MBS%20Classification%20specifications%20effective%20November%202014.pdf","AIHW describes MBS as processed Medicare fee-for-service claims including benefits paid, patients and providers; local PLIDA metadata supplies the variable description; generated distributions are synthetic smoke-output evidence.","Variable concept is source-supported, but observed frequencies/quantiles are generated synthetic output, not official distribution evidence.","Keep generated distribution labelled synthetic unless calibrated against an official aggregate/statistical distribution."
"MBS","2020","ENRPC","character","2603=113; 2609=111; 2601=110; 2616=109; 2610=105; 2606=103; 2605=100; 2600=98; 2615=98; 2613=96; 2602=94; 2607=94","2603; 2609; 2601; 2616; 2610; 2606; 2605; 2600; 2615; 2613; 2602; 2607; 2604; 2608; 2612; 2618; 2617; 2611; 2614; 2515; 2127; 2669; 2941; 2348; 2500; 2022; 2076; 2123; 2483; 2066","ENRPC","The australian numeric descriptor for a postal delivery area for an address.note: patient demographics (date of birth  sex  address) are sourced from the medicare enrolment file at the time the claim was processed. these demographics may change over time. patients may change address. sex and date of birth may be updated if the enrolment record is found to be in error. | Patient postcode","direct_plida_dataset_variable","direct_plida_metadata_public_collection_context_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.aihw.gov.au/about-our-data/our-data-collections/medicare-benefits-schedule-mbs | https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/downloads | https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/81D3D41DCEAE03F0CA2581C60013304B/%24File/MBS%20Classification%20specifications%20effective%20November%202014.pdf","AIHW describes MBS as processed Medicare fee-for-service claims including benefits paid, patients and providers; local PLIDA metadata supplies the variable description; generated distributions are synthetic smoke-output evidence.","Variable concept is source-supported, but observed frequencies/quantiles are generated synthetic output, not official distribution evidence.","Keep generated distribution labelled synthetic unless calibrated against an official aggregate/statistical distribution."
"MBS","2020","FEECHARGED","numeric","1.60 / 52.60 / 121.70 / 308.30 / 10300.72","","FEECHARGED","The total amount charged as contained on accounts submitted by the practitioner to claim payment for a service provided  expressed in australian dollars. | Fee charged","direct_plida_dataset_variable","direct_plida_metadata_public_collection_context_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.aihw.gov.au/about-our-data/our-data-collections/medicare-benefits-schedule-mbs | https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/downloads | https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/81D3D41DCEAE03F0CA2581C60013304B/%24File/MBS%20Classification%20specifications%20effective%20November%202014.pdf","AIHW describes MBS as processed Medicare fee-for-service claims including benefits paid, patients and providers; local PLIDA metadata supplies the variable description; generated distributions are synthetic smoke-output evidence.","Variable concept is source-supported, but observed frequencies/quantiles are generated synthetic output, not official distribution evidence.","Keep generated distribution labelled synthetic unless calibrated against an official aggregate/statistical distribution."
"MBS","2020","INHOSPITAL","character","N=68455; Y=5985","N; Y","INHOSPITAL","An indicator for services involving private patients in public or private hospitals or approved day hospitals  or hospital substitute services (benefits based on 75% of the schedule fee and identified with the letter 'y').note: services to public patients in hospital  services in public accident and emergency departments and services in public outpatient departments  are funded under state and federal government public hospital funding arrangements  and do not involve the payment of medicare benefits. | Hospital flag","direct_plida_dataset_variable","direct_plida_metadata_code_labels_public_collection_context","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.aihw.gov.au/about-our-data/our-data-collections/medicare-benefits-schedule-mbs | https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/downloads | https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/81D3D41DCEAE03F0CA2581C60013304B/%24File/MBS%20Classification%20specifications%20effective%20November%202014.pdf","Local PLIDA metadata defines the hospital flag concept and Y coding for relevant private-patient/hospital-substitute services. Public MBS collection sources confirm claims/payment context, not generated frequencies.","Source supports the concept; value-domain equivalence is as described in the source summary.","Keep as source-supported concept but do not infer unsourced distributional calibration."
"MBS","2020","ITEM","character","75842=97; 75042=95; 75606=94; 75400=91; 75851=91; 75206=90; 75007=89; 75049=89; 75610=87; 75023=86; 75603=86; 75032=84","75842; 75042; 75606; 75400; 75851; 75206; 75007; 75049; 75610; 75023; 75603; 75032; 75011; 75034; 75048; 75845; 75024; 75051; 75609; 75800; 75015; 75009; 75200; 75600; 75820; 75002; 75050; 75402; 75833; 75848","ITEM","Latest mbs item number for the aggregate item. | Current item number","direct_plida_dataset_variable","official_mbs_schedule_anchor_local_lookup_distribution","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.aihw.gov.au/about-our-data/our-data-collections/medicare-benefits-schedule-mbs | https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/downloads | https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/81D3D41DCEAE03F0CA2581C60013304B/%24File/MBS%20Classification%20specifications%20effective%20November%202014.pdf","MBS Online downloads provide official MBS item/schedule material. Current fplida values come from local mbs_item_lookup.csv; generated frequencies are synthetic.","Variable concept is anchored to official schedule/classification material; observed generated frequencies come from local sampling over the packaged lookup.","Pin the exact official schedule/lookup release and add tests that item/classification values stay within that lookup."
