"guide","dataset","table","variable","type","n_rows","crosswalk_status","candidate_dataset","candidate_variable","candidate_product","candidate_description","basis","notes"
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","bg_id","character",500,"direct_blade_variable_metadata","BLADE","bg_id","blade-table-01-cross-sectional-indicative-data-items","BLADE Enterprise Group ID | Identifier - BLADE Enterprise Group ID","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","bn","character",500,"direct_blade_variable_metadata","BLADE","bn","blade-table-01-cross-sectional-indicative-data-items","bn - deidentified ABN | Identifier - deidentified ABN | Identifier bn - deidentified ABN | De-identified ABN | Deidentified abn | Deidentified ABN | Identifier - deidentifed ABN | Identifier - deidentified abn | Identifier - deidentified ABN (Australian Business Number)","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","d_anzsic06","character",500,"direct_blade_variable_metadata","BLADE","d_anzsic06","blade-table-01-cross-sectional-indicative-data-items","Derived Australian and New Zealand Standard Industrial Classification (ANZSIC), 2006","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","d_div06","character",500,"direct_blade_variable_metadata","BLADE","d_div06","blade-table-01-cross-sectional-indicative-data-items","Derived Industry Division 2006 | Derived Industry Division 2006 (cast) - derived from either cast_anzsic06 or d_anzsic06","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","d_sisca08","character",500,"direct_blade_variable_metadata","BLADE","d_sisca08","blade-table-01-cross-sectional-indicative-data-items","Derived Standard Institutional Sector Classification of Australia (SISCA) 2008","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","frame_version","character",500,"direct_blade_variable_metadata","BLADE","frame_version","blade-table-01-cross-sectional-indicative-data-items","Integration version (internal ABS reference)","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","quarter","character",500,"direct_blade_variable_metadata","BLADE","quarter","blade-table-01-cross-sectional-indicative-data-items","Quarter | Financial year quarter data is in reference to** | The quarter of the financial year - derived | Reference Period | The quarter of the SITS record | Quarter of the financial year | The quarter of the JVS record | The quarter of the location record | The quarter of the insolvency appointment | Financial year quarter data is in reference to","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","tsid","character",500,"direct_blade_variable_metadata","BLADE","tsid","blade-table-01-cross-sectional-indicative-data-items","Time series ID (last 2 digits of end year in a financial year) | Time series identifier (last 2 digits of end year in a financial year) | Time series ID (last 2 digits of end year in a financial year when application arrived for processing to the IP Australia system) | Time series identifier denoting the financial year in which the data was collected | Time series ID (last 2 digits of end year in a financial year when applicant registered R&D activites) | Time Series Identifier","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","x_al_st","integer",500,"direct_blade_variable_metadata","BLADE","x_al_st","blade-table-01-cross-sectional-indicative-data-items","Alive status | Cross-sectional Alive status","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","x_anzsic06","character",500,"direct_blade_variable_metadata","BLADE","x_anzsic06","blade-table-01-cross-sectional-indicative-data-items","Australian and New Zealand Standard Industrial Classification (ANZSIC), 2006","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","x_gst_bn","character",500,"direct_blade_variable_metadata","BLADE","x_gst_bn","blade-table-01-cross-sectional-indicative-data-items","De-identified lead GST grouped ABN","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","x_gstp","character",500,"direct_blade_variable_metadata","BLADE","x_gstp","blade-table-01-cross-sectional-indicative-data-items","Goods and services tax payer role","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","x_itip","character",500,"direct_blade_variable_metadata","BLADE","x_itip","blade-table-01-cross-sectional-indicative-data-items","Income Tax instalment payer roles","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","x_itw","character",500,"direct_blade_variable_metadata","BLADE","x_itw","blade-table-01-cross-sectional-indicative-data-items","Income Tax Withholiding roles","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","x_npi","integer",500,"direct_blade_variable_metadata","BLADE","x_npi","blade-table-01-cross-sectional-indicative-data-items","Non Profit Institution flag","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","x_pcode","character",500,"direct_blade_variable_metadata","BLADE","x_pcode","blade-table-01-cross-sectional-indicative-data-items","Postcode","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","x_sector","integer",500,"direct_blade_variable_metadata","BLADE","x_sector","blade-table-01-cross-sectional-indicative-data-items","Private/Public indicator","Variable name matched inst/blade_metadata/variables.csv.",""
