"guide","dataset","product","table","variable","description","metadata_source","source_type","observed_in_generated_register"
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","Table 1: Cross-sectional Indicative data items","bg_id","BLADE Enterprise Group ID","inst/blade_metadata/variables.csv","BLADE metadata",TRUE
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","Table 1: Cross-sectional Indicative data items","bn","bn - deidentified ABN","inst/blade_metadata/variables.csv","BLADE metadata",TRUE
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","Table 1: Cross-sectional Indicative data items","d_anzsic06","Derived Australian and New Zealand Standard Industrial Classification (ANZSIC), 2006","inst/blade_metadata/variables.csv","BLADE metadata",TRUE
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","Table 1: Cross-sectional Indicative data items","d_div06","Derived Industry Division 2006","inst/blade_metadata/variables.csv","BLADE metadata",TRUE
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","Table 1: Cross-sectional Indicative data items","d_sisca08","Derived Standard Institutional Sector Classification of Australia (SISCA) 2008","inst/blade_metadata/variables.csv","BLADE metadata",TRUE
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","Table 1: Cross-sectional Indicative data items","frame_version","Integration version (internal ABS reference)","inst/blade_metadata/variables.csv","BLADE metadata",TRUE
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","Table 1: Cross-sectional Indicative data items","id","id - deidentified unit_id","inst/blade_metadata/variables.csv","BLADE metadata",TRUE
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","Table 1: Cross-sectional Indicative data items","quarter","Quarter","inst/blade_metadata/variables.csv","BLADE metadata",TRUE
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","Table 1: Cross-sectional Indicative data items","tsid","Time series ID (last 2 digits of end year in a financial year)","inst/blade_metadata/variables.csv","BLADE metadata",TRUE
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","Table 1: Cross-sectional Indicative data items","x_al_st","Alive status","inst/blade_metadata/variables.csv","BLADE metadata",TRUE
