"dataset","table","variable","type","observed_generated_domain_or_distribution","observed_small_domain_values","plida_or_crosswalk_variable","plida_or_crosswalk_description","crosswalk_status","evidence_status","source_url","source_summary","current_generated_assessment","required_next_action"
"NDIS","NDIS","ABORIGINAL_TSI","character","No=15; Yes=1","No; Yes","ATSISTS","Aboriginal and torres strait islander status of the contact","manual_same_dataset_plida_concept_match","ndis_metadata_concept_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://dataresearch.ndis.gov.au/datasets | https://dataresearch.ndis.gov.au/datasets/participant-datasets | https://www.ndis.gov.au/participants/using-your-funding/plan-implementation-meeting/guide-your-management-options","Local PLIDA metadata or public NDIS dataset context supports the broad concept. Generated value labels/ranges remain local implementation evidence unless mapped to source data rules.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"NDIS","NDIS","DISABILITY_GROUP","character","Intellectual=4; Neurological=4; Physical=4; Sensory - Hearing=2; Autism=1; Psychosocial=1","Intellectual; Neurological; Physical; Sensory - Hearing; Autism; Psychosocial","NDISDSBLTYGRPNM","The participant's primary disability","manual_same_dataset_plida_concept_match","ndis_public_dataset_concept_generated_domain_unverified","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://dataresearch.ndis.gov.au/datasets | https://dataresearch.ndis.gov.au/datasets/participant-datasets | https://www.ndis.gov.au/participants/using-your-funding/plan-implementation-meeting/guide-your-management-options","NDIS participant dataset pages support this concept family, but this pass did not prove the generated categories or budget distribution against the public data rules or source variable codebook.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"NDIS","NDIS","FIRST_PLAN_APPROVAL_DATE","Date","2013-11-19 to 2021-11-14","","FRSTPLANAPRVLDT","First plan approval date","manual_same_dataset_plida_concept_match","ndis_metadata_concept_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://dataresearch.ndis.gov.au/datasets | https://dataresearch.ndis.gov.au/datasets/participant-datasets | https://www.ndis.gov.au/participants/using-your-funding/plan-implementation-meeting/guide-your-management-options","Local PLIDA metadata or public NDIS dataset context supports the broad concept. Generated value labels/ranges remain local implementation evidence unless mapped to source data rules.","Observed date range is synthetic generated-output evidence unless an official source is attached separately.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"NDIS","NDIS","GENDER","character","M=12; F=4","M; F","GNDRTYP","The participant's gender","manual_same_dataset_plida_concept_match","ndis_metadata_concept_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://dataresearch.ndis.gov.au/datasets | https://dataresearch.ndis.gov.au/datasets/participant-datasets | https://www.ndis.gov.au/participants/using-your-funding/plan-implementation-meeting/guide-your-management-options","Local PLIDA metadata or public NDIS dataset context supports the broad concept. Generated value labels/ranges remain local implementation evidence unless mapped to source data rules.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"NDIS","NDIS","MANAGEMENT_TYPE","character","Plan=8; Agency=6; Self=2","Plan; Agency; Self","PLANMGTMTHDDESC","Budget management method for the specified plan","manual_same_dataset_plida_concept_match","official_ndis_management_options_generated_labels_need_mapping","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://dataresearch.ndis.gov.au/datasets | https://dataresearch.ndis.gov.au/datasets/participant-datasets | https://www.ndis.gov.au/participants/using-your-funding/plan-implementation-meeting/guide-your-management-options","NDIS guidance confirms self-management, plan management and NDIA-management options. Generated labels Plan/Agency/Self are concept-compatible but need exact DIL/public variable mapping before being treated as official labels.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"NDIS","NDIS","PARTICIPANT_STATUS","character","Active=14; Exited=2","Active; Exited","ACTVPRTCPNTIND","Indicates whether the participant is currently active (access met and has not exited the scheme)","manual_same_dataset_plida_concept_match","ndis_public_dataset_concept_generated_domain_unverified","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://dataresearch.ndis.gov.au/datasets | https://dataresearch.ndis.gov.au/datasets/participant-datasets | https://www.ndis.gov.au/participants/using-your-funding/plan-implementation-meeting/guide-your-management-options","NDIS participant dataset pages support this concept family, but this pass did not prove the generated categories or budget distribution against the public data rules or source variable codebook.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"NDIS","NDIS","PLAN_BUDGET_AMT","numeric","14377.0 / 24240.5 / 34661.0 / 126533.5 / 191686.0","118605; 14377; 150319; 160296; 18373; 184357; 19000; 191686; 21428; 25178; 28209; 30643; 31333; 37989; 43007; 65516","CMTDSUPPBDGTAMT","Total committed support costs of the plan","manual_same_dataset_plida_concept_match","ndis_public_dataset_concept_generated_domain_unverified","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://dataresearch.ndis.gov.au/datasets | https://dataresearch.ndis.gov.au/datasets/participant-datasets | https://www.ndis.gov.au/participants/using-your-funding/plan-implementation-meeting/guide-your-management-options","NDIS participant dataset pages support this concept family, but this pass did not prove the generated categories or budget distribution against the public data rules or source variable codebook.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"NDIS","NDIS","STATE_ASGS_2021","integer","1 / 1 / 2 / 3 / 4","1; 2; 3; 4","STATE_ASGS_2021","State (number)","direct_plida_dataset_variable","ndis_metadata_concept_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://dataresearch.ndis.gov.au/datasets | https://dataresearch.ndis.gov.au/datasets/participant-datasets | https://www.ndis.gov.au/participants/using-your-funding/plan-implementation-meeting/guide-your-management-options","Local PLIDA metadata or public NDIS dataset context supports the broad concept. Generated value labels/ranges remain local implementation evidence unless mapped to source data rules.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"NDIS","NDIS","SUPPORT_CATEGORY","character","Core=10; Capacity Building=6","Core; Capacity Building","SUPPCATNM","Support category type","manual_same_dataset_plida_concept_match","ndis_public_dataset_concept_generated_domain_unverified","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://dataresearch.ndis.gov.au/datasets | https://dataresearch.ndis.gov.au/datasets/participant-datasets | https://www.ndis.gov.au/participants/using-your-funding/plan-implementation-meeting/guide-your-management-options","NDIS participant dataset pages support this concept family, but this pass did not prove the generated categories or budget distribution against the public data rules or source variable codebook.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"NDIS","NDIS","SYNTHETIC_AEUID","character","4826E0000063=1; 4826E0000138=1; 4826E00003CA=1; 4826E0000435=1; 4826E00004FE=1; 4826E0000534=1; 4826E000061F=1; 4826E00008B5=1; 4826E0000B69=1; 4826E0000C52=1; 4826E0000E0A=1; 4826E0000F8F=1","4826E0000063; 4826E0000138; 4826E00003CA; 4826E0000435; 4826E00004FE; 4826E0000534; 4826E000061F; 4826E00008B5; 4826E0000B69; 4826E0000C52; 4826E0000E0A; 4826E0000F8F; 4826E000100F; 4826E0001067; 4826E0001103; 4826E00012C3","SYNTHETIC_AEUID","Synthetic MADIP Person ID","direct_plida_dataset_variable","local_identifier_not_public_source_variable","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://dataresearch.ndis.gov.au/datasets | https://dataresearch.ndis.gov.au/datasets/participant-datasets | https://www.ndis.gov.au/participants/using-your-funding/plan-implementation-meeting/guide-your-management-options","This is a generated package linkage identifier, not an official public NDIS code distribution.","Generated identifier shape is observed local output; it is not an official public code distribution.","Keep this as a generated linkage identifier check; do not cite it as a public source variable."
