"dataset","variable","status","n_doc","n_gen","n_outside","name_field"
"CORE","ADR_TYP","guessed",2,1,1,FALSE
"CORE","COMBINED_CATEGORY","guessed",3,2,1,FALSE
"CORE","COMBINED_STATUS","guessed",10,4,4,FALSE
"DEATHS","CERTIFIER","guessed",2,2,2,FALSE
"DEATHS","PLACE_OF_DEATH","sourced",5,4,1,FALSE
"DOMINO","ADR_TYP","sourced",8,1,1,FALSE
"MBS","NUMSERV","sourced",3,4,3,FALSE
"MBS","RPRPRAC","sourced",31,50,50,FALSE
"MBS","SPRPRAC","sourced",31,50,50,FALSE
"NDIS","ACTIVEPLANIND","sourced",2,1,1,FALSE
"NDIS","CALDSTS","guessed",2,2,2,FALSE
"NDIS","CLAIMTYPDESC","sourced",7,2,2,TRUE
"NDIS","GNDRTYP","guessed",3,2,2,FALSE
"NDIS","PLANMGTMTHDDESC","sourced",5,2,1,TRUE
"NDIS","PYMTRQSTSUPPCATNM","sourced",15,9,9,TRUE
"NDIS","RSDSINSTATECD","sourced",10,2,2,FALSE
"NDIS","SUPPCATNM","sourced",15,9,9,TRUE
"PBS","CTG_CD","sourced",2,2,2,FALSE
"PBS","DRG_TYP_CD","sourced",21,4,4,FALSE
"PBS","MJR_SPCLTY_GRP_CD","sourced",4,3,3,FALSE
"PBS","PHRMCY_APPRVL_TYP_CD","sourced",6,2,1,FALSE
"PBS","PRVS_SPPLY_NMBR","sourced",3,7,6,FALSE
"PBS","PTNT_CTGRY_DRVD_CD","sourced",9,2,2,FALSE
"PBS","RPT_ORDR_NMBR","sourced",3,12,11,FALSE
"TVA","DELIVERY_MODE_ID","sourced",13,5,1,FALSE
"TVA","HIGHEST_ED_LVL_ST","guessed",14,5,5,FALSE
"TVA","HIGHEST_SCHL_LVL_ST","sourced",6,5,2,FALSE
"TVA","LABOUR_FORCE_STATUS_ID","sourced",8,4,4,FALSE
"TVA","NATIONAL_FUNDING_SOURCE_ID","sourced",8,6,1,FALSE
"TVA","PROGRAM_NOMINAL_HOURS","sourced",1,5,5,FALSE
"TVA","STUDY_REASON_ID","sourced",11,7,5,FALSE
"TVA","SUBJECT_FG","guessed",2,1,1,FALSE
"TVA","SUBJECT_NOMINAL_HOURS","sourced",1,85,85,FALSE
