"guide","dataset","table","variable","type","n_rows","missing","missing_pct","distinct","domain_or_distribution","values_if_small_domain","metadata_match","plida_variable_descriptions","plida_products","blade_item","blade_valid_response","blade_available_periods"
"census","CENSUS","abs-census","spine_id","character",480,48,10,432,"SP0000000001=1; SP0000000002=1; SP0000000003=1; SP0000000004=1; SP0000000005=1; SP0000000006=1; SP0000000007=1; SP0000000008=1","","no PLIDA metadata match by dataset+variable","","","","",""
"census","CENSUS","abs-census","SYNTHETIC_AEUID","character",480,0,0,480,"D21B60000001=1; D21B60000002=1; D21B60000003=1; D21B60000004=1; D21B60000005=1; D21B60000006=1; D21B60000007=1; D21B60000008=1","","matched PLIDA variable metadata","The person key inside a single Census file: one value per counted person, used to join that person's record across the person, family and d…","madip-ge-030101d-census2016-census2016person-2016 | madip-ge-030102d-census2016-census2016family-2016 | madip-ge-030103d-census2016-census2016dwelling-2016 | ... (4 products)","","",""
"census","CENSUS","madipge-cen21-d-dwelling-2021","BEDRD","character",218,0,0,6,"3=90; 4=61; 2=38; 1=15; 5=12; 0=2","0; 1; 2; 3; 4; 5","matched PLIDA variable metadata","The dwelling's bedroom count collapsed into seven groups, topping out at six or more. The ABS says it ""records the number of bedrooms in ea…","madip-ge-030103d-census2016-census2016dwelling-2016 | madipge-cen11-d-dwelling-2011 | madipge-cen21-d-dwelling-2021","","",""
"census","CENSUS","madipge-cen21-d-dwelling-2021","CALTHD","character",218,0,0,5,"0=114; 1=67; &=17; 2=12; 6=8","&; 0; 1; 2; 6","matched PLIDA variable metadata","How many people aged 15 and over in the household reported at least one of the ten selected long-term health conditions. The ABS says it ""c…","madipge-cen21-d-dwelling-2021","","",""
"census","CENSUS","madipge-cen21-d-dwelling-2021","CCLTHD","character",218,0,0,4,"@=170; 0=35; 1=10; &=3","@; &; 0; 1","matched PLIDA variable metadata","How many children under 15 in the household reported at least one of the ten selected long-term health conditions. The ABS says it ""counts …","madipge-cen21-d-dwelling-2021","","",""
"census","CENSUS","madipge-cen21-d-dwelling-2021","CPLTHD","character",218,0,0,5,"00=107; 01=68; &&=17; 02=15; 11=11","&&; 00; 01; 02; 11","matched PLIDA variable metadata","Counts how many people in this dwelling reported at least one of the ten selected long-term health conditions in the 2021 Census. ABS defin…","madipge-cen21-d-dwelling-2021","","",""
"census","CENSUS","madipge-cen21-d-dwelling-2021","CPLTHRD","character",218,0,0,5,"0=107; 1=68; &=17; 2=15; 6=11","&; 0; 1; 2; 6","matched PLIDA variable metadata","The collapsed version of the household headcount of people with a selected long-term health condition in the 2021 Census, topped out at fiv…","madipge-cen21-d-dwelling-2021","","",""
"census","CENSUS","madipge-cen21-d-dwelling-2021","DWELLING_ID","character",218,0,0,218,"D0029811574=1; D0057516311=1; D0063160973=1; D0096510372=1; D0129859772=1; D0163209171=1; D0173282605=1; D0196558571=1","","matched PLIDA variable metadata","The dwelling a Census record belongs to, used to attach a person or a family to the household they were counted in. In the 2021 tables it a…","madip-ge-030103d-census2016-census2016dwelling-2016 | madipge-cen11-d-dwelling-2011 | madipge-cen21-d-dwelling-2021 | ... (5 products)","","",""
"census","CENSUS","madipge-cen21-d-dwelling-2021","MRED","character",218,0,0,83,"@@@@=132; &&&&=4; 2715=2; 1227=1; 1231=1; 1237=1; 1244=1; 1280=1","","matched PLIDA variable metadata","The dollar amount the household reported paying each month on the mortgage for the dwelling it was counted in. The ABS defines it as ""the m…","madip-ge-030103d-census2016-census2016dwelling-2016 | madipge-cen11-d-dwelling-2011 | madipge-cen21-d-dwelling-2021","","",""
"census","CENSUS","madipge-cen21-d-dwelling-2021","NPRD","character",218,0,0,5,"1=129; 2=63; 3=22; 4=3; 5=1","1; 2; 3; 4; 5","matched PLIDA variable metadata","How many people usually live in this occupied private dwelling. The ABS defines it as counting ""the number of people who usually reside in …","madip-ge-030103d-census2016-census2016dwelling-2016 | madipge-cen11-d-dwelling-2011 | madipge-cen21-d-dwelling-2021","","",""
"census","CENSUS","madipge-cen21-d-dwelling-2021","RNTD","character",218,0,0,60,"@@@@=153; &&&&=4; 0367=3; 0332=2; 0228=1; 0231=1; 0232=1; 0238=1","","matched PLIDA variable metadata","The exact weekly rent reported for this dwelling, in whole dollars. ABS defines it as recording ""the individual dollar amounts of rent paid…","madip-ge-030103d-census2016-census2016dwelling-2016 | madipge-cen11-d-dwelling-2011 | madipge-cen21-d-dwelling-2021","","",""
"census","CENSUS","madipge-cen21-d-dwelling-2021","STEUCD","integer",218,0,0,8,"1.00 / 1.00 / 2.00 / 3.75 / 8.00","1; 2; 3; 4; 5; 6; 7; 8","matched PLIDA variable metadata","The state or territory the dwelling record was enumerated in, and the coarsest of the dwelling table's geography columns. It sits with SA1U…","madip-ge-030103d-census2016-census2016dwelling-2016 | madipge-cen11-d-dwelling-2011 | madipge-cen21-d-dwelling-2021","","",""
