"guide","dataset","table","variable","type","n_rows","missing","missing_pct","distinct","domain_or_distribution","values_if_small_domain","metadata_match","plida_variable_descriptions","plida_products","blade_item","blade_valid_response","blade_available_periods"
"core-combined","ACLD","abs-acld","spine_id","character",500,50,10,450,"SP0000000001=1; SP0000000002=1; SP0000000003=1; SP0000000004=1; SP0000000005=1; SP0000000006=1; SP0000000007=1; SP0000000008=1","","no PLIDA metadata match by dataset+variable","","","","",""
"core-combined","ACLD","abs-acld","SYNTHETIC_AEUID","character",500,0,0,500,"D21B60000001=1; D21B60000002=1; D21B60000003=1; D21B60000004=1; D21B60000005=1; D21B60000006=1; D21B60000007=1; D21B60000008=1","","matched PLIDA variable metadata","The person key for the ACLD row, identifying one sampled person and joining their Census history to the rest of PLIDA. In the real asset th…","madipge-acld11-d-persons-11-16-21 | madipge-acld16-d-person-16-21","","",""
"core-combined","ACLD","madipge-acld11-d-persons-11-16-21","ADCP_21","character",18,0,0,4,"2=7; 99=5; 1=4; 8=2","1; 2; 8; 99","matched PLIDA variable metadata","Australian Defence Force service reported at the 2021 Census, split by regular against reserves and by current against previous service. Th…","madipge-acld11-d-persons-11-16-21 | madipge-acld16-d-person-16-21","","",""
"core-combined","ACLD","madipge-acld11-d-persons-11-16-21","ADFP_21","character",18,0,0,3,"1=11; 99=5; 4=2","1; 4; 99","matched PLIDA variable metadata","Whether the person was serving in, or had previously served in, the Australian Defence Force at the 2021 Census. The ABS defines it as ""Thi…","madipge-acld11-d-persons-11-16-21 | madipge-acld16-d-person-16-21","","",""
"core-combined","ACLD","madipge-acld11-d-persons-11-16-21","AGEN_11","character",18,0,0,15,"60=3; 35=2; 13=1; 15=1; 17=1; 22=1; 25=1; 3=1","13; 15; 17; 22; 25; 3; 35; 41; 42; 48; 51; 53; 59; 60; 8","matched PLIDA variable metadata","Age in completed years at the 2011 Census, held as a continuous variable so that sums, means and medians can be taken. The ABS data item li…","madipge-acld11-d-persons-11-16-21","","",""
"core-combined","ACLD","madipge-acld11-d-persons-11-16-21","AGEN_16","character",18,0,0,14,"999=4; 65=2; 13=1; 18=1; 22=1; 27=1; 30=1; 40=1","13; 18; 22; 27; 30; 40; 46; 47; 53; 56; 58; 65; 8; 999","matched PLIDA variable metadata","Age in completed years at the 2016 Census, held as a continuous variable for sums, means and medians. The ABS data item list gives the same…","madipge-acld11-d-persons-11-16-21 | madipge-acld16-d-person-16-21","","",""
"core-combined","ACLD","madipge-acld11-d-persons-11-16-21","AGEN_21","character",18,0,0,13,"999=5; 70=2; 18=1; 23=1; 27=1; 32=1; 35=1; 45=1","18; 23; 27; 32; 35; 45; 51; 52; 58; 61; 63; 70; 999","matched PLIDA variable metadata","Age in completed years at the 2021 Census, held as a continuous variable for sums, means and medians. The derivation is unchanged from earl…","madipge-acld11-d-persons-11-16-21 | madipge-acld16-d-person-16-21","","",""
"core-combined","ACLD","madipge-acld11-d-persons-11-16-21","AGEP_11","character",18,0,0,15,"60=3; 35=2; 13=1; 15=1; 17=1; 22=1; 25=1; 3=1","13; 15; 17; 22; 25; 3; 35; 41; 42; 48; 51; 53; 59; 60; 8","matched PLIDA variable metadata","Age at the 2011 Census, as a categorical item in single years topped out at 85 years and over. The 2011 Census Dictionary defines AGEP as a…","madipge-acld11-d-persons-11-16-21","","",""
"core-combined","ACLD","madipge-acld11-d-persons-11-16-21","AGEP_16","character",18,0,0,14,"999=4; 65=2; 13=1; 18=1; 22=1; 27=1; 30=1; 40=1","13; 18; 22; 27; 30; 40; 46; 47; 53; 56; 58; 65; 8; 999","matched PLIDA variable metadata","Age at the 2016 Census, as a categorical item in single years topped out at 85 years and over. The 2016 Census Dictionary defines AGEP as a…","madipge-acld11-d-persons-11-16-21 | madipge-acld16-d-person-16-21","","",""
"core-combined","ACLD","madipge-acld11-d-persons-11-16-21","AGEP_21","character",18,0,0,13,"999=5; 70=2; 18=1; 23=1; 27=1; 32=1; 35=1; 45=1","18; 23; 27; 32; 35; 45; 51; 52; 58; 61; 63; 70; 999","matched PLIDA variable metadata","Age at the 2021 Census, as a categorical item in single years topped out at 85 years and over. The 2021 Census changed the question rather …","madipge-acld11-d-persons-11-16-21 | madipge-acld16-d-person-16-21","","",""
