"guide","dataset","table","variable","type","n_rows","missing","missing_pct","distinct","domain_or_distribution","values_if_small_domain","metadata_match","plida_variable_descriptions","plida_products","blade_item","blade_valid_response","blade_available_periods"
"dhda-health","AIR","dhda-air","spine_id","character",500,50,10,450,"SP0000000001=1; SP0000000002=1; SP0000000003=1; SP0000000005=1; SP0000000006=1; SP0000000009=1; SP0000000010=1; SP0000000011=1","","no PLIDA metadata match by dataset+variable","","","","",""
"dhda-health","AIR","dhda-air","SYNTHETIC_AEUID","character",500,0,0,500,"B84680000001=1; B84680000002=1; B84680000003=1; B84680000004=1; B84680000005=1; B84680000006=1; B84680000007=1; B84680000008=1","","matched PLIDA variable metadata","Synthetic MADIP Person ID","madip-vacstrat-air","","",""
"dhda-health","AIR","madip-vacstrat-air","ABORIND","character",3535,0,0,2,"N=3401; Y=134","N; Y","matched PLIDA variable metadata","Individual Aboriginality indicator","madip-vacstrat-air","","",""
"dhda-health","AIR","madip-vacstrat-air","ANTGNCDE","character",3535,0,0,16,"FLU=1523; COVID=970; DTPA=93; HEP_B=93; HIB=93; IPV=93; MMR=93; PCV13=93","COVID; DTPA; DTPA_BOOST; FLU; FLU_CHILD; HEP_B; HIB; HPV; IPV; MENACWY; MMR; PCV13; PNEU; ROTA; VAR; ZOSTER","matched PLIDA variable metadata","The antigen code","madip-vacstrat-air","","",""
"dhda-health","AIR","madip-vacstrat-air","ANTIGEN_CODE","character",3535,0,0,16,"FLU=1523; COVID=970; DTPA=93; HEP_B=93; HIB=93; IPV=93; MMR=93; PCV13=93","COVID; DTPA; DTPA_BOOST; FLU; FLU_CHILD; HEP_B; HIB; HPV; IPV; MENACWY; MMR; PCV13; PNEU; ROTA; VAR; ZOSTER","no PLIDA metadata match by dataset+variable","","","","",""
"dhda-health","AIR","madip-vacstrat-air","BATCHNUM","character",3535,0,0,907,"AIRBAB5E27E22545=64; AIRB7266AA8D5287=61; AIRB9B66AF9E6C75=61; AIRB7C668CDB9A0F=59; AIRBD45E2D2C8928=56; AIRB825E240EF1B9=55; AIRB595E1ECD6532=54; AIRBA5669209178C=53","","matched PLIDA variable metadata","Batch number (hashed)","madip-vacstrat-air","","",""
"dhda-health","AIR","madip-vacstrat-air","CIMMPROV","character",3535,0,0,278,"AIRP10039=47; AIRP20018=47; AIRP20043=45; AIRP10024=43; AIRP20001=41; AIRP30005=40; AIRP10058=39; AIRP10010=38","","matched PLIDA variable metadata","Checked immunising provider number","madip-vacstrat-air","","",""
"dhda-health","AIR","madip-vacstrat-air","CLAIMID","character",3535,0,0,3535,"AIRCLM000BCF538F4DC30D=1; AIRCLM0023C4DFCDB4C405=1; AIRCLM002FE477C1806980=1; AIRCLM0030A87621CB3866=1; AIRCLM004C76C518548342=1; AIRCLM004F2066C51A217B=1; AIRCLM005042CE19720E6C=1; AIRCLM005461DCCB9C5313=1","","matched PLIDA variable metadata","Encounter claim identification","madip-vacstrat-air","","",""
"dhda-health","AIR","madip-vacstrat-air","CLAIMSEQ","character",3535,0,0,1,"1=3535","1","matched PLIDA variable metadata","Encounter claim sequence number","madip-vacstrat-air","","",""
"dhda-health","AIR","madip-vacstrat-air","CPROVNUM","character",3535,0,0,278,"AIRP10039=47; AIRP20018=47; AIRP20043=45; AIRP10024=43; AIRP20001=41; AIRP30005=40; AIRP10058=39; AIRP10010=38","","matched PLIDA variable metadata","Checked information provider number | Checked provider number","madip-vacstrat-air","","",""
