"guide","dataset","table","variable","type","n_rows","missing","missing_pct","distinct","domain_or_distribution","values_if_small_domain","metadata_match","plida_variable_descriptions","plida_products","blade_item","blade_valid_response","blade_available_periods"
"dss","APSED","apsc-apsed","spine_id","character",500,50,10,450,"SP0000000001=1; SP0000000002=1; SP0000000003=1; SP0000000004=1; SP0000000005=1; SP0000000006=1; SP0000000007=1; SP0000000008=1","","no PLIDA metadata match by dataset+variable","","","","",""
"dss","APSED","apsc-apsed","SYNTHETIC_AEUID","character",500,0,0,500,"FA52E0000001=1; FA52E0000002=1; FA52E0000003=1; FA52E0000004=1; FA52E0000005=1; FA52E0000006=1; FA52E0000007=1; FA52E0000008=1","","matched PLIDA variable metadata","APSED person identifier","pmp-apsed","","",""
"dss","APSED","pmp-apsed","ACTING_CLASSIFICATION","character",4,4,100,0,"","","matched PLIDA variable metadata","The acting classification of an APS employee, as represented by a code","pmp-apsed","","",""
"dss","APSED","pmp-apsed","AGENCY_FUNCTION","character",4,0,0,3,"Specialist=2; Larger operational=1; Smaller operational=1","Larger operational; Smaller operational; Specialist","matched PLIDA variable metadata","APS agencies grouped into categories based on functional clusters (Policy, Smaller operational, Larger operational, Regulatory, Specialist …","pmp-apsed","","",""
"dss","APSED","pmp-apsed","AGENCY_SIZE","character",4,4,100,0,"","","matched PLIDA variable metadata","The size of an agency within number ranges.","pmp-apsed","","",""
"dss","APSED","pmp-apsed","AGENCYID","character",4,0,0,4,"186185227805=1; 186186227808=1; 187102827805=1; 187103827808=1","186185227805; 186186227808; 187102827805; 187103827808","matched PLIDA variable metadata","Agency person was working at when they were on acting duties","pmp-apsed","","",""
"dss","APSED","pmp-apsed","ARRIVAL_YEAR","numeric",4,2,50,2,"2000 / 2004 / 2008 / 2012 / 2016","2000; 2016","matched PLIDA variable metadata","The year the APS employee first arrived as a resident in Australia from another country with the intention of staying for one or more years.","pmp-apsed","","",""
"dss","APSED","pmp-apsed","COUNTRY_OF_BIRTH","integer",4,0,0,3,"1101.0 / 1101.0 / 3103.0 / 5605.5 / 7107.0","1101; 5105; 7107","matched PLIDA variable metadata","The country of birth of the APS employee defined by the ABS Standard Australian Classification of Countries (SACC) 2016.","pmp-apsed","","",""
"dss","APSED","pmp-apsed","DATECHANGED","Date",4,0,0,4,"2023-09-16 to 2024-03-19","2023-09-16; 2023-10-25; 2024-02-09; 2024-03-19","matched PLIDA variable metadata","Date the disability status has changed","pmp-apsed","","",""
"dss","APSED","pmp-apsed","DISABILITY","logical",4,0,0,1,"FALSE=4","FALSE","matched PLIDA variable metadata","Whether the Australian Public Service employee has told their agency they have a disability. It is a self-disclosure to an employer rather …","pmp-apsed","","",""
"dss","APSED","pmp-apsed","EMPLOYMENT_STATUS","character",4,0,0,3,"Non-ongoing - specified term=2; Non-ongoing - casual=1; Ongoing=1","Non-ongoing - casual; Non-ongoing - specified term; Ongoing","matched PLIDA variable metadata","Employment status of an employee. (Ongoing, non-ongoing - specified term, non-ongoing - specified task, non-ongoing - casual)","pmp-apsed","","",""
"dss","APSED","pmp-apsed","FATHERS_LANGUAGE","character",4,0,0,2,"1201=3; 3402=1","1201; 3402","matched PLIDA variable metadata","The first language spoken by the APS employee's father","pmp-apsed","","",""
"dss","APSED","pmp-apsed","FIELD_OF_STUDY_MAIN","character",4,4,100,0,"","","matched PLIDA variable metadata","The APS employee's first main field(s) of study for the highest educational qualification completed.","pmp-apsed","","",""
"dss","APSED","pmp-apsed","FIELD_OF_STUDY_OTHER","character",4,4,100,0,"","","matched PLIDA variable metadata","The APS employee's second main field(s) of study for the highest educational qualification completed.","pmp-apsed","","",""
"dss","APSED","pmp-apsed","FIRST_LANGUAGE","character",4,0,0,2,"1201=3; 2101=1","1201; 2101","matched PLIDA variable metadata","The primary language spoken by the APS employee as a child when learning to speak.","pmp-apsed","","",""
"dss","APSED","pmp-apsed","GENDER","character",4,4,100,0,"","","matched PLIDA variable metadata","The gender of the APS employee.","pmp-apsed","","",""
"dss","APSED","pmp-apsed","HIGHEST_EDUCATION_COUNTRY","integer",4,0,0,1,"1101 / 1101 / 1101 / 1101 / 1101","1101","matched PLIDA variable metadata","The country in which the person has attained their highest education qualification.","pmp-apsed","","",""
"dss","APSED","pmp-apsed","HIGHEST_EDUCATION_QUALIFICATION","character",4,4,100,0,"","","matched PLIDA variable metadata","Highest attained educational qualification an employee has received","pmp-apsed","","",""
"dss","APSED","pmp-apsed","HIGHEST_EDUCATION_YEAR_COMPLETED","numeric",4,0,0,4,"1975.00 / 1995.25 / 2011.50 / 2021.50 / 2023.00","1975; 2002; 2021; 2023","matched PLIDA variable metadata","The year in which a person completed their highest attained educational qualifications.","pmp-apsed","","",""
"dss","APSED","pmp-apsed","HOURS_WORKED_PER_WEEK","numeric",4,0,0,4,"15.200 / 26.600 / 33.950 / 38.125 / 40.000","15.2; 30.4; 37.5; 40","matched PLIDA variable metadata","The 'regular' number of hours that the APS employee is paid to work in a 'standard' week.","pmp-apsed","","",""
"dss","APSED","pmp-apsed","INDIGENOUS_STATUS","character",4,4,100,0,"","","matched PLIDA variable metadata","The Indigenous status (Australian Aboriginal or Torres Strait Islander) of employees.","pmp-apsed","","",""
"dss","APSED","pmp-apsed","JOBFAMILY","character",4,4,100,0,"","","matched PLIDA variable metadata","APS Job Family categories","pmp-apsed","","",""
"dss","APSED","pmp-apsed","JOBFAMILY_CODE","character",4,4,100,0,"","","matched PLIDA variable metadata","The occupational groupings that exist in the APS workforce, based on the APS job family model.","pmp-apsed","","",""
"dss","APSED","pmp-apsed","JOBFAMILY_FUNCTION","character",4,4,100,0,"","","matched PLIDA variable metadata","APS Job Family function categories","pmp-apsed","","",""
"dss","APSED","pmp-apsed","JOBFAMILY_ROLE","character",4,4,100,0,"","","matched PLIDA variable metadata","APS Job Family role categories","pmp-apsed","","",""
"dss","APSED","pmp-apsed","LEAVE_CODE","character",4,4,100,0,"","","matched PLIDA variable metadata","The leave status of a person, as represented by a code. Leave types include maternity leave and inoperative.","pmp-apsed","","",""
"dss","APSED","pmp-apsed","MONTH_OF_BIRTH","integer",4,0,0,4,"1.00 / 3.25 / 4.50 / 6.75 / 12.00","1; 12; 4; 5","matched PLIDA variable metadata","The month of the APS employee's birth.","pmp-apsed","","",""
"dss","APSED","pmp-apsed","MOTHERS_LANGUAGE","character",4,0,0,1,"1201=4","1201","matched PLIDA variable metadata","The first language spoken by the APS employee's mother","pmp-apsed","","",""
"dss","APSED","pmp-apsed","MOVEMENT_CODE","character",4,4,100,0,"","","matched PLIDA variable metadata","Movement codes are used to indicate changes in various employment details such as classification level, postcode, agency, termination, etc.","pmp-apsed","","",""
"dss","APSED","pmp-apsed","MOVEMENT_END_DATE","Date",4,0,0,3,"2024-05-15 to 2024-06-30","2024-05-15; 2024-06-10; 2024-06-30","matched PLIDA variable metadata","Date closed of the movement","pmp-apsed","","",""
"dss","APSED","pmp-apsed","MOVEMENT_START_DATE","Date",4,0,0,4,"2023-11-19 to 2024-05-06","2023-11-19; 2023-12-24; 2024-04-01; 2024-05-06","matched PLIDA variable metadata","Date of effect of the movement","pmp-apsed","","",""
"dss","APSED","pmp-apsed","POSTCODE_OF_EMPLOYEES_WORKPLACE","character",4,0,0,4,"2033=1; 3431=1; 5261=1; 6741=1","2033; 3431; 5261; 6741","matched PLIDA variable metadata","Postcode at the employee's workplace. For home-based employees this is the postcode at the employee's base office and not the employee's ho…","pmp-apsed","","",""
"dss","APSED","pmp-apsed","PREVIOUS_EMPLOYMENT","character",4,0,0,3,"State government=2; Student=1; Unemployed=1","State government; Student; Unemployed","matched PLIDA variable metadata","Identifies the previous employment (Private sector, state government, student, unemployed etc.) of the employee before they commenced in th…","pmp-apsed","","",""
"dss","APSED","pmp-apsed","SNAPSHOT_DATE","Date",4,0,0,1,"2024-06-30 to 2024-06-30","2024-06-30","matched PLIDA variable metadata","The date in which the acting classification has been captured at the end of the financial year","pmp-apsed","","",""
"dss","APSED","pmp-apsed","STATE_OF_EMPLOYEES_WORKPLACE","integer",4,0,0,4,"1.00 / 1.75 / 3.00 / 4.25 / 5.00","1; 2; 4; 5","matched PLIDA variable metadata","The state of the APS employee's workplace.","pmp-apsed","","",""
"dss","APSED","pmp-apsed","SUBSTANTIVE_CLASSIFICATION","character",4,4,100,0,"","","matched PLIDA variable metadata","Substantive classification level of an employee.","pmp-apsed","","",""
"dss","APSED","pmp-apsed","SYNTHETIC_AEUID","character",4,0,0,4,"FA52E000005B=1; FA52E0000081=1; FA52E00001AF=1; FA52E00001C1=1","FA52E000005B; FA52E0000081; FA52E00001AF; FA52E00001C1","matched PLIDA variable metadata","APSED person identifier","pmp-apsed","","",""
