"guide","dataset","table","variable","type","n_rows","missing","missing_pct","distinct","domain_or_distribution","values_if_small_domain","metadata_match","plida_variable_descriptions","plida_products","blade_item","blade_valid_response","blade_available_periods"
"education","AEDC","AEDC","AGEINMONTHS","integer",157,0,0,36,"48 / 55 / 66 / 75 / 83","","matched PLIDA variable metadata","Age in months","madipge-aedc-d-core-2009 | madipge-aedc-d-core-2012 | madipge-aedc-d-core-2015 | madipge-aedc-d-core-2018 | madipge-aedc-d-core-2021 | madipge-aedc-d-core-2024","","",""
"education","AEDC","AEDC","ATSI","character",157,0,0,2,"No=152; Yes=5","No; Yes","matched PLIDA variable metadata","Indigenous status (1 representing indigenous null signifying non-indigenous/non-identifying) | Is the child of aboriginal or torres strait islander descent","madipge-aedc-d-indigenous-2009 | madipge-aedc-d-indigenous-2012 | madipge-aedc-d-indigenous-2015 | madipge-aedc-d-indigenous-2018 | madipge-aedc-d-indigenous-2021 | madipge-aedc-d-indigenous-2024","","",""
"education","AEDC","AEDC","COMGEN","numeric",157,0,0,131,"1.62 / 5.25 / 6.54 / 8.05 / 10.00","","matched PLIDA variable metadata","Communication and general knowledge | Communication skills and general knowledge domain score","madipge-aedc-d-core-2009 | madipge-aedc-d-core-2012 | madipge-aedc-d-core-2015 | madipge-aedc-d-core-2018 | madipge-aedc-d-core-2021 | madipge-aedc-d-core-2024","","",""
"education","AEDC","AEDC","COMGENCATEGORY","character",157,0,0,3,"On track=93; At risk=38; Vulnerable=26","On track; At risk; Vulnerable","matched PLIDA variable metadata","Vulnerable - communication | Percentile distribution of scores in the communication skills and general knowledge domain","madipge-aedc-d-core-2009 | madipge-aedc-d-core-2012 | madipge-aedc-d-core-2015 | madipge-aedc-d-core-2018 | madipge-aedc-d-core-2021 | madipge-aedc-d-core-2024","","",""
"education","AEDC","AEDC","CYCLE","integer",157,0,0,1,"2021 / 2021 / 2021 / 2021 / 2021","2021","matched PLIDA variable metadata","AEDC cycle | Aedc collection cycle","madipge-aedc-d-core-2009 | madipge-aedc-d-core-2012 | madipge-aedc-d-core-2015 | madipge-aedc-d-core-2018 | madipge-aedc-d-core-2021 | madipge-aedc-d-core-2024","","",""
"education","AEDC","AEDC","DV1","integer",157,0,0,2,"0 / 0 / 0 / 1 / 1","0; 1","matched PLIDA variable metadata","Vulnerable - one or more domains | Child is developmentally vulnerable on one or more domains","madipge-aedc-d-core-2009 | madipge-aedc-d-core-2012 | madipge-aedc-d-core-2015 | madipge-aedc-d-core-2018 | madipge-aedc-d-core-2021 | madipge-aedc-d-core-2024","","",""
"education","AEDC","AEDC","DV2","integer",157,0,0,2,"0 / 0 / 0 / 0 / 1","0; 1","matched PLIDA variable metadata","Vulnerable - two or more domains | Child is developmentally vulnerable on two or more domains","madipge-aedc-d-core-2009 | madipge-aedc-d-core-2012 | madipge-aedc-d-core-2015 | madipge-aedc-d-core-2018 | madipge-aedc-d-core-2021 | madipge-aedc-d-core-2024","","",""
"education","AEDC","AEDC","EMOT","numeric",157,0,0,138,"1.44 / 5.75 / 6.79 / 7.85 / 10.00","","matched PLIDA variable metadata","Emotional maturity | Emotional maturity domain score","madipge-aedc-d-core-2009 | madipge-aedc-d-core-2012 | madipge-aedc-d-core-2015 | madipge-aedc-d-core-2018 | madipge-aedc-d-core-2021 | madipge-aedc-d-core-2024","","",""
"education","AEDC","AEDC","EMOTCATEGORY","character",157,0,0,3,"On track=110; At risk=30; Vulnerable=17","On track; At risk; Vulnerable","matched PLIDA variable metadata","Vulnerable - emotional maturity | Percentile distribution of scores in the emotional maturity domain","madipge-aedc-d-core-2009 | madipge-aedc-d-core-2012 | madipge-aedc-d-core-2015 | madipge-aedc-d-core-2018 | madipge-aedc-d-core-2021 | madipge-aedc-d-core-2024","","",""
"education","AEDC","AEDC","GENDER","character",157,0,0,2,"Male=79; Female=78","Male; Female","matched PLIDA variable metadata","Sex of child | Gender of the child","madipge-aedc-d-core-2009 | madipge-aedc-d-core-2012 | madipge-aedc-d-core-2015 | madipge-aedc-d-core-2018 | madipge-aedc-d-core-2021 | madipge-aedc-d-core-2024","","",""
