"guide","dataset","table","variable","type","n_rows","missing","missing_pct","distinct","domain_or_distribution","values_if_small_domain","metadata_match","plida_variable_descriptions","plida_products","blade_item","blade_valid_response","blade_available_periods"
"home-affairs","AMEP","ha-amep","spine_id","character",500,50,10,450,"SP0000000001=1; SP0000000002=1; SP0000000003=1; SP0000000004=1; SP0000000005=1; SP0000000006=1; SP0000000007=1; SP0000000008=1","","no PLIDA metadata match by dataset+variable","","","","",""
"home-affairs","AMEP","ha-amep","SYNTHETIC_AEUID","character",500,0,0,500,"DDEDA0000001=1; DDEDA0000002=1; DDEDA0000003=1; DDEDA0000004=1; DDEDA0000005=1; DDEDA0000006=1; DDEDA0000007=1; DDEDA0000008=1","","matched PLIDA variable metadata","The person key that holds an AMEP client's records together and joins them to the rest of the asset. It carries the same value on all six A…","madipge-mig-d-amep-activity-03-11 | madipge-mig-d-amep-activity-11-19 | madipge-mig-d-amep-address-03-19 | ... (6 products)","","",""
"home-affairs","AMEP","madipge-mig-d-amep-activity-03-11--amep_clientshours_2003_11","AMEP_2003","character",17,0,0,11,"amep_000001=2; amep_000002=2; amep_000003=2; amep_000004=2; amep_000005=2; amep_000006=2; amep_000007=1; amep_000008=1","amep_000001; amep_000002; amep_000003; amep_000004; amep_000005; amep_000006; amep_000007; amep_000008; amep_000009; amep_000010; amep_000011","matched PLIDA variable metadata","Hours of AMEP tuition the client attended in the half year from 1 July to 31 December 2003, counted against the 510 hour entitlement. It is…","madipge-mig-d-amep-activity-03-11","","",""
"home-affairs","AMEP","madipge-mig-d-amep-activity-03-11--amep_clientshours_2003_11","AMEP_2003_04","character",17,0,0,11,"amep_000001=2; amep_000002=2; amep_000003=2; amep_000004=2; amep_000005=2; amep_000006=2; amep_000007=1; amep_000008=1","amep_000001; amep_000002; amep_000003; amep_000004; amep_000005; amep_000006; amep_000007; amep_000008; amep_000009; amep_000010; amep_000011","matched PLIDA variable metadata","Hours of AMEP tuition the client attended in the 2003-04 financial year, counted against the 510 hour entitlement. Its first six months are…","madipge-mig-d-amep-activity-03-11","","",""
"home-affairs","AMEP","madipge-mig-d-amep-activity-03-11--amep_clientshours_2003_11","AMEP_2004","character",17,0,0,11,"amep_000001=2; amep_000002=2; amep_000003=2; amep_000004=2; amep_000005=2; amep_000006=2; amep_000007=1; amep_000008=1","amep_000001; amep_000002; amep_000003; amep_000004; amep_000005; amep_000006; amep_000007; amep_000008; amep_000009; amep_000010; amep_000011","matched PLIDA variable metadata","Hours of AMEP tuition the client attended in the 2004 calendar year, counted against the 510 hour entitlement. Its first half sits inside A…","madipge-mig-d-amep-activity-03-11","","",""
"home-affairs","AMEP","madipge-mig-d-amep-activity-03-11--amep_clientshours_2003_11","AMEP_2004_05","character",17,0,0,11,"amep_000001=2; amep_000002=2; amep_000003=2; amep_000004=2; amep_000005=2; amep_000006=2; amep_000007=1; amep_000008=1","amep_000001; amep_000002; amep_000003; amep_000004; amep_000005; amep_000006; amep_000007; amep_000008; amep_000009; amep_000010; amep_000011","matched PLIDA variable metadata","Hours of AMEP tuition the client attended in the 2004-05 financial year, counted against the 510 hour entitlement. Its first half is counte…","madipge-mig-d-amep-activity-03-11","","",""
"home-affairs","AMEP","madipge-mig-d-amep-activity-03-11--amep_clientshours_2003_11","AMEP_2005","character",17,0,0,11,"amep_000001=2; amep_000002=2; amep_000003=2; amep_000004=2; amep_000005=2; amep_000006=2; amep_000007=1; amep_000008=1","amep_000001; amep_000002; amep_000003; amep_000004; amep_000005; amep_000006; amep_000007; amep_000008; amep_000009; amep_000010; amep_000011","matched PLIDA variable metadata","Hours of AMEP tuition the client attended in the 2005 calendar year, counted against the 510 hour entitlement. Its first half sits inside A…","madipge-mig-d-amep-activity-03-11","","",""
"home-affairs","AMEP","madipge-mig-d-amep-activity-03-11--amep_clientshours_2003_11","AMEP_2005_06","character",17,0,0,11,"amep_000001=2; amep_000002=2; amep_000003=2; amep_000004=2; amep_000005=2; amep_000006=2; amep_000007=1; amep_000008=1","amep_000001; amep_000002; amep_000003; amep_000004; amep_000005; amep_000006; amep_000007; amep_000008; amep_000009; amep_000010; amep_000011","matched PLIDA variable metadata","Hours of AMEP tuition the client attended in the 2005-06 financial year, counted against the 510 hour entitlement. Its first half is counte…","madipge-mig-d-amep-activity-03-11","","",""
"home-affairs","AMEP","madipge-mig-d-amep-activity-03-11--amep_clientshours_2003_11","AMEP_2006","character",17,0,0,11,"amep_000001=2; amep_000002=2; amep_000003=2; amep_000004=2; amep_000005=2; amep_000006=2; amep_000007=1; amep_000008=1","amep_000001; amep_000002; amep_000003; amep_000004; amep_000005; amep_000006; amep_000007; amep_000008; amep_000009; amep_000010; amep_000011","matched PLIDA variable metadata","Hours of AMEP tuition the client attended in the 2006 calendar year, counted against the 510 hour entitlement. Its first half sits inside A…","madipge-mig-d-amep-activity-03-11","","",""
"home-affairs","AMEP","madipge-mig-d-amep-activity-03-11--amep_clientshours_2003_11","AMEP_2006_07","character",17,0,0,11,"amep_000001=2; amep_000002=2; amep_000003=2; amep_000004=2; amep_000005=2; amep_000006=2; amep_000007=1; amep_000008=1","amep_000001; amep_000002; amep_000003; amep_000004; amep_000005; amep_000006; amep_000007; amep_000008; amep_000009; amep_000010; amep_000011","matched PLIDA variable metadata","Hours of AMEP tuition the client attended in the 2006-07 financial year, counted against the 510 hour entitlement. Its first half is counte…","madipge-mig-d-amep-activity-03-11","","",""
"home-affairs","AMEP","madipge-mig-d-amep-activity-03-11--amep_clientshours_2003_11","AMEP_2007","character",17,0,0,11,"amep_000001=2; amep_000002=2; amep_000003=2; amep_000004=2; amep_000005=2; amep_000006=2; amep_000007=1; amep_000008=1","amep_000001; amep_000002; amep_000003; amep_000004; amep_000005; amep_000006; amep_000007; amep_000008; amep_000009; amep_000010; amep_000011","matched PLIDA variable metadata","Hours of AMEP tuition the client attended in the 2007 calendar year, counted against the 510 hour entitlement. Its first half sits inside A…","madipge-mig-d-amep-activity-03-11","","",""
"home-affairs","AMEP","madipge-mig-d-amep-activity-03-11--amep_clientshours_2003_11","AMEP_2007_08","character",17,0,0,11,"amep_000001=2; amep_000002=2; amep_000003=2; amep_000004=2; amep_000005=2; amep_000006=2; amep_000007=1; amep_000008=1","amep_000001; amep_000002; amep_000003; amep_000004; amep_000005; amep_000006; amep_000007; amep_000008; amep_000009; amep_000010; amep_000011","matched PLIDA variable metadata","Hours of AMEP tuition the client attended in the 2007-08 financial year, counted against the 510 hour entitlement. Its first half is counte…","madipge-mig-d-amep-activity-03-11","","",""
"home-affairs","AMEP","madipge-mig-d-amep-activity-03-11--amep_clientshours_2003_11","AMEP_2008","character",17,0,0,11,"amep_000001=2; amep_000002=2; amep_000003=2; amep_000004=2; amep_000005=2; amep_000006=2; amep_000007=1; amep_000008=1","amep_000001; amep_000002; amep_000003; amep_000004; amep_000005; amep_000006; amep_000007; amep_000008; amep_000009; amep_000010; amep_000011","matched PLIDA variable metadata","Hours of AMEP tuition the client attended in the 2008 calendar year, counted against the 510 hour entitlement. Its first half sits inside A…","madipge-mig-d-amep-activity-03-11","","",""
"home-affairs","AMEP","madipge-mig-d-amep-activity-03-11--amep_clientshours_2003_11","AMEP_2008_09","character",17,0,0,11,"amep_000001=2; amep_000002=2; amep_000003=2; amep_000004=2; amep_000005=2; amep_000006=2; amep_000007=1; amep_000008=1","amep_000001; amep_000002; amep_000003; amep_000004; amep_000005; amep_000006; amep_000007; amep_000008; amep_000009; amep_000010; amep_000011","matched PLIDA variable metadata","Hours of AMEP tuition the client attended in the 2008-09 financial year, counted against the 510 hour entitlement. Its first half is counte…","madipge-mig-d-amep-activity-03-11","","",""
"home-affairs","AMEP","madipge-mig-d-amep-activity-03-11--amep_clientshours_2003_11","AMEP_2009","character",17,0,0,11,"amep_000001=2; amep_000002=2; amep_000003=2; amep_000004=2; amep_000005=2; amep_000006=2; amep_000007=1; amep_000008=1","amep_000001; amep_000002; amep_000003; amep_000004; amep_000005; amep_000006; amep_000007; amep_000008; amep_000009; amep_000010; amep_000011","matched PLIDA variable metadata","Hours of AMEP tuition the client attended in the 2009 calendar year, counted against the 510 hour entitlement. Its first half sits inside A…","madipge-mig-d-amep-activity-03-11","","",""
"home-affairs","AMEP","madipge-mig-d-amep-activity-03-11--amep_clientshours_2003_11","AMEP_2009_10","character",17,0,0,11,"amep_000001=2; amep_000002=2; amep_000003=2; amep_000004=2; amep_000005=2; amep_000006=2; amep_000007=1; amep_000008=1","amep_000001; amep_000002; amep_000003; amep_000004; amep_000005; amep_000006; amep_000007; amep_000008; amep_000009; amep_000010; amep_000011","matched PLIDA variable metadata","Hours of AMEP tuition the client attended in the 2009-10 financial year, counted against the 510 hour entitlement. Its first half is counte…","madipge-mig-d-amep-activity-03-11","","",""
