"guide","dataset","table","variable","type","n_rows","missing","missing_pct","distinct","domain_or_distribution","values_if_small_domain","metadata_match","plida_variable_descriptions","plida_products","blade_item","blade_valid_response","blade_available_periods"
"lfs","LFS","abs-lfs","ABSENCES","character",532,530,99.6241,2,"16=1; 21=1","16; 21","matched PLIDA variable metadata","Reason away from work last week","pmp-coes","","",""
"lfs","LFS","abs-lfs","ABSHID","character",532,502,94.3609,3,"LLFS250800001=16; LLFS251000003=8; LLFS250300002=6","LLFS250300002; LLFS250800001; LLFS251000003","matched PLIDA variable metadata","Household ID","pmp-llfs","","",""
"lfs","LFS","abs-lfs","ABSMID","integer",532,500,93.985,13,"202503 / 202508 / 202511 / 202601 / 202605","202503; 202504; 202505; 202508; 202509; 202510; 202511; 202512; 202601; 202602; 202603; 202604; 202605","matched PLIDA variable metadata","Survey month","pmp-coes | pmp-llfs","","",""
"lfs","LFS","abs-lfs","ABSPID","character",532,502,94.3609,2,"01=19; 02=11","01; 02","matched PLIDA variable metadata","Person ID","pmp-llfs","","",""
"lfs","LFS","abs-lfs","ABSRID","character",532,500,93.985,5,"LLFS25080000101=9; LLFS25080000102=9; LLFS25100000301=8; LLFS25030000201=3; LLFS25030000202=3","LLFS25030000201; LLFS25030000202; LLFS25080000101; LLFS25080000102; LLFS25100000301","matched PLIDA variable metadata","Record ID","pmp-coes | pmp-llfs","","",""
"lfs","LFS","abs-lfs","ACTFTPT","character",532,502,94.3609,3,"1=23; 2=4; 0=3","0; 1; 2","matched PLIDA variable metadata","Whether actually worked full-time or part-time hours in all jobs last week","pmp-llfs","","",""
"lfs","LFS","abs-lfs","AGE","integer",532,502,94.3609,7,"22 / 39 / 40 / 41 / 53","22; 38; 39; 40; 41; 42; 53","matched PLIDA variable metadata","Age","pmp-llfs","","",""
"lfs","LFS","abs-lfs","AGES","character",532,530,99.6241,2,"040=1; 041=1","040; 041","matched PLIDA variable metadata","Age","pmp-coes","","",""
"lfs","LFS","abs-lfs","AGEYNGFA","character",532,530,99.6241,1,"1=2","1","matched PLIDA variable metadata","Age of youngest child in family (aged 0-14 years) - flag","pmp-coes","","",""
"lfs","LFS","abs-lfs","AGEYNGFB","character",532,530,99.6241,1,"06=2","06","matched PLIDA variable metadata","Age of youngest child in family (aged 0-14 years)","pmp-coes","","",""
"lfs","LFS","abs-lfs","AGEYNGHA","character",532,530,99.6241,1,"1=2","1","matched PLIDA variable metadata","Age of youngest child in household (aged 0-14 years) - flag","pmp-coes","","",""
"lfs","LFS","abs-lfs","AGEYNGHB","character",532,530,99.6241,1,"06=2","06","matched PLIDA variable metadata","Age of youngest child in household (aged 0-14 years)","pmp-coes","","",""
"lfs","LFS","abs-lfs","AGREFLEX","character",532,530,99.6241,2,"00=1; 20=1","00; 20","matched PLIDA variable metadata","Whether had a flexible working agreement in main job (detailed)","pmp-coes","","",""
"lfs","LFS","abs-lfs","AGRFLEXS","character",532,530,99.6241,2,"0=1; 2=1","0; 2","matched PLIDA variable metadata","Whether had a flexible working agreement in main job (summary)","pmp-coes","","",""
"lfs","LFS","abs-lfs","AGYNG14F","character",532,502,94.3609,3,"06=16; 11=8; -9=6","-9; 06; 11","matched PLIDA variable metadata","Age of youngest child in family (aged 0 to 14 years)","pmp-llfs","","",""
"lfs","LFS","abs-lfs","AGYNG14H","character",532,502,94.3609,3,"06=16; 11=8; -9=6","-9; 06; 11","matched PLIDA variable metadata","Age of youngest child in household (aged 0 to 14 years)","pmp-llfs","","",""
"lfs","LFS","abs-lfs","AREAASGC","character",532,502,94.3609,1,"1=30","1","matched PLIDA variable metadata","Area (ASGC) of usual residence","pmp-llfs","","",""
"lfs","LFS","abs-lfs","AREAUR","character",532,502,94.3609,1,"1=30","1","matched PLIDA variable metadata","Area (ASGS) of usual residence","pmp-llfs","","",""
"lfs","LFS","abs-lfs","ASCEDLVL","character",532,530,99.6241,2,"312=1; 514=1","312; 514","matched PLIDA variable metadata","Level of highest educational attainment","pmp-coes","","",""
"lfs","LFS","abs-lfs","ASCEDLVS","character",532,530,99.6241,2,"312=1; 514=1","312; 514","matched PLIDA variable metadata","Level of highest non-school qualification","pmp-coes","","",""
"lfs","LFS","abs-lfs","ASGSSA4S","character",532,530,99.6241,1,"206=2","206","matched PLIDA variable metadata","Labour market region (SA4) of usual residence","pmp-coes","","",""
"lfs","LFS","abs-lfs","AWAYWORK","character",532,502,94.3609,2,"-1=28; 21=2","-1; 21","matched PLIDA variable metadata","Away from work status","pmp-llfs","","",""
