"guide","dataset","table","variable","type","n_rows","missing","missing_pct","distinct","domain_or_distribution","values_if_small_domain","metadata_match","plida_variable_descriptions","plida_products","blade_item","blade_valid_response","blade_available_periods"
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","ACTVPRTCPNTIND","character",2,0,0,1,"Y=2","Y","matched PLIDA variable metadata","Indicates whether the participant is currently active (access met and has not exited the scheme)","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","ATSISTS","character",2,0,0,1,"No=2","No","matched PLIDA variable metadata","Aboriginal and torres strait islander status of the contact","madipge-ndis-exp-d-carers-13-current | madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","CALDSTS","character",2,0,0,1,"No=2","No","matched PLIDA variable metadata","Cuturally and linguistically diverse status","madipge-ndis-exp-d-carers-13-current | madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","CHC_FLAG","character",2,0,0,1,"Y=2","Y","matched PLIDA variable metadata","Indicates whether the participant has a chronic health condition or not","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","CNTRYOFBRTHCD","integer",2,0,0,2,"1101.00 / 1351.25 / 1601.50 / 1851.75 / 2102.00","1101; 2102","matched PLIDA variable metadata","Participant's country of birth","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","CSNIND","character",2,0,0,1,"Y=2","Y","matched PLIDA variable metadata","Indicates whether the participant has been flagged for complex support needs","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","EVERELIGBLIND","character",2,0,0,1,"Y=2","Y","matched PLIDA variable metadata","Indicates whether the participant has ever been eligible","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","EVERINELIGBLIND","character",2,0,0,1,"N=2","N","matched PLIDA variable metadata","Indicates whether the participant has ever been ineligible","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","EXITRSNDESC","character",2,2,100,0,"","","matched PLIDA variable metadata","Reason for exiting ndis","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","FRSTPLANAPRVLDT","Date",2,0,0,2,"2014-01-23 to 2021-07-05","2014-01-23; 2021-07-05","matched PLIDA variable metadata","First plan approval date","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","GNDRTYP","character",2,0,0,2,"Female=1; Male=1","Female; Male","matched PLIDA variable metadata","The participant's gender","madipge-ndis-exp-d-carers-13-current | madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","ICDDSBLTYNM","character",2,0,0,2,"Stroke / acquired brain injury=1; Visual impairment=1","Stroke / acquired brain injury; Visual impairment","matched PLIDA variable metadata","The name of the participant's disability according to the international classification of disease","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","LANGSPKNATHOMENM","character",2,0,0,1,"English=2","English","matched PLIDA variable metadata","Primary language spoken at home","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","MONTH_OF_BIRTH","integer",2,0,0,2,"4.00 / 4.25 / 4.50 / 4.75 / 5.00","4; 5","matched PLIDA variable metadata","Month of birth","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","NDIAAGEBND","character",2,0,0,2,"45 to 54=1; 55 to 64=1","45 to 54; 55 to 64","matched PLIDA variable metadata","The participant's age band as at 31 december 2019","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","NDISDSBLTYGRPNM","character",2,0,0,2,"Stroke=1; Visual Impairment=1","Stroke; Visual Impairment","matched PLIDA variable metadata","The participant's primary disability","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","NDISMMMSCD","integer",2,0,0,1,"1 / 1 / 1 / 1 / 1","1","matched PLIDA variable metadata","The modified monash model code used to identify the remoteness of a participant (ndis adjustments have been applied)","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","PLANWAITDAYS","integer",2,0,0,2,"59.0 / 72.5 / 86.0 / 99.5 / 113.0","113; 59","matched PLIDA variable metadata","Days between access and first plan (currently missing value)","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","POSTCD","character",2,0,0,2,"2855=1; 4867=1","2855; 4867","matched PLIDA variable metadata","Postcode for the participant's address","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","REMOTENESS_DESCRIPTION_MMM","character",2,0,0,1,"City=2","City","matched PLIDA variable metadata","The modified monash model (mmm) defines whether a location is a city rural remote or very remote","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","RSDSINSTATECD","integer",2,0,0,2,"1.0 / 1.5 / 2.0 / 2.5 / 3.0","1; 3","matched PLIDA variable metadata","State in which the participant resides","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","SA2CD2021","integer",2,0,0,2,"127031524 / 174779012 / 222526501 / 270273990 / 318021478","127031524; 318021478","matched PLIDA variable metadata","Statistical areas level 2 (sa2)","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","SA3CD2021","integer",2,0,0,2,"12703.0 / 17477.8 / 22252.5 / 27027.2 / 31802.0","12703; 31802","matched PLIDA variable metadata","Statistical areas level 3 (sa3)","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","SA4CD2021","integer",2,0,0,2,"127.00 / 174.75 / 222.50 / 270.25 / 318.00","127; 318","matched PLIDA variable metadata","Statistical areas level 4 (sa4)","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","SVRTYSCR","numeric",2,0,0,2,"0.93500 / 0.95125 / 0.96750 / 0.98375 / 1.00000","0.935; 1","matched PLIDA variable metadata","The participants normalised severity score for their latest plan","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","SYNTHETIC_AEUID","character",2,0,0,2,"C949B0000031=1; C949B0000093=1","C949B0000031; C949B0000093","matched PLIDA variable metadata","Synthetic MADIP Person ID","madipge-ndis-exp-d-carers-13-current | madipge-ndis-exp-d-outcomes-13-current | madipge-ndis-exp-d-participants-13-current | ... (6 products)","","",""
"ndis","NDIS","madipge-ndis-exp-d-participants-13-current","YEAR_OF_BIRTH","integer",2,0,0,2,"1961 / 1962 / 1963 / 1964 / 1965","1961; 1965","matched PLIDA variable metadata","Year of birth","madipge-ndis-exp-d-participants-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-payments-13-current","CLAIMTYPDESC","character",35,0,0,3,"Standard=28; Cancellation=4; Provider travel=3","Cancellation; Provider travel; Standard","matched PLIDA variable metadata","Description of the claim type","madipge-ndis-exp-d-payments-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-payments-13-current","FY_CLAIM","integer",35,0,0,4,"2014.0 / 2015.0 / 2021.0 / 2021.5 / 2022.0","2014; 2015; 2021; 2022","matched PLIDA variable metadata","Financial year of the recorded payment","madipge-ndis-exp-d-payments-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-payments-13-current","MGTTYPDESC","character",35,0,0,1,"agency=35","agency","matched PLIDA variable metadata","Type of service booking. possible values: plan = plan managed agreement agency = standard service booking self = self managed agreement","madipge-ndis-exp-d-payments-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-payments-13-current","PMTRQSTPRVDR_BN","character",35,0,0,14,"51023201807=4; 68021574804=4; 72021592804=4; 16021562804=3; 20021580804=3; 29021577804=3; 35023183807=3; 83023177807=3","16021562804; 20021580804; 29021577804; 33021595804; 33023174807; 35023183807; 37023192807; 48023198807; 51023201807; 68021574804; 70023162807; 72021592804; 83023177807; 86021601804","matched PLIDA variable metadata","Business number of the provider associated with the payment request.","madipge-ndis-exp-d-payments-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-payments-13-current","PRVDR_BN","character",35,0,0,14,"51023201807=4; 68021574804=4; 72021592804=4; 16021562804=3; 20021580804=3; 29021577804=3; 35023183807=3; 83023177807=3","16021562804; 20021580804; 29021577804; 33021595804; 33023174807; 35023183807; 37023192807; 48023198807; 51023201807; 68021574804; 70023162807; 72021592804; 83023177807; 86021601804","matched PLIDA variable metadata","Business number of the provider associated with the payment.","madipge-ndis-exp-d-payments-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-payments-13-current","PYMTAMT","numeric",35,0,0,35,"1260.0 / 3813.0 / 9427.0 / 21867.5 / 67326.0","","matched PLIDA variable metadata","Amount of the recorded payment","madipge-ndis-exp-d-payments-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-payments-13-current","PYMTIDNTFR","character",35,0,0,35,"PMT000000000001=1; PMT000000000002=1; PMT000000000003=1; PMT000000000004=1; PMT000000000005=1; PMT000000000006=1; PMT000000000007=1; PMT000000000008=1","","matched PLIDA variable metadata","Unique identifier for payments","madipge-ndis-exp-d-payments-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-payments-13-current","PYMTRQSTCRTDDT","Date",35,0,0,35,"2014-01-04 to 2021-12-11","","matched PLIDA variable metadata","Date the payment claim was lodged","madipge-ndis-exp-d-payments-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-payments-13-current","PYMTRQSTSUPPCATNM","character",35,0,0,9,"Coordination of Supports=6; Improved Learning=6; Improved Living Arrangements=6; Assistive Technology=5; Assistance with Daily Life=4; Finding & Keeping a Job=3; Increased Social & Community Participation=3; Improved Daily Living Skills=1","Assistance with Daily Life; Assistive Technology; Coordination of Supports; Finding & Keeping a Job; Improved Daily Living Skills; Improved Learning; Improved Life Choices; Improved Living Arrangements; Increased Social & Community Participation","matched PLIDA variable metadata","Support category for the payment","madipge-ndis-exp-d-payments-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-payments-13-current","PYMTRQSTSUPPITEMQTY","integer",35,0,0,16,"1.0 / 6.0 / 9.0 / 13.5 / 20.0","1; 10; 11; 12; 15; 17; 19; 2; 20; 3; 4; 5; 6; 7; 8; 9","matched PLIDA variable metadata","Number of units included in the payment request","madipge-ndis-exp-d-payments-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-payments-13-current","PYMTSTS","character",35,0,0,1,"Paid=35","Paid","matched PLIDA variable metadata","Status of the payment","madipge-ndis-exp-d-payments-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-payments-13-current","SUPPCLASS","character",35,0,0,3,"Capacity Building=26; Capital=5; Core=4","Capacity Building; Capital; Core","matched PLIDA variable metadata","Support class type for the payment provided","madipge-ndis-exp-d-payments-13-current | madipge-ndis-exp-d-plansupports-13-current","","",""
"ndis","NDIS","madipge-ndis-exp-d-payments-13-current","SYNTHETIC_AEUID","character",35,0,0,2,"C949B0000031=19; C949B0000093=16","C949B0000031; C949B0000093","matched PLIDA variable metadata","Synthetic MADIP Person ID","madipge-ndis-exp-d-carers-13-current | madipge-ndis-exp-d-outcomes-13-current | madipge-ndis-exp-d-participants-13-current | ... (6 products)","","",""
"ndis","NDIS","madipge-ndis-exp-d-payments-13-current","TAXAMT","numeric",35,0,0,1,"0 / 0 / 0 / 0 / 0","0","matched PLIDA variable metadata","The amount of tax included in the payment transaction","madipge-ndis-exp-d-payments-13-current","","",""
