"guide","dataset","table","variable","type","n_rows","missing","missing_pct","distinct","domain_or_distribution","values_if_small_domain","metadata_match","plida_variable_descriptions","plida_products","blade_item","blade_valid_response","blade_available_periods"
"pit","PIT_IE","madipge-ato-d-pit-income-edited-20-21","FIN_YEAR","character",6055,0,0,1,"2020-21=6055","2020-21","matched PLIDA variable metadata","Reference financial year | ","madipge-ato-d-pit-income-edited-10-11 | madipge-ato-d-pit-income-edited-11-12 | madipge-ato-d-pit-income-edited-12-13 | madipge-ato-d-pit-income-edited-13-14 | madipge-ato-d-pit-income-edited-14-15 | madipge-ato-d-pit-income-edited-15-16 | madipge-ato-d-pit-income-edited-16-17 | madipge-ato-d-pit-income-edited-17-18 | madipge-ato-d-pit-income-edited-18-19 | madipge-ato-d-pit-income-edited-19-20 | madipge-ato-d-pit-income-edited-20-21 | madipge-ato-d-pit-income-edited-fy2223 | madipge-ato-d-pit-income-edited-fy2324","","",""
"pit","PIT_IE","madipge-ato-d-pit-income-edited-20-21","INCOME_EDITED","numeric",6055,0,0,5921,"-21194.0 / 35741.5 / 58384.0 / 90144.0 / 495168.0","","matched PLIDA variable metadata","Income derived variable by abs | Income edited","madipge-ato-d-pit-income-edited-10-11 | madipge-ato-d-pit-income-edited-11-12 | madipge-ato-d-pit-income-edited-12-13 | madipge-ato-d-pit-income-edited-13-14 | madipge-ato-d-pit-income-edited-14-15 | madipge-ato-d-pit-income-edited-15-16 | madipge-ato-d-pit-income-edited-16-17 | madipge-ato-d-pit-income-edited-17-18 | madipge-ato-d-pit-income-edited-18-19 | madipge-ato-d-pit-income-edited-19-20 | madipge-ato-d-pit-income-edited-20-21 | madipge-ato-d-pit-income-edited-fy2021-22 | madipge-ato-d-pit-income-edited-fy2223 | madipge-ato-d-pit-income-edited-fy2324","","",""
"pit","PIT_IE","madipge-ato-d-pit-income-edited-20-21","INVINC","numeric",6055,0,0,842,"0 / 0 / 0 / 0 / 29828","","matched PLIDA variable metadata","Investment income amount","madipge-ato-d-pit-income-edited-10-11 | madipge-ato-d-pit-income-edited-11-12 | madipge-ato-d-pit-income-edited-12-13 | madipge-ato-d-pit-income-edited-13-14 | madipge-ato-d-pit-income-edited-14-15 | madipge-ato-d-pit-income-edited-15-16 | madipge-ato-d-pit-income-edited-16-17 | madipge-ato-d-pit-income-edited-17-18 | madipge-ato-d-pit-income-edited-18-19 | madipge-ato-d-pit-income-edited-19-20 | madipge-ato-d-pit-income-edited-20-21 | madipge-ato-d-pit-income-edited-fy2021-22 | madipge-ato-d-pit-income-edited-fy2223 | madipge-ato-d-pit-income-edited-fy2324","","",""
"pit","PIT_IE","madipge-ato-d-pit-income-edited-20-21","INVINC_EARNER","character",6055,0,0,2,"N=5197; E=858","E; N","matched PLIDA variable metadata","Invinc earner flag","madipge-ato-d-pit-income-edited-10-11 | madipge-ato-d-pit-income-edited-11-12 | madipge-ato-d-pit-income-edited-12-13 | madipge-ato-d-pit-income-edited-13-14 | madipge-ato-d-pit-income-edited-14-15 | madipge-ato-d-pit-income-edited-15-16 | madipge-ato-d-pit-income-edited-16-17 | madipge-ato-d-pit-income-edited-17-18 | madipge-ato-d-pit-income-edited-18-19 | madipge-ato-d-pit-income-edited-19-20 | madipge-ato-d-pit-income-edited-20-21 | madipge-ato-d-pit-income-edited-fy2021-22 | madipge-ato-d-pit-income-edited-fy2223 | madipge-ato-d-pit-income-edited-fy2324","","",""
"pit","PIT_IE","madipge-ato-d-pit-income-edited-20-21","NONLODGER","character",6055,0,0,2,"ITR=5209; PS=846","ITR; PS","matched PLIDA variable metadata","Source of wands amount (itr or ps)","madipge-ato-d-pit-income-edited-10-11 | madipge-ato-d-pit-income-edited-11-12 | madipge-ato-d-pit-income-edited-12-13 | madipge-ato-d-pit-income-edited-13-14 | madipge-ato-d-pit-income-edited-14-15 | madipge-ato-d-pit-income-edited-15-16 | madipge-ato-d-pit-income-edited-16-17 | madipge-ato-d-pit-income-edited-17-18 | madipge-ato-d-pit-income-edited-18-19 | madipge-ato-d-pit-income-edited-19-20 | madipge-ato-d-pit-income-edited-20-21 | madipge-ato-d-pit-income-edited-fy2021-22 | madipge-ato-d-pit-income-edited-fy2223 | madipge-ato-d-pit-income-edited-fy2324","","",""
"pit","PIT_IE","madipge-ato-d-pit-income-edited-20-21","OTHINC","numeric",6055,0,0,232,"0 / 0 / 0 / 0 / 16599","","matched PLIDA variable metadata","Other income amount","madipge-ato-d-pit-income-edited-10-11 | madipge-ato-d-pit-income-edited-11-12 | madipge-ato-d-pit-income-edited-12-13 | madipge-ato-d-pit-income-edited-13-14 | madipge-ato-d-pit-income-edited-14-15 | madipge-ato-d-pit-income-edited-15-16 | madipge-ato-d-pit-income-edited-16-17 | madipge-ato-d-pit-income-edited-17-18 | madipge-ato-d-pit-income-edited-18-19 | madipge-ato-d-pit-income-edited-19-20 | madipge-ato-d-pit-income-edited-20-21 | madipge-ato-d-pit-income-edited-fy2021-22 | madipge-ato-d-pit-income-edited-fy2223 | madipge-ato-d-pit-income-edited-fy2324","","",""
"pit","PIT_IE","madipge-ato-d-pit-income-edited-20-21","OTHINC_EARNER","character",6055,0,0,2,"N=5823; E=232","E; N","matched PLIDA variable metadata","Othinc earner flag","madipge-ato-d-pit-income-edited-10-11 | madipge-ato-d-pit-income-edited-11-12 | madipge-ato-d-pit-income-edited-12-13 | madipge-ato-d-pit-income-edited-13-14 | madipge-ato-d-pit-income-edited-14-15 | madipge-ato-d-pit-income-edited-15-16 | madipge-ato-d-pit-income-edited-16-17 | madipge-ato-d-pit-income-edited-17-18 | madipge-ato-d-pit-income-edited-18-19 | madipge-ato-d-pit-income-edited-19-20 | madipge-ato-d-pit-income-edited-20-21 | madipge-ato-d-pit-income-edited-fy2021-22 | madipge-ato-d-pit-income-edited-fy2223 | madipge-ato-d-pit-income-edited-fy2324","","",""
"pit","PIT_IE","madipge-ato-d-pit-income-edited-20-21","OWNUNINC","numeric",6055,0,0,523,"-20000 / 0 / 0 / 0 / 116209","","matched PLIDA variable metadata","Own incorporated business income amount","madipge-ato-d-pit-income-edited-10-11 | madipge-ato-d-pit-income-edited-11-12 | madipge-ato-d-pit-income-edited-12-13 | madipge-ato-d-pit-income-edited-13-14 | madipge-ato-d-pit-income-edited-14-15 | madipge-ato-d-pit-income-edited-15-16 | madipge-ato-d-pit-income-edited-16-17 | madipge-ato-d-pit-income-edited-17-18 | madipge-ato-d-pit-income-edited-18-19 | madipge-ato-d-pit-income-edited-19-20 | madipge-ato-d-pit-income-edited-20-21 | madipge-ato-d-pit-income-edited-fy2021-22 | madipge-ato-d-pit-income-edited-fy2223 | madipge-ato-d-pit-income-edited-fy2324","","",""
"pit","PIT_IE","madipge-ato-d-pit-income-edited-20-21","OWNUNINC_EARNER","character",6055,0,0,2,"N=5515; E=540","E; N","matched PLIDA variable metadata","Ownuninc earner flag","madipge-ato-d-pit-income-edited-10-11 | madipge-ato-d-pit-income-edited-11-12 | madipge-ato-d-pit-income-edited-12-13 | madipge-ato-d-pit-income-edited-13-14 | madipge-ato-d-pit-income-edited-14-15 | madipge-ato-d-pit-income-edited-15-16 | madipge-ato-d-pit-income-edited-16-17 | madipge-ato-d-pit-income-edited-17-18 | madipge-ato-d-pit-income-edited-18-19 | madipge-ato-d-pit-income-edited-19-20 | madipge-ato-d-pit-income-edited-20-21 | madipge-ato-d-pit-income-edited-fy2021-22 | madipge-ato-d-pit-income-edited-fy2223 | madipge-ato-d-pit-income-edited-fy2324","","",""
"pit","PIT_IE","madipge-ato-d-pit-income-edited-20-21","SUPINC","numeric",6055,0,0,564,"0 / 0 / 0 / 0 / 71356","","matched PLIDA variable metadata","Superannuation and annuity income amount","madipge-ato-d-pit-income-edited-10-11 | madipge-ato-d-pit-income-edited-11-12 | madipge-ato-d-pit-income-edited-12-13 | madipge-ato-d-pit-income-edited-13-14 | madipge-ato-d-pit-income-edited-14-15 | madipge-ato-d-pit-income-edited-15-16 | madipge-ato-d-pit-income-edited-16-17 | madipge-ato-d-pit-income-edited-17-18 | madipge-ato-d-pit-income-edited-18-19 | madipge-ato-d-pit-income-edited-19-20 | madipge-ato-d-pit-income-edited-20-21 | madipge-ato-d-pit-income-edited-fy2021-22 | madipge-ato-d-pit-income-edited-fy2223 | madipge-ato-d-pit-income-edited-fy2324","","",""
