"guide","dataset","table","variable","type","n_rows","missing","missing_pct","distinct","domain_or_distribution","values_if_small_domain","metadata_match","plida_variable_descriptions","plida_products","blade_item","blade_valid_response","blade_available_periods"
"stp","STP","ato-stp","spine_id","character",293,6,2.0478,287,"SP0000000003=1; SP0000000005=1; SP0000000006=1; SP0000000007=1; SP0000000008=1; SP0000000009=1; SP0000000011=1; SP0000000012=1","","no PLIDA metadata match by dataset+variable","","","","",""
"stp","STP","ato-stp","SYNTHETIC_AEUID","character",293,0,0,293,"EA1FE0000003=1; EA1FE0000005=1; EA1FE0000006=1; EA1FE0000007=1; EA1FE0000008=1; EA1FE0000009=1; EA1FE000000B=1; EA1FE000000C=1","","matched PLIDA variable metadata","The person key that ties an employee's payroll history to the rest of PLIDA, derived from the scrambled identifier the ATO holds for the pa…","pmp-stp-extended | pmp-stp-standard","","",""
"stp","STP","stp_extended_etp_2019_20","BN","character",0,0,0,0,"","","matched PLIDA variable metadata","The employer on a pay event, held as an ABS-issued confidentialised business identifier rather than an ABN. The ABS explains the underlying…","pmp-stp-extended | pmp-stp-standard","Identifier - deidentified ABN (Australian Business Number) | Identifier - deidentified ABN | bn - deidentified ABN | Identifier bn - deiden…","10 digit alphanumeric | 10 alphanumeric | 10 alphanumeric categorical | 10 digit alphanumeric Unknown = 9999999999","2019-20;2020-21;2021-22;2022-23;2023-24;2024-25 | 2001-02;2…"
"stp","STP","stp_extended_etp_2019_20","DUMMY_FLAG","character",0,0,0,0,"","","matched PLIDA variable metadata","A true or false marker showing that the payee identifier on the row is a stand-in rather than a real one. Payroll reporting produces these …","pmp-stp-extended | pmp-stp-standard","","",""
"stp","STP","stp_extended_etp_2019_20","EMPLOYEE_KEY","character",0,0,0,0,"","","matched PLIDA variable metadata","The job, in the sense the ABS uses for payroll statistics: one person paid by one employer. The ABS definition is direct - ""A payroll job i…","pmp-stp-extended | pmp-stp-standard","","",""
"stp","STP","stp_extended_etp_2019_20","ETP_PMT_DT","character",0,0,0,0,"","","matched PLIDA variable metadata","The day the employer actually paid the termination payment. The ATO instruction is the plainest possible: ""Show the date you made the payme…","pmp-stp-extended","","",""
"stp","STP","stp_extended_etp_2019_20","ETP_PMT_TYP_CD","character",0,0,0,0,"","","matched PLIDA variable metadata","A one-letter code putting the termination payment into a tax category, which decides the cap and the rate applied to it. The first split is…","pmp-stp-extended","","",""
"stp","STP","stp_extended_etp_2019_20","ETP_TAX_FREE_AMT","numeric",0,0,0,0,"","","matched PLIDA variable metadata","The part of a termination payment that is not taxed, which is narrow and historical in origin. The ATO says ""The tax-free component consist…","pmp-stp-extended","","",""
"stp","STP","stp_extended_etp_2019_20","ETP_TAX_WHELD_TOTL_AMT","numeric",0,0,0,0,"","","matched PLIDA variable metadata","Tax the employer held back from the termination payment and sent to the ATO. The instruction is to ""Show the total tax withheld in whole do…","pmp-stp-extended","","",""
"stp","STP","stp_extended_etp_2019_20","ETP_TXBL_CMPNT_AMT","numeric",0,0,0,0,"","","matched PLIDA variable metadata","The assessable part of a termination payment. The ATO defines it as a residual: ""Include the total of the payment, less the tax-free compon…","pmp-stp-extended","","",""
"stp","STP","stp_extended_etp_2019_20","LATEST","logical",0,0,0,0,"","","matched PLIDA variable metadata","A flag picking out the last event reported for a job in a financial year, which is the one to keep because STP amounts are cumulative. The …","pmp-stp-extended","","",""
"stp","STP","stp_extended_etp_2019_20","PYRL_FNCL_YR","integer",0,0,0,0,"","","matched PLIDA variable metadata","The financial year the row belongs to, and the window that every year-to-date amount on it accumulates within before resetting on 1 July. I…","pmp-stp-extended | pmp-stp-standard","","",""
"stp","STP","stp_extended_etp_2019_20","SEQUENCE_KEY","character",0,0,0,0,"","","matched PLIDA variable metadata","The key for one payroll stream within a job, built from the employee key, the payroll ID, the branch number and the payroll software identi…","pmp-stp-extended | pmp-stp-standard","","",""
"stp","STP","stp_extended_etp_2019_20","SYNTHETIC_AEUID","character",0,0,0,0,"","","matched PLIDA variable metadata","The person key that ties an employee's payroll history to the rest of PLIDA, derived from the scrambled identifier the ATO holds for the pa…","pmp-stp-extended | pmp-stp-standard","","",""
"stp","STP","stp_extended_etp_2020_21","BN","character",18,0,0,18,"BN85910686788=1; BN85921686821=1; BN85922686824=1; BN85925686833=1; BN85929686845=1; BN85936686866=1; BN85938686872=1; BN85939686875=1","BN85910686788; BN85921686821; BN85922686824; BN85925686833; BN85929686845; BN85936686866; BN85938686872; BN85939686875; BN85946686896; BN85948686902; BN85953686917; BN85954686920; BN85963686947; BN85965686953; BN85967686959; BN85977686989; BN85979686995; BN85989687025","matched PLIDA variable metadata","The employer on a pay event, held as an ABS-issued confidentialised business identifier rather than an ABN. The ABS explains the underlying…","pmp-stp-extended | pmp-stp-standard","Identifier - deidentified ABN (Australian Business Number) | Identifier - deidentified ABN | bn - deidentified ABN | Identifier bn - deiden…","10 digit alphanumeric | 10 alphanumeric | 10 alphanumeric categorical | 10 digit alphanumeric Unknown = 9999999999","2019-20;2020-21;2021-22;2022-23;2023-24;2024-25 | 2001-02;2…"
"stp","STP","stp_extended_etp_2020_21","DUMMY_FLAG","character",18,0,0,1,"False=18","False","matched PLIDA variable metadata","A true or false marker showing that the payee identifier on the row is a stand-in rather than a real one. Payroll reporting produces these …","pmp-stp-extended | pmp-stp-standard","","",""
