"guide","dataset","table","variable","type","n_rows","missing","missing_pct","distinct","domain_or_distribution","values_if_small_domain","metadata_match","plida_variable_descriptions","plida_products","blade_item","blade_valid_response","blade_available_periods"
"vet-apprentice","A&T","A&T","ANZSCO","character",98,0,0,92,"0=3; 599514=3; 599411=2; 811311=2; 121311=1; 121318=1; 121323=1; 121612=1; 132211=1; 133311=1; 133611=1; 139112=1","0; 599514; 599411; 811311; 121311; 121318; 121323; 121612; 132211; 133311; 133611; 139112; 139914; 139999; 149413; 211411; 212312; 221214; 224412; 225311; 225499; 234111; 234517; 242111; 249212; 249213; 253321; 261314; 263213; 263311","no PLIDA metadata match by dataset+variable","","","","",""
"vet-apprentice","A&T","A&T","COUNTRY_OF_BIRTH","integer",98,0,0,2,"0 / 0 / 0 / 1 / 1","0; 1","no PLIDA metadata match by dataset+variable","","","","",""
"vet-apprentice","A&T","A&T","DAYS_IN_TRAINING","integer",98,0,0,93,"365.00 / 685.75 / 1046.50 / 1254.50 / 1452.00","","no PLIDA metadata match by dataset+variable","","","","",""
"vet-apprentice","A&T","A&T","DOB_M","integer",98,0,0,12,"1 / 4 / 6 / 9 / 12","1; 10; 11; 12; 2; 3; 4; 5; 6; 7; 8; 9","matched PLIDA variable metadata","Mof birth","plidage-apprentice","","",""
"vet-apprentice","A&T","A&T","DOB_Y","integer",98,0,0,34,"1938 / 1992 / 1998 / 2001 / 2018","","matched PLIDA variable metadata","Yof birth","plidage-apprentice","","",""
"vet-apprentice","A&T","A&T","END_DATE","Date",98,32,32.65,66,"2008-11-12 to 2025-11-11","","matched PLIDA variable metadata","End date","plidage-apprentice","","",""
"vet-apprentice","A&T","A&T","GENDER","character",98,0,0,2,"F=53; M=45","F; M","matched PLIDA variable metadata","Client's gender","plidage-apprentice","","",""
"vet-apprentice","A&T","A&T","INDIGENOUS_STATUS","character",98,0,0,1,"N=98","N","no PLIDA metadata match by dataset+variable","","","","",""
"vet-apprentice","A&T","A&T","QUALIFICATION_LEVEL","integer",98,0,0,4,"2 / 3 / 3 / 4 / 5","2; 3; 4; 5","no PLIDA metadata match by dataset+variable","","","","",""
"vet-apprentice","A&T","A&T","SCHOOL_BASED","character",98,0,0,2,"N=96; Y=2","N; Y","no PLIDA metadata match by dataset+variable","","","","",""
"vet-apprentice","A&T","A&T","START_DATE","Date",98,0,0,97,"2006-04-25 to 2023-12-05","","matched PLIDA variable metadata","Start date","plidage-apprentice","","",""
"vet-apprentice","A&T","A&T","STATE_ASGS_2021","integer",98,0,0,7,"1 / 1 / 2 / 3 / 8","1; 2; 3; 4; 5; 6; 8","matched PLIDA variable metadata","State (number)","plidage-apprentice","","",""
"vet-apprentice","A&T","A&T","STATUS","character",98,0,0,4,"Completed=44; Cancelled=22; In Training=21; Expired=11","Completed; Cancelled; In Training; Expired","matched PLIDA variable metadata","Status of the wdo at the time the table was updated","plidage-apprentice","","",""
