"guide","dataset","table","variable","type","n_rows","missing","missing_pct","distinct","domain_or_distribution","values_if_small_domain","metadata_match","plida_variable_descriptions","plida_products","blade_item","blade_valid_response","blade_available_periods"
"vital-events","BIRTHS","plidage-births-2006-latest","AGE_FATHER","integer",75,0,0,25,"16.0 / 30.0 / 33.0 / 36.5 / 49.0","16; 19; 21; 23; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 43; 45; 46; 49","matched PLIDA variable metadata","Age of Father","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","plidage-births-2006-latest","AGE_MOTHER","integer",75,0,0,22,"17 / 27 / 31 / 34 / 46","17; 20; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 40; 41; 42; 46","matched PLIDA variable metadata","Age of Mother","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","plidage-births-2006-latest","BIRTH_ID","character",75,0,0,75,"B1E31F1285AB19821=1; B1E31F1285AB1983F=1; B1E31F1285AB1987A=1; B1E31F1285AB19880=1; B1E31F1285AB19883=1; B1E31F1285AB1989B=1; B1E31F1285AB198B8=1; B1E31F1285AB198DF=1","","matched PLIDA variable metadata","Birth Identifier (Note: Variable has been hashed)","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","plidage-births-2006-latest","BIRTH_MONTH","integer",75,0,0,12,"1.0 / 3.0 / 6.0 / 9.5 / 12.0","1; 10; 11; 12; 2; 3; 4; 5; 6; 7; 8; 9","matched PLIDA variable metadata","Month of Birth of Child","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","plidage-births-2006-latest","BIRTH_PLACE_CODE_FATHER","integer",75,0,0,9,"1101 / 1101 / 1101 / 1201 / 9225","1101; 1201; 2102; 3207; 5105; 5204; 6101; 7103; 9225","matched PLIDA variable metadata","Place of Birth of Father","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","plidage-births-2006-latest","BIRTH_PLACE_CODE_MOTHER","integer",75,0,0,11,"1101 / 1101 / 1101 / 1201 / 9225","1101; 1201; 2102; 3207; 5105; 5203; 5204; 6101; 7103; 7106; 9225","matched PLIDA variable metadata","Place of Birth of Mother","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","plidage-births-2006-latest","BIRTH_WEIGHT","integer",75,0,0,74,"2188.0 / 2936.5 / 3351.0 / 3629.5 / 4519.0","","matched PLIDA variable metadata","Birth weight of child","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","plidage-births-2006-latest","BIRTH_YEAR","integer",75,0,0,16,"2006 / 2010 / 2014 / 2018 / 2021","2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021","matched PLIDA variable metadata","Year of Birth of Child","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","plidage-births-2006-latest","FIRST_TIME_MOTHER","character",75,0,0,2,"N=43; Y=32","N; Y","matched PLIDA variable metadata","Based on previous issue data","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","plidage-births-2006-latest","GENDER_CHILD","character",75,0,0,2,"F=38; M=37","F; M","matched PLIDA variable metadata","Sex of Child","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","plidage-births-2006-latest","INDIGENOUS_CODE_CHILD","integer",75,0,0,2,"1 / 1 / 1 / 1 / 2","1; 2","matched PLIDA variable metadata","Indigenous Status of Child","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","plidage-births-2006-latest","INDIGENOUS_CODE_FATHER","integer",75,0,0,2,"1 / 1 / 1 / 1 / 2","1; 2","matched PLIDA variable metadata","Indigenous Status of Father","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","plidage-births-2006-latest","INDIGENOUS_CODE_MOTHER","integer",75,0,0,2,"1 / 1 / 1 / 1 / 2","1; 2","matched PLIDA variable metadata","Indigenous Status of Mother","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","plidage-births-2006-latest","MONTH_BIRTH_MOTHER","integer",75,0,0,12,"1 / 3 / 6 / 9 / 12","1; 10; 11; 12; 2; 3; 4; 5; 6; 7; 8; 9","matched PLIDA variable metadata","Month of birth of Mother","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","plidage-births-2006-latest","MULTI_BIRTH_FLAG","character",75,0,0,2,"N=72; Y=3","N; Y","matched PLIDA variable metadata","Multiple Birth Flag","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","plidage-births-2006-latest","PATERNITY","character",75,0,0,2,"1=67; 0=8","0; 1","matched PLIDA variable metadata","Paternity Flag","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","plidage-births-2006-latest","PERSON_FLAG","character",75,0,0,1,"Child=75","Child","matched PLIDA variable metadata","Identifies if address relates to Child, Parent 1, or Parent 2","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","plidage-births-2006-latest","PLURALITY","integer",75,0,0,2,"1 / 1 / 1 / 1 / 2","1; 2","matched PLIDA variable metadata","Birth Order and Plurality","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","plidage-births-2006-latest","REG_STATE","integer",75,0,0,7,"1 / 1 / 2 / 3 / 8","1; 2; 3; 4; 5; 6; 8","matched PLIDA variable metadata","State/Territory of Birth Registration","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","plidage-births-2006-latest","REG_YEAR","integer",75,0,0,16,"2006 / 2010 / 2014 / 2018 / 2021","2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021","matched PLIDA variable metadata","Year of Birth Registration","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","plidage-births-2006-latest","RESIDENCE_MONTHS_FATHER","integer",75,0,0,41,"0 / 263 / 384 / 432 / 552","","matched PLIDA variable metadata","Father's Period of Residence in Australia (in Months)","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","plidage-births-2006-latest","RESIDENCE_MONTHS_MOTHER","integer",75,0,0,36,"0 / 252 / 337 / 390 / 552","","matched PLIDA variable metadata","Mother's Period of Residence in Australia (in Months)","plidage-births-2006-latest","","",""
