"dataset","table","variable","type","observed_generated_domain_or_distribution","observed_small_domain_values","plida_or_crosswalk_variable","plida_or_crosswalk_description","crosswalk_status","evidence_status","source_url","source_summary","current_generated_assessment","required_next_action"
"A&T","A&T","ANZSCO","character","0=3; 599514=3; 599411=2; 811311=2; 121311=1; 121318=1; 121323=1; 121612=1; 132211=1; 133311=1; 133611=1; 139112=1","0; 599514; 599411; 811311; 121311; 121318; 121323; 121612; 132211; 133311; 133611; 139112; 139914; 139999; 149413; 211411; 212312; 221214; 224412; 225311; 225499; 234111; 234517; 242111; 249212; 249213; 253321; 261314; 263213; 263311","ANZSCOCODE","ANZSCO of the apprentice's job or qualification.","manual_same_dataset_plida_concept_match","apprentice_public_codebook_not_found_local_metadata_only","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.ncver.edu.au/research-and-statistics/collections/students-and-courses-collection/total-vet-students-and-courses | https://www.ncver.edu.au/rto-hub/what-is-avetmiss | https://www.ncver.edu.au/__data/assets/pdf_file/0022/62383/AVETMISS-Data-element-definitions-2_3-Nov-2022.pdf | https://www.dewr.gov.au/australian-apprenticeships","DEWR sources support the Australian Apprenticeships program context and AVETMISS covers apprentice/trainee collections. This pass did not find a public A&T variable-level codebook proving the generated compact labels.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"A&T","A&T","COUNTRY_OF_BIRTH","integer","0 / 0 / 0 / 1 / 1","0; 1","COUNTRYOFBIRTHCODE","The country in which the apprentice was born.","manual_same_dataset_plida_concept_match","apprentice_public_codebook_not_found_local_metadata_only","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.ncver.edu.au/research-and-statistics/collections/students-and-courses-collection/total-vet-students-and-courses | https://www.ncver.edu.au/rto-hub/what-is-avetmiss | https://www.ncver.edu.au/__data/assets/pdf_file/0022/62383/AVETMISS-Data-element-definitions-2_3-Nov-2022.pdf | https://www.dewr.gov.au/australian-apprenticeships","DEWR sources support the Australian Apprenticeships program context and AVETMISS covers apprentice/trainee collections. This pass did not find a public A&T variable-level codebook proving the generated compact labels.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"A&T","A&T","DAYS_IN_TRAINING","integer","365.00 / 685.75 / 1046.50 / 1254.50 / 1452.00","","DAYSINTRAINING","DAYSINTRAINING","manual_same_dataset_plida_concept_match","apprentice_public_codebook_not_found_local_metadata_only","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.ncver.edu.au/research-and-statistics/collections/students-and-courses-collection/total-vet-students-and-courses | https://www.ncver.edu.au/rto-hub/what-is-avetmiss | https://www.ncver.edu.au/__data/assets/pdf_file/0022/62383/AVETMISS-Data-element-definitions-2_3-Nov-2022.pdf | https://www.dewr.gov.au/australian-apprenticeships","DEWR sources support the Australian Apprenticeships program context and AVETMISS covers apprentice/trainee collections. This pass did not find a public A&T variable-level codebook proving the generated compact labels.","Observed quantiles/ranges are synthetic generated-output evidence, not an official distribution.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"A&T","A&T","DOB_M","integer","1 / 4 / 6 / 9 / 12","1; 10; 11; 12; 2; 3; 4; 5; 6; 7; 8; 9","DOB_M","Mof birth","direct_plida_dataset_variable","apprentice_public_codebook_not_found_local_metadata_only","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.ncver.edu.au/research-and-statistics/collections/students-and-courses-collection/total-vet-students-and-courses | https://www.ncver.edu.au/rto-hub/what-is-avetmiss | https://www.ncver.edu.au/__data/assets/pdf_file/0022/62383/AVETMISS-Data-element-definitions-2_3-Nov-2022.pdf | https://www.dewr.gov.au/australian-apprenticeships","DEWR sources support the Australian Apprenticeships program context and AVETMISS covers apprentice/trainee collections. This pass did not find a public A&T variable-level codebook proving the generated compact labels.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"A&T","A&T","DOB_Y","integer","1938 / 1992 / 1998 / 2001 / 2018","","DOB_Y","Yof birth","direct_plida_dataset_variable","apprentice_public_codebook_not_found_local_metadata_only","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.ncver.edu.au/research-and-statistics/collections/students-and-courses-collection/total-vet-students-and-courses | https://www.ncver.edu.au/rto-hub/what-is-avetmiss | https://www.ncver.edu.au/__data/assets/pdf_file/0022/62383/AVETMISS-Data-element-definitions-2_3-Nov-2022.pdf | https://www.dewr.gov.au/australian-apprenticeships","DEWR sources support the Australian Apprenticeships program context and AVETMISS covers apprentice/trainee collections. This pass did not find a public A&T variable-level codebook proving the generated compact labels.","Observed quantiles/ranges are synthetic generated-output evidence, not an official distribution.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"A&T","A&T","END_DATE","Date","2008-11-12 to 2025-11-11","","END_DATE","End date","direct_plida_dataset_variable","apprentice_public_codebook_not_found_local_metadata_only","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.ncver.edu.au/research-and-statistics/collections/students-and-courses-collection/total-vet-students-and-courses | https://www.ncver.edu.au/rto-hub/what-is-avetmiss | https://www.ncver.edu.au/__data/assets/pdf_file/0022/62383/AVETMISS-Data-element-definitions-2_3-Nov-2022.pdf | https://www.dewr.gov.au/australian-apprenticeships","DEWR sources support the Australian Apprenticeships program context and AVETMISS covers apprentice/trainee collections. This pass did not find a public A&T variable-level codebook proving the generated compact labels.","Observed date range is synthetic generated-output evidence unless an official source is attached separately.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"A&T","A&T","GENDER","character","F=53; M=45","F; M","GENDER","Client's gender","direct_plida_dataset_variable","apprentice_public_codebook_not_found_local_metadata_only","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.ncver.edu.au/research-and-statistics/collections/students-and-courses-collection/total-vet-students-and-courses | https://www.ncver.edu.au/rto-hub/what-is-avetmiss | https://www.ncver.edu.au/__data/assets/pdf_file/0022/62383/AVETMISS-Data-element-definitions-2_3-Nov-2022.pdf | https://www.dewr.gov.au/australian-apprenticeships","DEWR sources support the Australian Apprenticeships program context and AVETMISS covers apprentice/trainee collections. This pass did not find a public A&T variable-level codebook proving the generated compact labels.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"A&T","A&T","INDIGENOUS_STATUS","character","N=98","N","INDIGENOUSSTATUSCODE","Indigenous status code indicates a person who self-identifies as being of Australian Aboriginal or Torres Strait Islander descent.","manual_same_dataset_plida_concept_match","apprentice_generated_compact_not_source_equivalent","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.ncver.edu.au/research-and-statistics/collections/students-and-courses-collection/total-vet-students-and-courses | https://www.ncver.edu.au/rto-hub/what-is-avetmiss | https://www.ncver.edu.au/__data/assets/pdf_file/0022/62383/AVETMISS-Data-element-definitions-2_3-Nov-2022.pdf | https://www.dewr.gov.au/australian-apprenticeships","The generated compact values are local implementation labels/codes. Public AVETMISS concepts exist, but this generated domain has not been shown to be source-equivalent.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"A&T","A&T","QUALIFICATION_LEVEL","integer","2 / 3 / 3 / 4 / 5","2; 3; 4; 5","QUALLEVEL","Qualification Level","manual_same_dataset_plida_concept_match","apprentice_generated_compact_not_source_equivalent","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.ncver.edu.au/research-and-statistics/collections/students-and-courses-collection/total-vet-students-and-courses | https://www.ncver.edu.au/rto-hub/what-is-avetmiss | https://www.ncver.edu.au/__data/assets/pdf_file/0022/62383/AVETMISS-Data-element-definitions-2_3-Nov-2022.pdf | https://www.dewr.gov.au/australian-apprenticeships","The generated compact values are local implementation labels/codes. Public AVETMISS concepts exist, but this generated domain has not been shown to be source-equivalent.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"A&T","A&T","SCHOOL_BASED","character","N=96; Y=2","N; Y","SCHOOLBASEDAPPRENTICE","Flag indicating that the person is an approved School Based Apprentice.","manual_same_dataset_plida_concept_match","apprentice_generated_compact_not_source_equivalent","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.ncver.edu.au/research-and-statistics/collections/students-and-courses-collection/total-vet-students-and-courses | https://www.ncver.edu.au/rto-hub/what-is-avetmiss | https://www.ncver.edu.au/__data/assets/pdf_file/0022/62383/AVETMISS-Data-element-definitions-2_3-Nov-2022.pdf | https://www.dewr.gov.au/australian-apprenticeships","The generated compact values are local implementation labels/codes. Public AVETMISS concepts exist, but this generated domain has not been shown to be source-equivalent.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
