"Domain","Variable.Name","Value","Source.Sheet"
"iplord_technology","","1_electrical_machinery_apparatus_energy","A10"
"iplord_technology","","10_measurement","A10"
"iplord_technology","","11_analysis_of_biological_materials","A10"
"iplord_technology","","12_control","A10"
"iplord_technology","","13_medical_technology","A10"
"iplord_technology","","14_organic_fine_chemistry","A10"
"iplord_technology","","15_biotechnology","A10"
"iplord_technology","","16_pharmaceuticals","A10"
"iplord_technology","","17_macromolecular_chemistry_polymers","A10"
"iplord_technology","","18_food_chemistry","A10"
"iplord_technology","","19_basic_materials_chemistry","A10"
"iplord_technology","","2_audio_visual_technology","A10"
"iplord_technology","","20_materials_metallurgy","A10"
"iplord_technology","","21_surface_technology_coating","A10"
"iplord_technology","","22_micro_structure_and_nano_technology","A10"
"iplord_technology","","23_chemical_engineering","A10"
"iplord_technology","","24_environmental_technology","A10"
"iplord_technology","","25_handling","A10"
"iplord_technology","","26_machine_tools","A10"
"iplord_technology","","27_engines_pumps_turbines","A10"
"iplord_technology","","28_textile_and_paper_machines","A10"
"iplord_technology","","29_other_special_machines","A10"
"iplord_technology","","3_telecommunications","A10"
"iplord_technology","","30_thermal_processes_and_apparatus","A10"
"iplord_technology","","31_mechanical_elements","A10"
"iplord_technology","","32_transport","A10"
"iplord_technology","","33_furniture_games","A10"
"iplord_technology","","34_other_consumer_goods","A10"
"iplord_technology","","35_civil_engineering","A10"
"iplord_technology","","4_digital_communication","A10"
"iplord_technology","","5_basic_communication_processes","A10"
"iplord_technology","","6_computer_technology","A10"
"iplord_technology","","7_it_methods_for_management","A10"
"iplord_technology","","8_semiconductors","A10"
"iplord_technology","","9_optics","A10"
"variable","hq_country","Australia","A11"
"variable","hq_country","Austria","A11"
"variable","hq_country","Bahrain","A11"
"variable","hq_country","Barbados","A11"
"variable","hq_country","Belgium","A11"
"variable","hq_country","Bermuda","A11"
"variable","hq_country","British Virgin Islands","A11"
"variable","hq_country","Bulgaria","A11"
"variable","hq_country","Burkina Faso","A11"
"variable","hq_country","Canada","A11"
"variable","hq_country","Chile","A11"
"variable","hq_country","China","A11"
"variable","hq_country","Colombia","A11"
"variable","hq_country","Denmark","A11"
"variable","hq_country","Estonia","A11"
"variable","hq_country","Finland","A11"
"variable","hq_country","France","A11"
"variable","hq_country","French-Guiana","A11"
"variable","hq_country","Germany","A11"
"variable","hq_country","Ghana","A11"
"variable","hq_country","Hong Kong","A11"
"variable","hq_country","India","A11"
"variable","hq_country","Ireland","A11"
"variable","hq_country","Israel","A11"
"variable","hq_country","Italy","A11"
"variable","hq_country","Jamaica","A11"
"variable","hq_country","Japan","A11"
"variable","hq_country","Latvia","A11"
"variable","hq_country","Malaysia","A11"
"variable","hq_country","Mexico","A11"
"variable","hq_country","Netherlands","A11"
"variable","hq_country","New Zealand","A11"
"variable","hq_country","Nigeria","A11"
"variable","hq_country","Norway","A11"
"variable","hq_country","Pakistan","A11"
"variable","hq_country","Portugal","A11"
"variable","hq_country","Seychelles","A11"
"variable","hq_country","Singapore","A11"
"variable","hq_country","South Africa","A11"
"variable","hq_country","South Korea","A11"
"variable","hq_country","Spain","A11"
"variable","hq_country","Sweden","A11"
"variable","hq_country","Switzerland","A11"
"variable","hq_country","Turkiye","A11"
"variable","hq_country","United Arab Emirates","A11"
"variable","hq_country","United Kingdom","A11"
"variable","hq_country","United States","A11"
"variable","round_type","ACQUISITION","A11"
"variable","round_type","ANGEL","A11"
"variable","round_type","BANKRUPTCY","A11"
"variable","round_type","BUYOUT","A11"
"variable","round_type","CONVERTIBLE","A11"
"variable","round_type","CORPORATE SPINOUT","A11"
"variable","round_type","DEBT","A11"
"variable","round_type","EARLY VC","A11"
"variable","round_type","GRANT","A11"
"variable","round_type","GROWTH EQUITY NON VC","A11"
"variable","round_type","GROWTH EQUITY VC","A11"
"variable","round_type","ICO","A11"
"variable","round_type","IPO","A11"
"variable","round_type","LATE VC","A11"
"variable","round_type","LENDING CAPITAL","A11"
"variable","round_type","MEDIA FOR EQUITY","A11"
"variable","round_type","MERGER","A11"
"variable","round_type","NOTKNOWN","A11"
"variable","round_type","POST IPO CONVERTIBLE","A11"
"variable","round_type","POST IPO DEBT","A11"
"variable","round_type","POST IPO EQUITY","A11"
"variable","round_type","POST IPO SECONDARY","A11"
"variable","round_type","PRIVATE PLACEMENT NON VC","A11"
"variable","round_type","PRIVATE PLACEMENT VC","A11"
"variable","round_type","PROJECT REAL ESTATE INFRASTRUCTURE FINANCE","A11"
"variable","round_type","SECONDARY","A11"
"variable","round_type","SEED","A11"
"variable","round_type","SERIES A","A11"
"variable","round_type","SERIES B","A11"
"variable","round_type","SERIES C","A11"
"variable","round_type","SERIES D","A11"
"variable","round_type","SERIES E","A11"
"variable","round_type","SERIES F","A11"
"variable","round_type","SERIES G","A11"
"variable","round_type","SERIES H","A11"
"variable","round_type","SERIES I","A11"
"variable","round_type","SPAC IPO","A11"
"variable","round_type","SPAC PRIVATE PLACEMENT","A11"
"variable","round_type","SPINOUT","A11"
"variable","round_type","SUPPORT PROGRAM","A11"
"iso_country_alpha2","","AD","A12"
"iso_country_alpha2","","AE","A12"
"iso_country_alpha2","","AF","A12"
"iso_country_alpha2","","AG","A12"
"iso_country_alpha2","","AI","A12"
"iso_country_alpha2","","AL","A12"
"iso_country_alpha2","","AM","A12"
"iso_country_alpha2","","AO","A12"
"iso_country_alpha2","","AP","A12"
"iso_country_alpha2","","AQ","A12"
"iso_country_alpha2","","AR","A12"
"iso_country_alpha2","","AS","A12"
"iso_country_alpha2","","AT","A12"
"iso_country_alpha2","","AU","A12"
"iso_country_alpha2","","AW","A12"
"iso_country_alpha2","","AX","A12"
"iso_country_alpha2","","AZ","A12"
"iso_country_alpha2","","BA","A12"
"iso_country_alpha2","","BB","A12"
"iso_country_alpha2","","BD","A12"
"iso_country_alpha2","","BE","A12"
"iso_country_alpha2","","BF","A12"
"iso_country_alpha2","","BG","A12"
"iso_country_alpha2","","BH","A12"
"iso_country_alpha2","","BI","A12"
"iso_country_alpha2","","BJ","A12"
"iso_country_alpha2","","BL","A12"
