"Appendix","Key.Name","Product.Name","Item","Variable.Name","Valid.Response","Available.Periods"
"A1","ID to BN Key","blade-key-id-to-bn-key","Identifier - deidentified ABN","bn","10 digit alphanumeric","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25"
"A1","ID to BN Key","blade-key-id-to-bn-key","Identifier - deidentified unit_id","id","10 digit alphanumeric","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25"
"A1","ID to BN Key","blade-key-id-to-bn-key","Identifier - BLADE Enterprise Group ID","bg_id","10 digit alphanumeric Blank = unit is not part of a BLADE Enterprise Group","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25"
"A1","ID to BN Key","blade-key-id-to-bn-key","Integration version (internal ABS reference)","key_version","8 digit alphanumeric ""in148_v1""","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25"
"A1","ID to BN Key","blade-key-id-to-bn-key","Time series ID (last 2 digits of end year in a financial year)","tsid","2 digit numeric example: 2020/2021 = '21'","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25"
"A1","ID to BN Key","blade-key-id-to-bn-key","One ABN to many Type of Activity Units (TAUs)","one_abn_to_many_tau","1 = Yes 0 = No . = Missing","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25"
"A1","ID to BN Key","blade-key-id-to-bn-key","Many ABNs to one Type of Activity Unit (TAU)","many_abn_to_one_tau","1 = Yes 0 = No . = Missing","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25"
"A1","ID to BN Key","blade-key-id-to-bn-key","Type of match - how the ABN matched to a TAU","match","""One-TAU-BG"" = Match where there is only 1 TAU in a BG ""Class"" = Matched on 4 digit ANZSIC06 ""Group"" = Matched on 3 digit ANZSIC06 ""SubDiv"" = Matched on 2 digit ANZSIC06 ""Div"" = Match on Industry Division (ANZSIC06) ""BG Match"" = Cannot be matched via ANZSIC but is part of a Enterprise Group (bg_id) ""NPP"" = Non-profiled Population","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25"
"A2","CN to BN Key","blade-key-cn-to-bn-key","Identifier - deidentified ACN (Australian Company Number)","cn","10 digit alphanumeric","2019-20;2020-21;2021-22;2022-23;2023-24;2024-25"
"A2","CN to BN Key","blade-key-cn-to-bn-key","Identifier - deidentified ABN (Australian Business Number)","bn","10 digit alphanumeric","2019-20;2020-21;2021-22;2022-23;2023-24;2024-25"
"A2","CN to BN Key","blade-key-cn-to-bn-key","Integration version (internal ABS reference)","cn_bn_version","8 digit alphanumeric example: ""in164_v1""","2019-20;2020-21;2021-22;2022-23;2023-24;2024-25"
"A2","CN to BN Key","blade-key-cn-to-bn-key","Time series ID (last 2 digits of end year in a financial year)","tsid","2 digit numeric example: 2020/2021 = '21'","2019-20;2020-21;2021-22;2022-23;2023-24;2024-25"
