"Table.Number","Sheet","Table.Name","Table.Title","Product.Name","Reference.Period","Scope","Header.Row"
1,"1","Cross-sectional Indicative data items","Table 1: Cross-sectional Indicative data items, 2001-02 to 2025-26","blade-table-01-cross-sectional-indicative-data-items","2001-02 to 2025-26","standard",8
2,"2","Longitudinal Indicative data items","Table 2: Longitudinal Indicative data items, 2001-02 to 2020-21","blade-table-02-longitudinal-indicative-data-items","2001-02 to 2020-21","standard",7
3,"3","Agricultural Indicative data items","Table 3: Agricultural Indicative data items, 2010-11 to 2020-21","blade-table-03-agricultural-indicative-data-items","2010-11 to 2020-21","standard",7
4,"4","Business Activity Statement (BAS)","Table 4: Business Activity Statement (BAS), 2001-02 to 2025-26","blade-table-04-business-activity-statement-bas","2001-02 to 2025-26","standard",7
5,"5","Pay As You Go (PAYG)","Table 5: Pay As You Go (PAYG), 2001-02 to 2024-25","blade-table-05-pay-as-you-go-payg","2001-02 to 2024-25","standard",8
6,"6","Business Income Tax (BIT)","Table 6: Business Income Tax (BIT), 2001-02 to 2022-23","blade-table-06-business-income-tax-bit","2001-02 to 2022-23","standard",7
7,"7","Single Touch Payroll (STP)","Table 7: Single Touch Payroll (STP), 2019-20 to 2025-26","blade-table-07-single-touch-payroll-stp","2019-20 to 2025-26","standard",7
8,"8","Business Characteristics Survey (BCS)","Table 8: Business Characteristics Survey (BCS), 2005-06 to 2019-20","blade-table-08-business-characteristics-survey-bcs","2005-06 to 2019-20","standard",6
9,"9","Business Characteristics Survey: Management Capabilities Module (MCM)","Table 9: Business Characteristics Survey: Management Capabilities Module (MCM), 2015-16","blade-table-09-business-characteristics-survey-management-capabilities-module-mcm","2015-16","standard",6
10,"10","Business Characteristics Survey: Innovation Module (IM)","Table 10: Business Characteristics Survey: Innovation Module (IM), 2022-23","blade-table-10-business-characteristics-survey-innovation-module-im","2022-23","standard",6
11,"11","Business Characteristics Survey: Digital Activity Module (DAM)","Table 11: Business Characteristics Survey: Digital Activity Module (DAM), 2021-22","blade-table-11-business-characteristics-survey-digital-activity-module-dam","2021-22","standard",7
12,"12","Business Expenditure on Research and Development (BERD)","Table 12: Business Expenditure on Research and Development (BERD), 2004-05 to 2021-22","blade-table-12-business-expenditure-on-research-and-development-berd","2004-05 to 2021-22","standard",7
13,"13","Private Non-Profit Expenditure on Research and Development (PNPERD)","Table 13: Private Non-Profit Expenditure on Research and Development (PNPERD), 2008-09 to 2022-23","blade-table-13-private-non-profit-expenditure-on-research-and-development-pnperd","2008-09 to 2022-23","standard",6
14,"14","Government Expenditure on Research and Development (GOVERD)","Table 14: Government Expenditure on Research and Development (GOVERD), 2008-09 to 2022-23","blade-table-14-government-expenditure-on-research-and-development-goverd","2008-09 to 2022-23","standard",6
15,"15","Economic Activity Survey (EAS)","Table 15: Economic Activity Survey (EAS), 2006-07 to 2023-24","blade-table-15-economic-activity-survey-eas","2006-07 to 2023-24","standard",7
16,"16","Energy Water Environment Survey (EWES)","Table 16: Energy Water Environment Survey (EWES), 2008-09 to 2017-18","blade-table-16-energy-water-environment-survey-ewes","2008-09 to 2017-18","standard",7
17,"17","Employee Earning and Hours (EEH)","Table 17: Employee Earning and Hours (EEH), 2011-12 to 2022-23","blade-table-17-employee-earning-and-hours-eeh","2011-12 to 2022-23","standard",7
18,"18","Private New Capital Expenditure and Expected Expenditure (CAPEX)","Table 18: Private New Capital Expenditure and Expected Expenditure (CAPEX), 1996-97 to 2025 -26","blade-table-18-private-new-capital-expenditure-and-expected-expenditure-capex","1996-97 to 2025 -26","standard",7
19,"19","Business Conditions and Sentiments (SBCS)","Table 19: Business Conditions and Sentiments (SBCS), 2020-21","blade-table-19-business-conditions-and-sentiments-sbcs","2020-21","standard",6
20,"20","Survey of International Trade in Services (SITS)","Table 20: Survey of International Trade in Services (SITS), 2014-15 to 2024-25","blade-table-20-survey-of-international-trade-in-services-sits","2014-15 to 2024-25","standard",7
21,"21","Restraint Clauses Short Survey of Employment Conditions (SSEC)","Table 21: Restraint Clauses Short Survey of Employment Conditions (SSEC), 2023-24","blade-table-21-restraint-clauses-short-survey-of-employment-conditions-ssec","2023-24","standard",12
22,"22","Job Vacancy Survey (JVS)","Table 22: Job Vacancy Survey (JVS), 2011-12 to 2024-25","blade-table-22-job-vacancy-survey-jvs","2011-12 to 2024-25","standard",6
23,"23","Higher Education Research & Development data items","Table 23: Higher Education Research & Development data items, 2004 to 2022","blade-table-23-higher-education-research-and-development-data-items","2004 to 2022","standard",7
24,"24","Business Locations - historic","Table 24: Business Locations - historic, 2001-02 to 2021-22","blade-table-24-business-locations-historic","2001-02 to 2021-22","standard",8
25,"25","Business Locations","Table 25: Business Locations, 2022-23 to 2024-25","blade-table-25-business-locations","2022-23 to 2024-25","standard",8
26,"26","Australian Securities and Investments Commission (ASIC) Insolvency data","Table 26: Australian Securities and Investments Commission (ASIC) Insolvency data, 2000-01 to 2025-26","blade-table-26-australian-securities-and-investments-commission-asic-insolvency-data","2000-01 to 2025-26","standard",6
27,"27","Business Birthdate","Table 27: Business Birthdate, 1992-93 to 2023-24","blade-table-27-business-birthdate","1992-93 to 2023-24","standard",7
28,"28","Intellectual Property Longitudinal Research Data (IPLORD)","Table 28: Intellectual Property Longitudinal Research Data (IPLORD), 2001-02 to 2024-25","blade-table-28-intellectual-property-longitudinal-research-data-iplord","2001-02 to 2024-25","standard",7
29,"29","Intellectual Property Refreshed Automated Product for Information (IPRAPID) Applications","Table 29: Intellectual Property Refreshed Automated Product for Information (IPRAPID) Applications, 1904-05 to 2024-25","blade-table-29-intellectual-property-refreshed-automated-product-for-information-ipra","1904-05 to 2024-25","standard",7
30,"30","Intellectual Property Refreshed Automated Product for Information (IPRAPID) Citations","Table 30: Intellectual Property Refreshed Automated Product for Information (IPRAPID) Citations, 1904-05 to 2023-24","blade-table-30-intellectual-property-refreshed-automated-product-for-information-ipra","1904-05 to 2023-24","standard",7
31,"31","Intellectual Property Refreshed Automated Product for Information (IPRAPID) Classifications","Table 31: Intellectual Property Refreshed Automated Product for Information (IPRAPID) Classifications, 1904-05 to 2024-25","blade-table-31-intellectual-property-refreshed-automated-product-for-information-ipra","1904-05 to 2024-25","standard",7
32,"32","Intellectual Property Refreshed Automated Product for Information (IPRAPID) Events","Table 32: Intellectual Property Refreshed Automated Product for Information (IPRAPID) Events, 1904-05 to 2024-25","blade-table-32-intellectual-property-refreshed-automated-product-for-information-ipra","1904-05 to 2024-25","standard",7
33,"33","Intellectual Property Refreshed Automated Product for Information (IPRAPID) Links","Table 33: Intellectual Property Refreshed Automated Product for Information (IPRAPID) Links, 1904-05 to 2024-25","blade-table-33-intellectual-property-refreshed-automated-product-for-information-ipra","1904-05 to 2024-25","standard",7
34,"34","Intellectual Property Refreshed Automated Product for Information (IPRAPID) Party","Table 34: Intellectual Property Refreshed Automated Product for Information (IPRAPID) Party, 1904-05 to 2024-25","blade-table-34-intellectual-property-refreshed-automated-product-for-information-ipra","1904-05 to 2024-25","standard",7
35,"35","Capital Gains Tax (CGT)","Table 35: Capital Gains Tax (CGT), 2000-01 to 2022-23","blade-table-35-capital-gains-tax-cgt","2000-01 to 2022-23","requestable",8
