"Table.Number","Sheet","Table.Name","Product.Name","Item","Variable.Name","Variable.Level","Valid.Response","Available.Periods"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","bn - deidentified ABN","bn","ABN level","","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","id - deidentified unit_id","id","EUM level","","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","BLADE Enterprise Group ID","bg_id","ABN level","10 digit alphanumeric Blank = unit is not part of a BLADE Enterprise Group ABNs with a BG_ID are part of the profiled population. ABNs with no BG_ID are part of the non-profiled population.","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","Integration version (internal ABS reference)","frame_version","ABN level","up to 8 digit alphanumeric example: ""in182_v1""","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","Time series ID (last 2 digits of end year in a financial year)","tsid","ABN level","2 digit numeric example: 2020/2021 = '21'","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","Quarter","quarter","ABN level","6 digit alphanumeric YYYY is a financial year, i.e. 2021, 2122 ""YYYYQ1"" = July to September ""YYYYQ2"" = October to December ""YYYYQ3"" = January to March ""YYYYQ4"" = April to June","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","Derived Industry Division 2006","d_div06","ABN level","A - Agriculture, Forestry and Fishing","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","Australian and New Zealand Standard Industrial Classification (ANZSIC), 2006","x_anzsic06","ABN level","4 digit numeric 0 or 9999 - Unknown or missing","2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","Australian and New Zealand Standard Industrial Classification (ANZSIC), 1993","x_anzsic93","ABN level","4 digit numeric 0 or 9999 - Unknown or missing","2001-02;2002-03;2003-04;2004-05"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","Standard Institutional Sector Classification of Australia (SISCA) 2008","x_sisca08","ABN level","0 - Unknown or missing","2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
