anzsco_code	ato_code	match_level
100000	111111	major
110000	111111	major
111000	111111	minor
111111	111111	exact
111211	111211	exact
111212	111212	exact
111311	111311	exact
111312	111312	exact
111399	111399	exact
120000	111111	major
121000	121111	minor
121111	121111	exact
121211	121111	minor
121212	121111	minor
121213	121111	minor
121214	121111	minor
121215	121111	minor
121216	121111	minor
121217	121111	minor
121218	121111	minor
121221	121111	minor
121299	121111	minor
121311	121311	exact
121312	121312	exact
121313	121313	exact
121314	121314	exact
121315	121315	exact
121316	121316	exact
121317	121311	unit
121318	121318	exact
121321	121321	exact
121322	121322	exact
121399	121399	exact
121411	121111	minor
130000	111111	major
131000	131112	minor
131111	131112	unit
131112	131112	exact
131113	131113	exact
131114	131114	exact
132000	132111	minor
132111	132111	exact
132211	132211	exact
132311	132311	exact
132411	132411	exact
132511	132511	exact
133000	133111	minor
133111	133111	exact
133112	133112	exact
133211	133211	exact
133311	133311	exact
133312	133312	exact
133411	133411	exact
133511	133511	exact
133512	133512	exact
133513	133513	exact
133611	133611	exact
133612	133612	exact
134000	134111	minor
134111	134111	exact
134211	134211	exact
134212	134212	exact
134213	134213	exact
134214	134214	exact
134299	134299	exact
134311	134311	exact
134411	134411	exact
134412	134412	exact
134499	134499	exact
135000	135111	minor
135111	135111	exact
135112	135112	exact
135199	135199	exact
139000	139111	minor
139111	139111	exact
139112	139112	exact
139113	139113	exact
139211	139211	exact
139911	139911	exact
139912	139912	exact
139913	139913	exact
139914	139911	unit
139915	139915	exact
139999	139999	exact
140000	111111	major
141000	141111	minor
141111	141111	exact
141211	141211	exact
141311	141311	exact
141411	141411	exact
141911	141911	exact
141912	141912	exact
141999	141999	exact
142000	142111	minor
142111	142111	exact
142112	142112	exact
142113	142113	exact
142114	142114	exact
142115	142115	exact
142116	142116	exact
149000	149111	minor
149111	149111	exact
149112	149112	exact
149113	149113	exact
149211	149211	exact
149212	149212	exact
149311	149311	exact
149411	149411	exact
149412	149412	exact
149413	149413	exact
149911	149911	exact
149912	149912	exact
149913	149913	exact
149914	149914	exact
149915	149915	exact
149999	149999	exact
200000	211111	major
210000	211111	major
211000	211111	minor
211111	211111	exact
211112	211112	exact
211113	211113	exact
211199	211199	exact
211211	211211	exact
211212	211212	exact
211213	211213	exact
211214	211214	exact
211299	211299	exact
211311	211311	exact
211411	211411	exact
211412	211412	exact
211413	211413	exact
211499	211499	exact
212000	212111	minor
212111	212111	exact
212112	212112	exact
212113	212113	exact
212114	212114	exact
212211	212211	exact
212212	212212	exact
212311	212311	exact
212312	212312	exact
212313	212313	exact
212314	212314	exact
212315	212315	exact
212316	212316	exact
212317	212317	exact
212318	212318	exact
212399	212399	exact
212411	212411	exact
212412	212412	exact
212413	212413	exact
212414	212414	exact
212415	212415	exact
212416	212416	exact
212499	212499	exact
220000	211111	major
221000	221111	minor
221111	221111	exact
221112	221112	exact
221113	221113	exact
