anzsic_division_code	anzsic_division	anzsic_class_code	anzsic_class
A	Agriculture, Forestry and Fishing	0111	Nursery Production (Under Cover)
A	Agriculture, Forestry and Fishing	0112	Nursery Production (Outdoors)
A	Agriculture, Forestry and Fishing	0113	Turf Growing
A	Agriculture, Forestry and Fishing	0114	Floriculture Production (Under Cover)
A	Agriculture, Forestry and Fishing	0115	Floriculture Production (Outdoors)
A	Agriculture, Forestry and Fishing	0121	Mushroom Growing
A	Agriculture, Forestry and Fishing	0122	Vegetable Growing (Under Cover)
A	Agriculture, Forestry and Fishing	0123	Vegetable Growing (Outdoors)
A	Agriculture, Forestry and Fishing	0131	Grape Growing
A	Agriculture, Forestry and Fishing	0132	Kiwifruit Growing
A	Agriculture, Forestry and Fishing	0133	Berry Fruit Growing
A	Agriculture, Forestry and Fishing	0134	Apple and Pear Growing
A	Agriculture, Forestry and Fishing	0135	Stone Fruit Growing
A	Agriculture, Forestry and Fishing	0136	Citrus Fruit Growing
A	Agriculture, Forestry and Fishing	0137	Olive Growing
A	Agriculture, Forestry and Fishing	0139	Other Fruit and Tree Nut Growing
A	Agriculture, Forestry and Fishing	0141	Sheep Farming (Specialised)
A	Agriculture, Forestry and Fishing	0142	Beef Cattle Farming (Specialised)
A	Agriculture, Forestry and Fishing	0143	Beef Cattle Feedlots (Specialised)
A	Agriculture, Forestry and Fishing	0144	Sheep-Beef Cattle Farming
A	Agriculture, Forestry and Fishing	0145	Grain-Sheep or Grain-Beef Cattle Farming
A	Agriculture, Forestry and Fishing	0146	Rice Growing
A	Agriculture, Forestry and Fishing	0149	Other Grain Growing
A	Agriculture, Forestry and Fishing	0151	Sugar Cane Growing
A	Agriculture, Forestry and Fishing	0152	Cotton Growing
A	Agriculture, Forestry and Fishing	0159	Other Crop Growing n.e.c.
A	Agriculture, Forestry and Fishing	0160	Dairy Cattle Farming
A	Agriculture, Forestry and Fishing	0171	Poultry Farming (Meat)
A	Agriculture, Forestry and Fishing	0172	Poultry Farming (Eggs)
A	Agriculture, Forestry and Fishing	0180	Deer Farming
A	Agriculture, Forestry and Fishing	0191	Horse Farming
A	Agriculture, Forestry and Fishing	0192	Pig Farming
A	Agriculture, Forestry and Fishing	0193	Beekeeping
A	Agriculture, Forestry and Fishing	0199	Other Livestock Farming n.e.c.
A	Agriculture, Forestry and Fishing	0201	Offshore Longline and Rack Aquaculture
A	Agriculture, Forestry and Fishing	0202	Offshore Caged Aquaculture
A	Agriculture, Forestry and Fishing	0203	Onshore Aquaculture
A	Agriculture, Forestry and Fishing	0301	Forestry
A	Agriculture, Forestry and Fishing	0302	Logging
A	Agriculture, Forestry and Fishing	0411	Rock Lobster and Crab Potting
