code	label	weight
1201	English	18303662
7104	Mandarin	685274
4202	Arabic	367159
6302	Vietnamese	320758
7101	Cantonese	295281
&&&&	Not stated	250000
5207	Punjabi	239033
2201	Greek	229643
2401	Italian	228042
5203	Hindi	197132
2303	Spanish	171370
5206	Nepali	133068
6511	Tagalog	131195
7301	Korean	115531
5212	Urdu	111873
5103	Tamil	95404
6512	Filipino	90853
5211	Sinhalese	85869
5202	Gujarati	81334
5102	Malayalam	78738
6504	Indonesian	73179
4106	Persian (excluding Dari)	72498
2101	French	70740
1301	German	70247
5201	Bengali	70116
2302	Portuguese	67327
6402	Thai	66576
3504	Macedonian	66173
4301	Turkish	64924
5104	Telugu	59406
7201	Japanese	58757
3505	Serbian	57297
3402	Russian	54883
3503	Croatian	54115
1403	Afrikaans	49375
9308	Samoan	49025
3602	Polish	45379
4107	Hazaraghi	41678
6301	Khmer	40037
4206	Assyrian Neo-Aramaic	38534
4105	Dari	29828
1401	Dutch	27784
2501	Maltese	26555
5205	Marathi	22263
4207	Chaldean Neo-Aramaic	21684
6505	Malay	21324
9311	Tongan	20757
7107	Min Nan	20059
6101	Burmese	18849
9211	Swahili	17568
3501	Bosnian	17216
3301	Hungarian	17043
9701	Auslan	16242
9208	Somali	15137
5101	Kannada	14717
9304	Maori (New Zealand)	14618
9207	Shona	13785
6103	Karen	13181
3904	Romanian	12833
4102	Pashto	12654
9216	Dinka	12114
4204	Hebrew	11504
4901	Armenian	10978
3901	Albanian	10851
9301	Fijian	10398
4101	Kurdish	9893
6401	Lao	9792
1504	Swedish	9659
7102	Hakka	9137
9214	Amharic	8161
3601	Czech	7884
8403	Yumplatok (Torres Strait Creole)	7776
8924	Kriol	7478
5999	Other Southern Asian Languages	6982
3403	Ukrainian	6643
6501	Bisaya	6406
6102	Chin Haka	6394
9235	Tigrinya	6253
3603	Slovak	5532
1602	Finnish	5530
9303	Maori (Cook Island)	5389
7902	Mongolian	5241
1501	Danish	5019
6199	Burmese and Related Languages, nec	4827
5217	Fijian Hindustani	4769
6502	Cebuano	4732
3507	Serbo-Croatian/Yugoslavian, so described	4339
9206	Oromo	4310
7106	Wu	4195
9203	Akan	4073
9212	Yoruba	4020
8231	Djambarrpuyngu	3870
5204	Konkani	3646
9504	Tok Pisin (Neomelanesian)	3627
8714	Pitjantjatjara	3458
3506	Slovene	3442
9247	Kirundi (Rundi)	3253
9223	Igbo	3210
6201	Hmong	3120
8999	Other Australian Indigenous Languages, nec	2917
3502	Bulgarian	2855
9299	African Languages, nec	2790
8399	Cape York Peninsula Languages, nec	2701
1503	Norwegian	2640
5208	Sindhi	2635
8521	Warlpiri	2624
7901	Tibetan	2402
9225	Krio	2309
3101	Latvian	2274
6104	Rohingya	2265
8117	Tiwi	2103
8146	Murrinh Patha	2081
1601	Estonian	2075
8603	Alyawarr	1951
3102	Lithuanian	1933
9205	Mauritian Creole	1905
6105	Zomi	1886
1102	Irish	1875
9231	Nuer	1825
1103	Welsh	1737
9228	Ndebele	1676
9402	Bislama	1631
4305	Uygur	1629
8941	Wiradjuri	1544
8935	Nyungar	1536
8101	Anindilyakwa	1516
8174	Kunwinjku	1494
1303	Yiddish	1488
6507	Tetum	1486
8998	Aboriginal English, so described	1444
9246	Kinyarwanda (Rwanda)	1413
5216	Oriya	1401
8707	Luritja	1300
5299	Indo-Aryan, nec	1237
8181	Burarra	1229
6517	Ilonggo (Hiligaynon)	1148
9201	Acholi	1082
8911	Gamilaraay	1065
8712	Ngaanyatjarra	1051
1101	Gaelic (Scotland)	994
8304	Wik Mungkan	952
9255	Madi	935
5105	Tulu	907
8622	Western Arrarnta	907
9404	Norf'k-Pitcairn	907
8401	Kalaw Kawaw Ya/Kalaw Lagaw Ya	888
6503	Ilokano	841
9215	Bemba	841
9307	Niue	837
9313	Tokelauan	825
8711	Martu Wangka	814
8302	Guugu Yimidhirr	806
9242	Bari	773
9503	Motu (HiriMotu)	680
4306	Uzbek	673
9221	Harari	662
9213	Zulu	652
9226	Luganda	649
9256	Mandinka	646
8505	Gurindji	623
2301	Catalan	614
8718	Yankunytjatjara	598
6508	Timorese	593
9245	Fulfulde	591
5213	Assamese	582
4302	Azeri	566
9236	Tswana	559
8507	Jaru	557
9217	Ewe	555
9302	Gilbertese	535
9702	Key Word Sign Australia	518
5214	Dhivehi	505
