"ato_code"	"ato_description"
111111	"Managing director"
111211	"Union secretary"
111212	"Admiral (navy)"
111311	"Councillor"
111312	"Parliamentarian"
111399	"State governor"
121111	"Fish hatchery manager"
121311	"Apiarist"
121312	"Beef cattle farmer or farm overseer"
121313	"Dairy cattle farmer or farm overseer"
121314	"Deer farmer or farm overseer"
121315	"Goat farmer or farm overseer"
121316	"Horse breeder"
121318	"Pig farmer or farm overseer"
121321	"Poultry farmer or farm overseer"
121322	"Sheep farmer or farm overseer"
121323	"Mixed cattle and sheep farmer"
121399	"Dog breeder"
121511	"Cotton grower"
121512	"Grain, oilseed, pulse or pasture grower or field crop grower"
121513	"Sugar cane grower"
121599	"Broadacre crop growers nec"
121611	"Flower grower"
121612	"Fruit grower"
121613	"Nut grower"
121614	"Production nursery grower"
121615	"Turf grower"
121616	"Vegetable grower (Aust) or market gardener (NZ)"
121617	"Wine grape grower"
121699	"Horticultural crop growers nec"
121711	"Broadacre crop and livestock farmer"
121799	"Mixed production farmers nec"
131112	"Sales manager"
131113	"Advertising manager"
131114	"Public relations manager"
132111	"Corporate services manager"
132211	"Finance manager"
132311	"Human resources manager"
132411	"Public policy manager"
132511	"Research and development manager"
133111	"Construction project manager"
133112	"Project builder"
133211	"Engineering manager"
133311	"Exporter"
133312	"Wholesaler"
133411	"Manufacturer"
133511	"Forestry production manager"
133512	"Publishing director"
133513	"Mining production manager"
133611	"Navy - supply officer"
133612	"Procurement manager"
134111	"Child care centre director"
134211	"Medical administrator"
134212	"Director - nursing"
134213	"Primary health organisation manager"
134214	"Welfare centre manager"
134299	"Army - medical corps officer"
134311	"School principal"
134411	"Faculty head"
134412	"School administrator"
134499	"TAFE registrar"
135111	"Chief information officer"
135112	"IT project manager"
135199	"IT manager - other"
139111	"Navy - observer"
139112	"Fire investigator"
139113	"Police inspector"
139211	"Army - non-commissioned officer - senior"
139911	"Arts manager"
139912	"Environmental manager"
139913	"Laboratory manager"
139915	"Sports administrator"
139916	"Quality assurance manager"
139917	"Regulatory affairs manager"
139999	"Bishop"
141111	"Caterer"
141211	"Caravan park manager"
141311	"Hotel manager"
141411	"Club licensee"
141911	"Bed and breakfast owner operator"
141912	"Retirement village manager"
141999	"Lodge manager"
142111	"Shop manager"
142112	"Antique dealer"
142113	"Betting agency manager"
142114	"Hair salon manager"
142115	"Post office manager"
142116	"Travel agency manager"
149111	"Amusement centre manager"
149112	"Fitness centre manager"
149113	"Sports centre manager"
149211	"Call centre manager"
149212	"Client service manager"
