financial_year	end_year	AGNT_ELS	ETAX	SP_MYTAX	SP_PPR	source_url
2009-10	2010	8786515	2351240	0	1242275	https://data.gov.au/data/dataset/03326c3f-c0d3-4af4-afc7-c6ccc0a02223/resource/0776de48-d58f-42da-b97c-04aeaf6c5a35
2010-11	2011	9033880	2505905	0	1097840	https://data.gov.au/data/dataset/03326c3f-c0d3-4af4-afc7-c6ccc0a02223/resource/0776de48-d58f-42da-b97c-04aeaf6c5a35
2011-12	2012	9225745	2598080	0	912205	https://data.gov.au/data/dataset/03326c3f-c0d3-4af4-afc7-c6ccc0a02223/resource/0776de48-d58f-42da-b97c-04aeaf6c5a35
2012-13	2013	9392850	2836115	0	547100	https://data.gov.au/data/dataset/03326c3f-c0d3-4af4-afc7-c6ccc0a02223/resource/0776de48-d58f-42da-b97c-04aeaf6c5a35
2013-14	2014	9622306	1799965	1082686	459328	https://data.gov.au/data/dataset/03326c3f-c0d3-4af4-afc7-c6ccc0a02223/resource/0776de48-d58f-42da-b97c-04aeaf6c5a35
2014-15	2015	9757182	1237058	1868088	351486	https://data.gov.au/data/dataset/03326c3f-c0d3-4af4-afc7-c6ccc0a02223/resource/0776de48-d58f-42da-b97c-04aeaf6c5a35
2015-16	2016	9784132	139	3412679	311151	https://data.gov.au/data/dataset/03326c3f-c0d3-4af4-afc7-c6ccc0a02223/resource/0776de48-d58f-42da-b97c-04aeaf6c5a35
2016-17	2017	9891356	0	3731766	247623	https://data.gov.au/data/dataset/03326c3f-c0d3-4af4-afc7-c6ccc0a02223/resource/0776de48-d58f-42da-b97c-04aeaf6c5a35
2017-18	2018	9975283	0	4102677	210332	https://data.gov.au/data/dataset/03326c3f-c0d3-4af4-afc7-c6ccc0a02223/resource/0776de48-d58f-42da-b97c-04aeaf6c5a35
2018-19	2019	9801240	0	4714782	161523	https://data.gov.au/data/dataset/03326c3f-c0d3-4af4-afc7-c6ccc0a02223/resource/0776de48-d58f-42da-b97c-04aeaf6c5a35
2019-20	2020	9696583	0	5154212	107795	https://data.gov.au/data/dataset/03326c3f-c0d3-4af4-afc7-c6ccc0a02223/resource/0776de48-d58f-42da-b97c-04aeaf6c5a35
2020-21	2021	9639255	0	5411453	83481	https://data.gov.au/data/dataset/03326c3f-c0d3-4af4-afc7-c6ccc0a02223/resource/0776de48-d58f-42da-b97c-04aeaf6c5a35
2021-22	2022	9802810	0	5657970	74615	https://data.gov.au/data/dataset/03326c3f-c0d3-4af4-afc7-c6ccc0a02223/resource/0776de48-d58f-42da-b97c-04aeaf6c5a35
2022-23	2023	10120508	0	5917039	71296	https://data.gov.au/data/dataset/03326c3f-c0d3-4af4-afc7-c6ccc0a02223/resource/0776de48-d58f-42da-b97c-04aeaf6c5a35
2023-24	2024	10299195	0	6218529	66563	https://data.gov.au/data/dataset/faea4485-f407-457d-97f8-3f0822ccd654/resource/e19017b8-3894-44e2-995a-1c253c96977e
