year	code	name	state	source_url
2011	101	Dubbo	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	102	North-Eastern NSW	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	103	North-Western NSW	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	104	NSW Central and North Coast	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	105	Riverina - Orange	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	106	South-Eastern NSW	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	107	Sydney - Wollongong	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	201	Melbourne	2	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	202	Victoria exc. Melbourne	2	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	301	Brisbane	3	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	302	Cairns - Atherton	3	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	303	Cape York	3	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	304	Mount Isa	3	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	305	Rockhampton	3	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	306	Toowoomba - Roma	3	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	307	Torres Strait	3	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	308	Townsville - Mackay	3	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	401	Adelaide	4	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	402	Port Augusta	4	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	403	Port Lincoln - Ceduna	4	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	501	Broome	5	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	502	Geraldton	5	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	503	Kalgoorlie	5	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	504	Kununurra	5	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	505	Perth	5	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	506	South Hedland	5	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	507	South-Western WA	5	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
2011	508	West Kimberley	5	https://geo.abs.gov.au/arcgis/rest/services/ASGS2011/IREG/MapServer
