dataset	variable	code	label
A&T	ALL_INDUSTRIES	N	it does not
A&T	ALL_INDUSTRIES	Y	the Group Training Organisation places apprentices in this industry
A&T	APPLICATIONSTATUSCODE	A	Approved
A&T	APPLICATIONSTATUSCODE	P	Pending / lodged, awaiting decision
A&T	APPLICATIONSTATUSCODE	R	Rejected
A&T	APPLICATIONSTATUSCODE	W	Withdrawn
A&T	APPRENTICESHIPTYPE	1	Apprenticeship
A&T	APPRENTICESHIPTYPE	2	Traineeship
A&T	APPRENTICESHIPTYPE	3	Trainee Apprenticeship
A&T	ARTS_AND_ENTERTAINMENT	N	it does not
A&T	ARTS_AND_ENTERTAINMENT	Y	the Group Training Organisation places apprentices in this industry
A&T	AUTOMOTIVE	N	it does not
A&T	AUTOMOTIVE	Y	the Group Training Organisation places apprentices in this industry
A&T	BUILDING_AND_CONSTRUCTION	N	it does not
A&T	BUILDING_AND_CONSTRUCTION	Y	the Group Training Organisation places apprentices in this industry
A&T	CITIZENSHIPCODE	1	Australian citizen or permanent resident
A&T	CITIZENSHIPCODE	2	New Zealand passport holder resident in Australia for 6 months or more
A&T	CITIZENSHIPCODE	3	Other (visa holder)
A&T	COMMENCEMENTTYPECODE	C	Commencement
A&T	COMMENCEMENTTYPECODE	R	Recommencement
A&T	COMMUNICATIONS	N	it does not
A&T	COMMUNICATIONS	Y	the Group Training Organisation places apprentices in this industry
A&T	COMMUNITY_SERVICES_AND_HEALTH	N	it does not
A&T	COMMUNITY_SERVICES_AND_HEALTH	Y	the Group Training Organisation places apprentices in this industry
A&T	CONTACTMETHOD	Email	Email
A&T	CONTACTMETHOD	Face-to-face (in person)	Face-to-face (in person)
A&T	CONTACTMETHOD	Face-to-face (visual electronic)	Face-to-face (visual electronic)
A&T	CONTACTMETHOD	Mail	Mail
A&T	CONTACTMETHOD	SMS	SMS
A&T	CONTACTMETHOD	Telephone	Telephone
A&T	FIN_INSUR_AND_BUS_S	N	it does not
A&T	FIN_INSUR_AND_BUS_S	Y	the Group Training Organisation places apprentices in this industry
A&T	FOOD_INDUSTRY	N	it does not
A&T	FOOD_INDUSTRY	Y	the Group Training Organisation places apprentices in this industry
A&T	FOREST_INDUSTRY	N	it does not
A&T	FOREST_INDUSTRY	Y	the Group Training Organisation places apprentices in this industry
A&T	FURN_LGHT_MNFCTRNG	N	it does not
A&T	FURN_LGHT_MNFCTRNG	Y	the Group Training Organisation places apprentices in this industry
A&T	ISEQUIVALENT	N	not equivalent
A&T	ISEQUIVALENT	Y	equivalent to the qualification it supersedes
A&T	MANUFACTURING_ENGINEERING	N	it does not
A&T	MANUFACTURING_ENGINEERING	Y	the Group Training Organisation places apprentices in this industry
A&T	MINING	N	it does not
A&T	MINING	Y	the Group Training Organisation places apprentices in this industry
A&T	PRIMARY_INDUSTRY	N	it does not
A&T	PRIMARY_INDUSTRY	Y	the Group Training Organisation places apprentices in this industry
A&T	PROCESS_MANUFACTURING	N	it does not
A&T	PROCESS_MANUFACTURING	Y	the Group Training Organisation places apprentices in this industry
A&T	PROPERTY_SERVICES	N	it does not
A&T	PROPERTY_SERVICES	Y	the Group Training Organisation places apprentices in this industry
A&T	PUBLIC_SECTOR_INDUSTRY	N	it does not
A&T	PUBLIC_SECTOR_INDUSTRY	Y	the Group Training Organisation places apprentices in this industry
A&T	RETAIL_AND_WHOLESALE	N	it does not
A&T	RETAIL_AND_WHOLESALE	Y	the Group Training Organisation places apprentices in this industry
