year	code	name	state	source_url
2021	101021007	Braidwood	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101021008	Karabar	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101021009	Queanbeyan	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101021010	Queanbeyan - East	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101021012	Queanbeyan West - Jerrabomberra	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101021610	Googong	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101021611	Queanbeyan Surrounds	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101031013	Bombala	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101031014	Cooma	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101031015	Cooma Surrounds	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101031016	Jindabyne - Berridale	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101041017	Batemans Bay	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101041018	Batemans Bay - South	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101041019	Bega - Tathra	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101041020	Bega-Eden Hinterland	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101041021	Broulee - Tomakin	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101041022	Deua - Wadbilliga	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101041023	Eden	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101041024	Eurobodalla Hinterland	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101041025	Merimbula - Tura Beach	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101041026	Moruya - Tuross Head	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101041027	Narooma - Bermagui	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101051539	Goulburn	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101051540	Goulburn Surrounds	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101061541	Yass	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101061542	Yass Surrounds	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101061543	Young	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	101061544	Young Surrounds	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
2021	102011028	Avoca Beach - Copacabana	1	https://geo.abs.gov.au/arcgis/rest/services/ASGS2021/SA2/MapServer
