code	label	weight
1101	Australia	17019815
1102	Norfolk Island	1500
1199	Australian External Territories, nec	1500
1201	New Zealand	530492
1301	New Caledonia	1500
1302	Papua New Guinea	1500
1303	Solomon Islands	1500
1304	Vanuatu	1500
1401	Guam	1500
1402	Kiribati	1500
1403	Marshall Islands	1500
1404	Micronesia, Federated States of	1500
1405	Nauru	1500
1406	Northern Mariana Islands	1500
1407	Palau	1500
1501	Cook Islands	1500
1502	Fiji	1500
1503	French Polynesia	1500
1504	Niue	1500
1505	Samoa	1500
1506	Samoa, American	1500
1507	Tokelau	1500
1508	Tonga	1500
1511	Tuvalu	1500
1512	Wallis and Futuna	1500
1513	Pitcairn Islands	1500
1599	Polynesia (excludes Hawaii), nec	1500
1601	Adelie Land (France)	1500
1602	Argentinian Antarctic Territory	1500
1603	Australian Antarctic Territory	1500
1604	British Antarctic Territory	1500
1605	Chilean Antarctic Territory	1500
1606	Queen Maud Land (Norway)	1500
1607	Ross Dependency (New Zealand)	1500
2102	England	927490
2103	Isle of Man	1500
2104	Northern Ireland	1500
2105	Scotland	118496
2106	Wales	1500
2107	Guernsey	1500
2108	Jersey	1500
2201	Ireland	1500
2301	Austria	1500
2302	Belgium	1500
2303	France	1500
2304	Germany	101255
2305	Liechtenstein	1500
2306	Luxembourg	1500
2307	Monaco	1500
2308	Netherlands	1500
2311	Switzerland	1500
2401	Denmark	1500
2402	Faroe Islands	1500
2403	Finland	1500
2404	Greenland	1500
2405	Iceland	1500
2406	Norway	1500
2407	Sweden	1500
2408	Aland Islands	1500
3101	Andorra	1500
3102	Gibraltar	1500
3103	Holy See	1500
3104	Italy	163326
3105	Malta	1500
3106	Portugal	1500
3107	San Marino	1500
3108	Spain	1500
3201	Albania	1500
3202	Bosnia and Herzegovina	1500
3203	Bulgaria	1500
3204	Croatia	1500
3205	Cyprus	1500
3206	North Macedonia	1500
3207	Greece	92314
3208	Moldova	1500
3211	Romania	1500
3212	Slovenia	1500
3214	Montenegro	1500
3215	Serbia	1500
3216	Kosovo	1500
3301	Belarus	1500
3302	Czechia	1500
3303	Estonia	1500
3304	Hungary	1500
3305	Latvia	1500
3306	Lithuania	1500
3307	Poland	1500
3308	Russian Federation	1500
3311	Slovakia	1500
3312	Ukraine	1500
4101	Algeria	1500
4102	Egypt	1500
4103	Libya	1500
4104	Morocco	1500
4105	Sudan	1500
4106	Tunisia	1500
4107	Western Sahara	1500
4108	Spanish North Africa	1500
4111	South Sudan	1500
4201	Bahrain	1500
4202	Occupied Palestinian Territories	1500
4203	Iran	1500
4204	Iraq	1500
4205	Israel	1500
4206	Jordan	1500
4207	Kuwait	1500
4208	Lebanon	1500
4211	Oman	1500
4212	Qatar	1500
4213	Saudi Arabia	1500
