identifier,code,value_label,frequency_note,sheet,source_row,value_order,is_placeholder,source_workbook
ABSMID,201408,2014-08-01 00:00:00,,Time,11,1,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
ABSMID,201508,2015-08-01 00:00:00,,Time,12,2,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
ABSMID,201608,2016-08-01 00:00:00,,Time,13,3,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
ABSMID,201708,2017-08-01 00:00:00,,Time,14,4,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
ABSMID,201808,2018-08-01 00:00:00,,Time,15,5,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
ABSMID,201908,2019-08-01 00:00:00,,Time,16,6,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
ABSMID,202008,2020-08-01 00:00:00,,Time,17,7,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
ABSMID,202108,2021-08-01 00:00:00,,Time,18,8,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
ABSMID,202208,2022-08-01 00:00:00,,Time,19,9,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
ABSMID,202308,2023-08-01 00:00:00,,Time,20,10,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
ABSMID,202408,2024-08-01 00:00:00,,Time,21,11,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
ABSMID,202508,2025-08-01 00:00:00,,Time,22,12,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
AGES,015,15 years,,Demography,11,1,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
AGES,016,16 years,,Demography,12,2,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
AGES,017,17 years,,Demography,13,3,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
AGES,...,...,,Demography,14,4,TRUE,COE_2025_Data_Item_List_DataLab.xlsx
AGES,118,118 years,,Demography,15,5,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
AGES,119,119 years,,Demography,16,6,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
AGES,120,120 years and over,,Demography,17,7,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,10000,Australia,,Demography,20,1,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,21201,New Zealand,,Demography,23,2,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,21502,Fiji,,Demography,24,3,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,21999,"Oceania and Antarctica, nec",,Demography,25,4,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,22100,United Kingdom,,Demography,27,5,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,22201,Ireland,,Demography,28,6,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,22304,Germany,,Demography,29,7,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,22308,Netherlands,,Demography,30,8,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,22999,"North-West Europe, nec",,Demography,31,9,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,23104,Italy,,Demography,33,10,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,23105,Malta,,Demography,34,11,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,23204,Croatia,,Demography,35,12,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,23206,North Macedonia,,Demography,36,13,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,23207,Greece,,Demography,37,14,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,23307,Poland,,Demography,38,15,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,23999,"Southern and Eastern Europe, nec",,Demography,39,16,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,24102,Egypt,,Demography,41,17,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,24203,Iran,,Demography,42,18,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,24204,Iraq,,Demography,43,19,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,24208,Lebanon,,Demography,44,20,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,24999,"North Africa and the Middle East, nec",,Demography,45,21,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,25101,Myanmar,,Demography,47,22,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,25102,Cambodia,,Demography,48,23,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,25104,Thailand,,Demography,49,24,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,25105,Vietnam,,Demography,50,25,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,25202,Indonesia,,Demography,51,26,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,25203,Malaysia,,Demography,52,27,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,25204,Philippines,,Demography,53,28,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,25205,Singapore,,Demography,54,29,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,25999,"South-East Asia, nec",,Demography,55,30,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,26101,China,,Demography,57,31,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,26102,Hong Kong,,Demography,58,32,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,26105,Taiwan,,Demography,59,33,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,26201,Japan,,Demography,60,34,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,26203,South Korea,,Demography,61,35,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,26999,"North-East Asia, nec",,Demography,62,36,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,27101,Bangladesh,,Demography,64,37,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,27103,India,,Demography,65,38,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,27105,Nepal,,Demography,66,39,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,27106,Pakistan,,Demography,67,40,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,27107,Sri Lanka,,Demography,68,41,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,27201,Afghanistan,,Demography,69,42,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,27999,"Southern and Central Asia, nec",,Demography,70,43,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,28102,Canada,,Demography,72,44,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,28104,United States of America,,Demography,73,45,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,28999,"Americas, nec",,Demography,74,46,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,29225,South Africa,,Demography,76,47,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,29232,Zimbabwe,,Demography,77,48,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,29999,"Sub-Saharan Africa, nec",,Demography,78,49,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,30000,"Inadequately Described, Born at Sea",,Demography,79,50,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
ELAPSEDA,1,Single years,,Demography,83,1,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
ELAPSEDA,-1,Inadequately described,,Demography,84,2,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
ELAPSEDA,-9,Born in Australia,,Demography,85,3,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
ELAPSEDB,00,Arrived less than 1 year ago (or not born overseas),,Demography,88,1,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
ELAPSEDB,01,Arrived 1 year ago,,Demography,89,2,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
ELAPSEDB,02,Arrived 2 years ago,,Demography,90,3,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
ELAPSEDB,03,Arrived 3 years ago,,Demography,91,4,FALSE,COE_2025_Data_Item_List_DataLab.xlsx
