identifier,label,sheet,source_row,level,survey,frequency,platform,collection_cadence,source_workbook
SYNTHETIC_AEUID,Synthetic MADIP Person ID,fplida linkage,,Person,fplida,Not applicable,DataLab,static,COE_2025_Data_Item_List_DataLab.xlsx
ABSRID,Record ID,Record IDs,10,Person,LFS,Not applicable,DataLab,static,COE_2025_Data_Item_List_DataLab.xlsx
ABSMID,Survey month,Time,10,Not applicable,LFS,Not applicable,DataLab,static,COE_2025_Data_Item_List_DataLab.xlsx
AGES,Age,Demography,10,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
COBTB21,Country of birth,Demography,19,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
ELAPSEDB,Elapsed years since arrival,Demography,81,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
ELAPSEDA,Elapsed years since arrival - flag,Demography,82,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
ASGSSA4S,Labour market region (SA4) of usual residence,Demography,97,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
SEXS,Sex,Demography,207,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
YRBIRTH3,Year of birth,Demography,211,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
AGEYNGFB,Age of youngest child in family (aged 0-14 years),Families,10,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
AGEYNGFA,Age of youngest child in family (aged 0-14 years) - flag,Families,11,Person,LFS,From Aug-18,DataLab,static,COE_2025_Data_Item_List_DataLab.xlsx
AGEYNGHB,Age of youngest child in household (aged 0-14 years),Families,26,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
AGEYNGHA,Age of youngest child in household (aged 0-14 years) - flag,Families,27,Person,LFS,From Aug-18,DataLab,static,COE_2025_Data_Item_List_DataLab.xlsx
NUMKD14F,Number of children in family (aged 0-14 years),Families,41,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
NUMKD14H,Number of children in household (aged 0-14 years),Families,49,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
NUMDP24F,Number of dependants in family (aged 0-24 years),Families,56,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
NUMDP24H,Number of dependants in household (aged 0-24 years),Families,65,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
RELHH21,Relationship in household,Families,73,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
MARSTATS,Social marital status,Families,97,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
ELYRHIQB,Elapsed years since completed highest educational attainment,Education,10,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
ELYRHIQA,Elapsed years since completed highest educational attainment - flag,Education,11,Person,LFS,From Aug-16,DataLab,static,COE_2025_Data_Item_List_DataLab.xlsx
ELYRNSQB,Elapsed years since completed highest non-school qualification,Education,27,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
ELYRNSQA,Elapsed years since completed highest non-school qualification - flag,Education,28,Person,LFS,From Aug-16,DataLab,static,COE_2025_Data_Item_List_DataLab.xlsx
HIGHYR,Highest year of school completed,Education,44,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
ASCEDLVL,Level of highest educational attainment,Education,54,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
ASCEDLVS,Level of highest non-school qualification,Education,85,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
MFHNSQ,Main field of highest non-school qualification,Education,114,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
STUDSTAS,Whether currently studying,Education,214,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
NEETSTAT,"Whether engaged in employment, education or training",Education,220,Person,LFS,Annual,DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WKDHRSB,Actual hours worked in all jobs last week,Employment,10,Person,LFS,Annual (2014-2024 ),DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
WKDHRSA,Actual hours worked in all jobs last week - flag,Employment,11,Person,LFS,Annual (2014-2024 ),DataLab,annual,COE_2025_Data_Item_List_DataLab.xlsx
