identifier,code,value_label,frequency_note,sheet,source_row,value_order,is_placeholder,source_workbook
ABSPID,01,Person 1,,Record IDs,44,1,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSPID,02,Person 2,,Record IDs,45,2,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSPID,03,Person 3,,Record IDs,46,3,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSPID,...,...,,Record IDs,47,4,TRUE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSPID,48,Person 48,,Record IDs,48,5,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSPID,49,Person 49,,Record IDs,49,6,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196402,1964-02-01 00:00:00,,Time,11,1,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196405,1964-05-01 00:00:00,,Time,12,2,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196408,1964-08-01 00:00:00,,Time,13,3,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196411,1964-11-01 00:00:00,,Time,14,4,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196502,1965-02-01 00:00:00,,Time,15,5,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196505,1965-05-01 00:00:00,,Time,16,6,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196508,1965-08-01 00:00:00,,Time,17,7,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196511,1965-11-01 00:00:00,,Time,18,8,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196602,1966-02-01 00:00:00,,Time,19,9,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196605,1966-05-01 00:00:00,,Time,20,10,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196608,1966-08-01 00:00:00,,Time,21,11,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196611,1966-11-01 00:00:00,,Time,22,12,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196702,1967-02-01 00:00:00,,Time,23,13,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196705,1967-05-01 00:00:00,,Time,24,14,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196708,1967-08-01 00:00:00,,Time,25,15,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196711,1967-11-01 00:00:00,,Time,26,16,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196802,1968-02-01 00:00:00,,Time,27,17,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196805,1968-05-01 00:00:00,,Time,28,18,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196808,1968-08-01 00:00:00,,Time,29,19,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196811,1968-11-01 00:00:00,,Time,30,20,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196902,1969-02-01 00:00:00,,Time,31,21,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196905,1969-05-01 00:00:00,,Time,32,22,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196908,1969-08-01 00:00:00,,Time,33,23,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,196911,1969-11-01 00:00:00,,Time,34,24,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197002,1970-02-01 00:00:00,,Time,35,25,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197005,1970-05-01 00:00:00,,Time,36,26,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197008,1970-08-01 00:00:00,,Time,37,27,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197011,1970-11-01 00:00:00,,Time,38,28,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197102,1971-02-01 00:00:00,,Time,39,29,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197105,1971-05-01 00:00:00,,Time,40,30,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197108,1971-08-01 00:00:00,,Time,41,31,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197111,1971-11-01 00:00:00,,Time,42,32,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197202,1972-02-01 00:00:00,,Time,43,33,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197205,1972-05-01 00:00:00,,Time,44,34,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197208,1972-08-01 00:00:00,,Time,45,35,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197211,1972-11-01 00:00:00,,Time,46,36,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197302,1973-02-01 00:00:00,,Time,47,37,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197305,1973-05-01 00:00:00,,Time,48,38,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197308,1973-08-01 00:00:00,,Time,49,39,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197311,1973-11-01 00:00:00,,Time,50,40,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197402,1974-02-01 00:00:00,,Time,51,41,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197405,1974-05-01 00:00:00,,Time,52,42,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197408,1974-08-01 00:00:00,,Time,53,43,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197411,1974-11-01 00:00:00,,Time,54,44,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197502,1975-02-01 00:00:00,,Time,55,45,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197505,1975-05-01 00:00:00,,Time,56,46,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197508,1975-08-01 00:00:00,,Time,57,47,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197511,1975-11-01 00:00:00,,Time,58,48,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197602,1976-02-01 00:00:00,,Time,59,49,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197605,1976-05-01 00:00:00,,Time,60,50,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197608,1976-08-01 00:00:00,,Time,61,51,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197611,1976-11-01 00:00:00,,Time,62,52,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197702,1977-02-01 00:00:00,,Time,63,53,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197705,1977-05-01 00:00:00,,Time,64,54,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197708,1977-08-01 00:00:00,,Time,65,55,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197711,1977-11-01 00:00:00,,Time,66,56,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197802,1978-02-01 00:00:00,,Time,67,57,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197803,1978-03-01 00:00:00,,Time,68,58,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197804,1978-04-01 00:00:00,,Time,69,59,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197805,1978-05-01 00:00:00,,Time,70,60,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197806,1978-06-01 00:00:00,,Time,71,61,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197807,1978-07-01 00:00:00,,Time,72,62,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197808,1978-08-01 00:00:00,,Time,73,63,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197809,1978-09-01 00:00:00,,Time,74,64,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197810,1978-10-01 00:00:00,,Time,75,65,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,197811,1978-11-01 00:00:00,,Time,76,66,FALSE,66020 LLFS Data Item List (updated Apr 2026).xlsx
