identifier,label,sheet,source_row,level,survey,frequency,population,collection_cadence,source_workbook
SYNTHETIC_AEUID,Synthetic MADIP Person ID,fplida linkage,,Person,LFS,Not applicable,All,static,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSRID,Record ID,Record IDs,10,Person,LFS,Not applicable,All,static,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSHID,Household ID,Record IDs,27,Household/,LFS,Not applicable,All,static,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSPID,Person ID,Record IDs,43,Person,LFS,Not applicable,All,static,66020 LLFS Data Item List (updated Apr 2026).xlsx
ABSMID,Survey month,Time,10,Not applicable,LFS,Not applicable,All,static,66020 LLFS Data Item List (updated Apr 2026).xlsx
SURVYEAR,Survey year,Time,652,Not applicable,LFS,Not applicable,All,static,66020 LLFS Data Item List (updated Apr 2026).xlsx
STRTDATE,First day of reference week,Time,663,Person,LFS,Not applicable,All,static,66020 LLFS Data Item List (updated Apr 2026).xlsx
FRSTMTH,First month of selection,Time,695,Household/,LFS,Not applicable,All,static,66020 LLFS Data Item List (updated Apr 2026).xlsx
MNTHSEL,Month of selection,Time,715,Household/,LFS,Not applicable,All,static,66020 LLFS Data Item List (updated Apr 2026).xlsx
NUMRESP,Number of responses,Time,726,Person,LFS,Not applicable,All,static,66020 LLFS Data Item List (updated Apr 2026).xlsx
RESPNUM,Response number,Time,737,Person,LFS,Not applicable,All,static,66020 LLFS Data Item List (updated Apr 2026).xlsx
SAMPFRME,Sample frame,Survey,10,Household/,LFS,Not applicable,All,static,66020 LLFS Data Item List (updated Apr 2026).xlsx
ROTGRP,Rotation group,Survey,22,Household/,LFS,Not applicable,All,static,66020 LLFS Data Item List (updated Apr 2026).xlsx
RESPTYPE,Respondent detail,Survey,33,Person,LFS,Monthly,All,monthly,66020 LLFS Data Item List (updated Apr 2026).xlsx
URSTATUS,Usual resident status,Survey,41,Person,LFS,Monthly,All,monthly,66020 LLFS Data Item List (updated Apr 2026).xlsx
SUBPSRCE,Administrative data source,Survey,47,Person,LFS,Monthly,All,monthly,66020 LLFS Data Item List (updated Apr 2026).xlsx
STATESEL,State or territory of selection,Geography,12,Household/,LFS,Not applicable,All,static,66020 LLFS Data Item List (updated Apr 2026).xlsx
STATEUR,State or territory of usual residence (ASGS),Geography,23,Person,LFS,Monthly,All,monthly,66020 LLFS Data Item List (updated Apr 2026).xlsx
AREAUR,Area (ASGS) of usual residence,Geography,34,Person,LFS,Monthly,All,monthly,66020 LLFS Data Item List (updated Apr 2026).xlsx
GCCSA,Greater Capital City Statistical Area (ASGS) of usual residence,Geography,39,Person,LFS,Monthly,All,monthly,66020 LLFS Data Item List (updated Apr 2026).xlsx
REGNASGS,"Labour market region (ASGS, SA4) of usual residence",Geography,58,Person,LFS,Monthly,All,monthly,66020 LLFS Data Item List (updated Apr 2026).xlsx
STATASGC,State or territory of usual residence (ASGC),Geography,176,Person,LFS,Monthly,All,monthly,66020 LLFS Data Item List (updated Apr 2026).xlsx
AREAASGC,Area (ASGC) of usual residence,Geography,188,Person,LFS,Monthly,All,monthly,66020 LLFS Data Item List (updated Apr 2026).xlsx
CCBSASGC,Capital city or Balance of state/territory (ASGC) of usual residence,Geography,194,Person,LFS,Monthly,All,monthly,66020 LLFS Data Item List (updated Apr 2026).xlsx
RG06ASGC,Region (ASGC - 2006) of usual residence,Geography,212,Person,LFS,Monthly,All,monthly,66020 LLFS Data Item List (updated Apr 2026).xlsx
RG96ASGC,Region (ASGC - 1996) of usual residence,Geography,333,Person,LFS,Monthly,All,monthly,66020 LLFS Data Item List (updated Apr 2026).xlsx
RG21ASGC,Region (ASGC - Edition 2.1) of usual residence,Geography,453,Person,LFS,Monthly,All,monthly,66020 LLFS Data Item List (updated Apr 2026).xlsx
RGV9ASGC,Region (ASGC - 9th Edition) of usual residence,Geography,572,Person,LFS,Monthly,All,monthly,66020 LLFS Data Item List (updated Apr 2026).xlsx
RGV1ASGC,Region (ASGC - 1st Edition) of usual residence,Geography,696,Person,LFS,Monthly,All,monthly,66020 LLFS Data Item List (updated Apr 2026).xlsx
