"item_num","category","group","sub_heading","benefit_type","schedule_fee","benefit_75","benefit_85","benefit_100","anaes","weight"
3,1,"A1",1,"E",20.05,0,0,20.05,"N",0.000638666196070475
23,1,"A1",2,"E",43.9,0,0,43.9,"N",0.000638666196070475
36,1,"A1",3,"E",84.9,0,0,84.9,"N",0.000638666196070475
44,1,"A1",4,"E",125.1,0,0,125.1,"N",0.000638666196070475
123,1,"A1",NA,"E",202.65,0,0,202.65,"N",0.000638666196070475
10905,1,"A10",NA,"B",77.8,0,66.15,0,"N",0.000638666196070475
10907,1,"A10",NA,"B",39,0,33.15,0,"N",0.000638666196070475
10910,1,"A10",NA,"B",77.8,0,66.15,0,"N",0.000638666196070475
10911,1,"A10",NA,"B",77.8,0,66.15,0,"N",0.000638666196070475
10913,1,"A10",NA,"B",77.8,0,66.15,0,"N",0.000638666196070475
10914,1,"A10",NA,"B",77.8,0,66.15,0,"N",0.000638666196070475
10915,1,"A10",NA,"B",77.8,0,66.15,0,"N",0.000638666196070475
10916,1,"A10",NA,"B",39,0,33.15,0,"N",0.000638666196070475
10918,1,"A10",NA,"B",39,0,33.15,0,"N",0.000638666196070475
10921,1,"A10",NA,"B",193.45,0,164.45,0,"N",0.000638666196070475
10924,1,"A10",NA,"B",244.05,0,207.45,0,"N",0.000638666196070475
10926,1,"A10",NA,"B",193.45,0,164.45,0,"N",0.000638666196070475
10927,1,"A10",NA,"B",244.05,0,207.45,0,"N",0.000638666196070475
10928,1,"A10",NA,"B",193.45,0,164.45,0,"N",0.000638666196070475
10929,1,"A10",NA,"B",244.05,0,207.45,0,"N",0.000638666196070475
10930,1,"A10",NA,"B",193.45,0,164.45,0,"N",0.000638666196070475
10931,1,"A10",NA,"B",44.8,0,38.1,0,"N",0.000638666196070475
10938,1,"A10",NA,"B",74.3,0,63.2,0,"N",0.000638666196070475
10939,1,"A10",NA,"B",44.85,0,38.15,0,"N",0.000638666196070475
10940,1,"A10",NA,"B",74.3,0,63.2,0,"N",0.000638666196070475
10941,1,"A10",NA,"B",44.85,0,38.15,0,"N",0.000638666196070475
10942,1,"A10",NA,"B",39,0,33.15,0,"N",0.000638666196070475
10943,1,"A10",NA,"B",39,0,33.15,0,"N",0.000638666196070475
10944,1,"A10",NA,"B",84.15,0,71.55,0,"N",0.000638666196070475
10945,1,"A10",1,"B",39,0,33.15,0,"N",0.000638666196070475
10946,1,"A10",1,"B",77.8,0,66.15,0,"N",0.000638666196070475
585,1,"A11",NA,"D",151.45,113.6,0,151.45,"N",0.000638666196070475
588,1,"A11",NA,"D",151.45,113.6,0,151.45,"N",0.000638666196070475
591,1,"A11",NA,"D",105,78.75,0,105,"N",0.000638666196070475
594,1,"A11",NA,"D",48.95,36.75,0,48.95,"N",0.000638666196070475
599,1,"A11",NA,"D",178.5,133.9,0,178.5,"N",0.000638666196070475
600,1,"A11",NA,"D",142.65,107,0,142.65,"N",0.000638666196070475
385,1,"A12",NA,"C",101.3,76,86.15,0,"N",0.000638666196070475
386,1,"A12",NA,"C",50.95,38.25,43.35,0,"N",0.000638666196070475
387,1,"A12",NA,"C",148.65,111.5,126.4,0,"N",0.000638666196070475
388,1,"A12",NA,"C",94.1,70.6,80,0,"N",0.000638666196070475
410,1,"A13",1,"C",23.15,17.4,19.7,0,"N",0.000638666196070475
411,1,"A13",1,"C",50.6,37.95,43.05,0,"N",0.000638666196070475
412,1,"A13",1,"C",97.95,73.5,83.3,0,"N",0.000638666196070475
413,1,"A13",1,"C",144.2,108.15,122.6,0,"N",0.000638666196070475
695,1,"A14",1,"E",101.9,0,0,101.9,"N",0.000638666196070475
699,1,"A14",1,"E",84.9,0,0,84.9,"N",0.000638666196070475
701,1,"A14",1,"E",69.2,0,0,69.2,"N",0.000638666196070475
703,1,"A14",1,"E",160.85,0,0,160.85,"N",0.000638666196070475
705,1,"A14",1,"E",222,0,0,222,"N",0.000638666196070475
707,1,"A14",1,"E",313.6,0,0,313.6,"N",0.000638666196070475
715,1,"A14",2,"E",247.65,0,0,247.65,"N",0.000638666196070475
729,1,"A15",NA,"E",82.1,0,0,82.1,"N",0.000638666196070475
731,1,"A15",NA,"E",82.1,0,0,82.1,"N",0.000638666196070475
735,1,"A15",NA,"D",82.5,61.9,0,82.5,"N",0.000638666196070475
739,1,"A15",NA,"D",141.05,105.8,0,141.05,"N",0.000638666196070475
743,1,"A15",NA,"D",235.15,176.4,0,235.15,"N",0.000638666196070475
747,1,"A15",NA,"D",60.6,45.45,0,60.6,"N",0.000638666196070475
750,1,"A15",NA,"D",103.9,77.95,0,103.9,"N",0.000638666196070475
758,1,"A15",NA,"D",172.85,129.65,0,172.85,"N",0.000638666196070475
820,1,"A15",NA,"C",164.65,123.5,140,0,"N",0.000638666196070475
822,1,"A15",NA,"C",247.15,185.4,210.1,0,"N",0.000638666196070475
823,1,"A15",NA,"C",329.25,246.95,279.9,0,"N",0.000638666196070475
825,1,"A15",NA,"C",118.25,88.7,100.55,0,"N",0.000638666196070475
826,1,"A15",NA,"C",188.65,141.5,160.4,0,"N",0.000638666196070475
828,1,"A15",NA,"C",259,194.25,220.15,0,"N",0.000638666196070475
830,1,"A15",NA,"C",164.65,123.5,140,0,"N",0.000638666196070475
832,1,"A15",NA,"C",247.15,185.4,210.1,0,"N",0.000638666196070475
834,1,"A15",NA,"C",329.25,246.95,279.9,0,"N",0.000638666196070475
835,1,"A15",NA,"C",118.25,88.7,100.55,0,"N",0.000638666196070475
837,1,"A15",NA,"C",188.65,141.5,160.4,0,"N",0.000638666196070475
838,1,"A15",NA,"C",259,194.25,220.15,0,"N",0.000638666196070475
855,1,"A15",NA,"C",164.65,123.5,140,0,"N",0.000638666196070475
857,1,"A15",NA,"C",247.15,185.4,210.1,0,"N",0.000638666196070475
858,1,"A15",NA,"C",329.25,246.95,279.9,0,"N",0.000638666196070475
861,1,"A15",NA,"C",164.65,123.5,140,0,"N",0.000638666196070475
864,1,"A15",NA,"C",247.15,185.4,210.1,0,"N",0.000638666196070475
866,1,"A15",NA,"C",329.25,246.95,279.9,0,"N",0.000638666196070475
871,1,"A15",NA,"C",95.1,71.35,80.85,0,"N",0.000638666196070475
872,1,"A15",NA,"C",44.3,33.25,37.7,0,"N",0.000638666196070475
880,1,"A15",NA,"A",57.6,43.2,0,0,"N",0.000638666196070475
930,1,"A15",NA,"D",82.5,61.9,0,82.5,"N",0.000638666196070475
933,1,"A15",NA,"D",141.05,105.8,0,141.05,"N",0.000638666196070475
935,1,"A15",NA,"D",235.15,176.4,0,235.15,"N",0.000638666196070475
937,1,"A15",NA,"D",60.6,45.45,0,60.6,"N",0.000638666196070475
943,1,"A15",NA,"D",103.9,77.95,0,103.9,"N",0.000638666196070475
945,1,"A15",NA,"D",172.85,129.65,0,172.85,"N",0.000638666196070475
946,1,"A15",NA,"C",164.65,123.5,140,0,"N",0.000638666196070475
948,1,"A15",NA,"C",247.15,185.4,210.1,0,"N",0.000638666196070475
959,1,"A15",NA,"C",329.25,246.95,279.9,0,"N",0.000638666196070475
961,1,"A15",NA,"C",118.25,88.7,100.55,0,"N",0.000638666196070475
962,1,"A15",NA,"C",188.65,141.5,160.4,0,"N",0.000638666196070475
964,1,"A15",NA,"C",259,194.25,220.15,0,"N",0.000638666196070475
965,1,"A15",NA,"D",156.55,117.45,0,156.55,"N",0.000638666196070475
967,1,"A15",NA,"D",156.55,117.45,0,156.55,"N",0.000638666196070475
900,1,"A17",NA,"E",180.65,0,0,180.65,"N",0.000638666196070475
903,1,"A17",NA,"E",123.7,0,0,123.7,"N",0.000638666196070475
52,1,"A2",1,"E",11,0,0,11,"N",0.000638666196070475
53,1,"A2",1,"E",21,0,0,21,"N",0.000638666196070475
54,1,"A2",1,"E",38,0,0,38,"N",0.000638666196070475
57,1,"A2",1,"E",61,0,0,61,"N",0.000638666196070475
151,1,"A2",NA,"E",98.4,0,0,98.4,"N",0.000638666196070475
2700,1,"A20",NA,"D",83.65,62.75,0,83.65,"N",0.000638666196070475
2701,1,"A20",NA,"D",123.15,92.4,0,123.15,"N",0.000638666196070475
2712,1,"A20",NA,"D",83.65,62.75,0,83.65,"N",0.000638666196070475
2713,1,"A20",NA,"E",83.65,0,0,83.65,"N",0.000638666196070475
2715,1,"A20",NA,"D",106.2,79.65,0,106.2,"N",0.000638666196070475
2717,1,"A20",NA,"D",156.45,117.35,0,156.45,"N",0.000638666196070475
2721,1,"A20",NA,"E",108.2,0,0,108.2,"N",0.000638666196070475
2725,1,"A20",NA,"E",154.85,0,0,154.85,"N",0.000638666196070475
2739,1,"A20",NA,"E",108.2,0,0,108.2,"N",0.000638666196070475
2743,1,"A20",NA,"E",154.85,0,0,154.85,"N",0.000638666196070475
5001,1,"A21",NA,"C",68.45,51.35,58.2,0,"N",0.000638666196070475
5004,1,"A21",NA,"C",114.95,86.25,97.75,0,"N",0.000638666196070475
5011,1,"A21",NA,"C",114.95,86.25,97.75,0,"N",0.000638666196070475
5012,1,"A21",NA,"C",180.15,135.15,153.15,0,"N",0.000638666196070475
5013,1,"A21",NA,"C",226.65,170,192.7,0,"N",0.000638666196070475
5014,1,"A21",NA,"C",226.65,170,192.7,0,"N",0.000638666196070475
5016,1,"A21",NA,"C",304.15,228.15,258.55,0,"N",0.000638666196070475
5017,1,"A21",NA,"C",350.7,263.05,298.1,0,"N",0.000638666196070475
5019,1,"A21",NA,"C",350.7,263.05,298.1,0,"N",0.000638666196070475
5021,1,"A21",NA,"C",51.3,38.5,43.65,0,"N",0.000638666196070475
5022,1,"A21",NA,"C",86.2,64.65,73.3,0,"N",0.000638666196070475
5027,1,"A21",NA,"C",86.2,64.65,73.3,0,"N",0.000638666196070475
5030,1,"A21",NA,"C",135.05,101.3,114.8,0,"N",0.000638666196070475
5031,1,"A21",NA,"C",170,127.5,144.5,0,"N",0.000638666196070475
5032,1,"A21",NA,"C",170,127.5,144.5,0,"N",0.000638666196070475
5033,1,"A21",NA,"C",228.1,171.1,193.9,0,"N",0.000638666196070475
5035,1,"A21",NA,"C",263.05,197.3,223.6,0,"N",0.000638666196070475
5036,1,"A21",NA,"C",263.05,197.3,223.6,0,"N",0.000638666196070475
5039,1,"A21",NA,"C",166.2,124.65,141.3,0,"N",0.000638666196070475
5041,1,"A21",NA,"C",312.45,234.35,265.6,0,"N",0.000638666196070475
5042,1,"A21",NA,"C",124.7,93.55,106,0,"N",0.000638666196070475
5044,1,"A21",NA,"C",234.35,175.8,199.2,0,"N",0.000638666196070475
5000,1,"A22",1,"E",33.8,0,0,33.8,"N",0.000638666196070475
5020,1,"A22",2,"E",57.15,0,0,57.15,"N",0.000638666196070475
5040,1,"A22",3,"E",98,0,0,98,"N",0.000638666196070475
5060,1,"A22",4,"E",137.4,0,0,137.4,"N",0.000638666196070475
5071,1,"A22",NA,"E",233.4,0,0,233.4,"N",0.000638666196070475
5200,1,"A23",1,"E",21.5,0,0,21.5,"N",0.000638666196070475
5203,1,"A23",1,"E",31.75,0,0,31.75,"N",0.000638666196070475
5207,1,"A23",1,"E",49.15,0,0,49.15,"N",0.000638666196070475
5208,1,"A23",1,"E",72.7,0,0,72.7,"N",0.000638666196070475
5209,1,"A23",NA,"E",125.35,0,0,125.35,"N",0.000638666196070475
2801,1,"A24",NA,"C",178.7,134.05,151.9,0,"N",0.000638666196070475
2806,1,"A24",NA,"C",89.4,67.05,76,0,"N",0.000638666196070475
2814,1,"A24",NA,"C",50.95,38.25,43.35,0,"N",0.000638666196070475
2824,1,"A24",NA,"B",216.75,0,184.25,0,"N",0.000638666196070475
2832,1,"A24",NA,"B",131.1,0,111.45,0,"N",0.000638666196070475
2840,1,"A24",NA,"B",94.45,0,80.3,0,"N",0.000638666196070475
2946,1,"A24",NA,"C",164.65,123.5,140,0,"N",0.000638666196070475
2949,1,"A24",NA,"C",247.15,185.4,210.1,0,"N",0.000638666196070475
2954,1,"A24",NA,"C",329.25,246.95,279.9,0,"N",0.000638666196070475
2958,1,"A24",NA,"C",118.25,88.7,100.55,0,"N",0.000638666196070475
2972,1,"A24",NA,"C",188.65,141.5,160.4,0,"N",0.000638666196070475
2974,1,"A24",NA,"C",259,194.25,220.15,0,"N",0.000638666196070475
2978,1,"A24",NA,"C",164.65,123.5,140,0,"N",0.000638666196070475
2984,1,"A24",NA,"C",247.15,185.4,210.1,0,"N",0.000638666196070475
2988,1,"A24",NA,"C",329.25,246.95,279.9,0,"N",0.000638666196070475
2992,1,"A24",NA,"C",118.25,88.7,100.55,0,"N",0.000638666196070475
2996,1,"A24",NA,"C",188.65,141.5,160.4,0,"N",0.000638666196070475
3000,1,"A24",NA,"C",259,194.25,220.15,0,"N",0.000638666196070475
3005,1,"A24",NA,"C",178.7,134.05,151.9,0,"N",0.000638666196070475
3010,1,"A24",NA,"C",89.4,67.05,76,0,"N",0.000638666196070475
3014,1,"A24",NA,"C",50.95,38.25,43.35,0,"N",0.000638666196070475
3018,1,"A24",NA,"B",216.75,0,184.25,0,"N",0.000638666196070475
3023,1,"A24",NA,"B",131.1,0,111.45,0,"N",0.000638666196070475
3028,1,"A24",NA,"B",94.45,0,80.3,0,"N",0.000638666196070475
3032,1,"A24",NA,"C",164.65,123.5,140,0,"N",0.000638666196070475
3040,1,"A24",NA,"C",247.15,185.4,210.1,0,"N",0.000638666196070475
3044,1,"A24",NA,"C",329.25,246.95,279.9,0,"N",0.000638666196070475
3051,1,"A24",NA,"C",118.25,88.7,100.55,0,"N",0.000638666196070475
3055,1,"A24",NA,"C",188.65,141.5,160.4,0,"N",0.000638666196070475
3062,1,"A24",NA,"C",259,194.25,220.15,0,"N",0.000638666196070475
3069,1,"A24",NA,"C",164.65,123.5,140,0,"N",0.000638666196070475
3074,1,"A24",NA,"C",247.15,185.4,210.1,0,"N",0.000638666196070475
3078,1,"A24",NA,"C",329.25,246.95,279.9,0,"N",0.000638666196070475
3083,1,"A24",NA,"C",118.25,88.7,100.55,0,"N",0.000638666196070475
3088,1,"A24",NA,"C",188.65,141.5,160.4,0,"N",0.000638666196070475
3093,1,"A24",NA,"C",259,194.25,220.15,0,"N",0.000638666196070475
6007,1,"A26",NA,"C",153.4,115.05,130.4,0,"N",0.000638666196070475
6009,1,"A26",NA,"C",50.95,38.25,43.35,0,"N",0.000638666196070475
6011,1,"A26",NA,"C",101.3,76,86.15,0,"N",0.000638666196070475
6013,1,"A26",NA,"C",140.35,105.3,119.3,0,"N",0.000638666196070475
6015,1,"A26",NA,"C",178.7,134.05,151.9,0,"N",0.000638666196070475
4001,1,"A27",NA,"E",89.35,0,0,89.35,"N",0.000638666196070475
141,1,"A28",NA,"C",535.95,402,455.6,0,"N",0.000638666196070475
143,1,"A28",NA,"C",335.05,251.3,284.8,0,"N",0.000638666196070475
145,1,"A28",NA,"B",649.85,0,552.4,0,"N",0.000638666196070475
147,1,"A28",NA,"B",406.2,0,345.3,0,"N",0.000638666196070475
135,1,"A29",NA,"C",312.45,234.35,265.6,0,"N",0.000638666196070475
137,1,"A29",NA,"C",312.45,234.35,265.6,0,"N",0.000638666196070475
