"series","role","basis","year","index","projected"
"business","headline","calendar_year",1994,0.540536,TRUE
"business","headline","calendar_year",1995,0.557964,FALSE
"business","headline","calendar_year",1996,0.581749,FALSE
"business","headline","calendar_year",1997,0.597854,FALSE
"business","headline","calendar_year",1998,0.627525,FALSE
"business","headline","calendar_year",1999,0.649873,FALSE
"business","headline","calendar_year",2000,0.659237,FALSE
"business","headline","calendar_year",2001,0.673141,FALSE
"business","headline","calendar_year",2002,0.679545,FALSE
"business","headline","calendar_year",2003,0.674369,FALSE
"business","headline","calendar_year",2004,0.684803,FALSE
"business","headline","calendar_year",2005,0.721088,FALSE
"business","headline","calendar_year",2006,0.778162,FALSE
"business","headline","calendar_year",2007,0.845937,FALSE
"business","headline","calendar_year",2008,0.896472,FALSE
"business","headline","calendar_year",2009,0.892933,FALSE
"business","headline","calendar_year",2010,0.897238,FALSE
"business","headline","calendar_year",2011,0.933007,FALSE
"business","headline","calendar_year",2012,0.949465,FALSE
"business","headline","calendar_year",2013,0.940914,FALSE
"business","headline","calendar_year",2014,0.922822,FALSE
"business","headline","calendar_year",2015,0.916113,FALSE
"business","headline","calendar_year",2016,0.909986,FALSE
"business","headline","calendar_year",2017,0.925012,FALSE
"business","headline","calendar_year",2018,0.951579,FALSE
"business","headline","calendar_year",2019,0.95849,FALSE
"business","headline","calendar_year",2020,0.963883,FALSE
"business","headline","calendar_year",2021,1,FALSE
"business","headline","calendar_year",2022,1.080808,FALSE
"business","headline","calendar_year",2023,1.159202,FALSE
"business","headline","calendar_year",2024,1.199533,TRUE
"business","headline","calendar_year",2025,1.229555,TRUE
"business","headline","calendar_year",2026,1.26033,TRUE
"business","headline","calendar_year",2027,1.291874,TRUE
"business","headline","calendar_year",2028,1.324208,TRUE
"business","headline","calendar_year",2029,1.357351,TRUE
"business","headline","financial_year",1994,0.540536,FALSE
"business","headline","financial_year",1995,0.575393,FALSE
"business","headline","financial_year",1996,0.588104,FALSE
"business","headline","financial_year",1997,0.607604,FALSE
"business","headline","financial_year",1998,0.647446,FALSE
"business","headline","financial_year",1999,0.652299,FALSE
"business","headline","financial_year",2000,0.666176,FALSE
"business","headline","financial_year",2001,0.680107,FALSE
"business","headline","financial_year",2002,0.678984,FALSE
"business","headline","financial_year",2003,0.669753,FALSE
"business","headline","financial_year",2004,0.699853,FALSE
"business","headline","financial_year",2005,0.742323,FALSE
"business","headline","financial_year",2006,0.814001,FALSE
"business","headline","financial_year",2007,0.877872,FALSE
"business","headline","financial_year",2008,0.915072,FALSE
"business","headline","financial_year",2009,0.870794,FALSE
"business","headline","financial_year",2010,0.923681,FALSE
"business","headline","financial_year",2011,0.942334,FALSE
"business","headline","financial_year",2012,0.956597,FALSE
"business","headline","financial_year",2013,0.925231,FALSE
"business","headline","financial_year",2014,0.920414,FALSE
"business","headline","financial_year",2015,0.911812,FALSE
"business","headline","financial_year",2016,0.908161,FALSE
"business","headline","financial_year",2017,0.941863,FALSE
"business","headline","financial_year",2018,0.961295,FALSE
"business","headline","financial_year",2019,0.955685,FALSE
"business","headline","financial_year",2020,0.972082,FALSE
"business","headline","financial_year",2021,1.027918,FALSE
"business","headline","financial_year",2022,1.133698,FALSE
"business","headline","financial_year",2023,1.184707,FALSE
"business","headline","financial_year",2024,1.214358,TRUE
"business","headline","financial_year",2025,1.244752,TRUE
"business","headline","financial_year",2026,1.275907,TRUE
"business","headline","financial_year",2027,1.307841,TRUE
"business","headline","financial_year",2028,1.340575,TRUE
"business","headline","financial_year",2029,1.374128,TRUE
"health","headline","calendar_year",1994,0.652861,TRUE
"health","headline","calendar_year",1995,0.65939,TRUE
"health","headline","calendar_year",1996,0.672578,TRUE
"health","headline","calendar_year",1997,0.686029,TRUE
"health","headline","calendar_year",1998,0.69975,TRUE
"health","headline","calendar_year",1999,0.713745,TRUE
"health","headline","calendar_year",2000,0.72802,TRUE
"health","headline","calendar_year",2001,0.74258,TRUE
"health","headline","calendar_year",2002,0.757432,TRUE
"health","headline","calendar_year",2003,0.772581,TRUE
"health","headline","calendar_year",2004,0.788032,TRUE
"health","headline","calendar_year",2005,0.803793,TRUE
"health","headline","calendar_year",2006,0.819869,TRUE
"health","headline","calendar_year",2007,0.836266,TRUE
"health","headline","calendar_year",2008,0.852991,TRUE
"health","headline","calendar_year",2009,0.870051,TRUE
"health","headline","calendar_year",2010,0.887452,TRUE
"health","headline","calendar_year",2011,0.905201,TRUE
"health","headline","calendar_year",2012,0.923305,TRUE
"health","headline","calendar_year",2013,0.941771,TRUE
"health","headline","calendar_year",2014,0.951096,TRUE
"health","headline","calendar_year",2015,0.951096,FALSE
"health","headline","calendar_year",2016,0.951096,FALSE
"health","headline","calendar_year",2017,0.951096,FALSE
"health","headline","calendar_year",2018,0.958229,FALSE
"health","headline","calendar_year",2019,0.973085,FALSE
"health","headline","calendar_year",2020,0.988164,FALSE
"health","headline","calendar_year",2021,1,FALSE
"health","headline","calendar_year",2022,1.012516,FALSE
"health","headline","calendar_year",2023,1.038921,FALSE
"health","headline","calendar_year",2024,1.075794,FALSE
"health","headline","calendar_year",2025,1.107428,FALSE
"health","headline","calendar_year",2026,1.129822,TRUE
"health","headline","calendar_year",2027,1.148501,TRUE
"health","headline","calendar_year",2028,1.167488,TRUE
"health","headline","calendar_year",2029,1.186789,TRUE
"health","headline","financial_year",1994,0.652861,TRUE
"health","headline","financial_year",1995,0.665919,TRUE
"health","headline","financial_year",1996,0.679237,TRUE
"health","headline","financial_year",1997,0.692822,TRUE
"health","headline","financial_year",1998,0.706678,TRUE
"health","headline","financial_year",1999,0.720812,TRUE
"health","headline","financial_year",2000,0.735228,TRUE
"health","headline","financial_year",2001,0.749933,TRUE
"health","headline","financial_year",2002,0.764931,TRUE
"health","headline","financial_year",2003,0.78023,TRUE
"health","headline","financial_year",2004,0.795834,TRUE
"health","headline","financial_year",2005,0.811751,TRUE
"health","headline","financial_year",2006,0.827986,TRUE
"health","headline","financial_year",2007,0.844546,TRUE
"health","headline","financial_year",2008,0.861437,TRUE
"health","headline","financial_year",2009,0.878666,TRUE
"health","headline","financial_year",2010,0.896239,TRUE
"health","headline","financial_year",2011,0.914164,TRUE
"health","headline","financial_year",2012,0.932447,TRUE
"health","headline","financial_year",2013,0.951096,TRUE
"health","headline","financial_year",2014,0.951096,FALSE
"health","headline","financial_year",2015,0.951096,FALSE
"health","headline","financial_year",2016,0.951096,FALSE
