"sa1_code","sa2_code","sa4_code","state"
"10102100701","101021007","101",1
"10102100702","101021007","101",1
"10102100703","101021007","101",1
"10102100704","101021007","101",1
"10102100705","101021007","101",1
"10102100706","101021007","101",1
"10102100707","101021007","101",1
"10102100708","101021007","101",1
"10102100709","101021007","101",1
"10102100710","101021007","101",1
"10102100801","101021008","101",1
"10102100802","101021008","101",1
"10102100803","101021008","101",1
"10102100804","101021008","101",1
"10102100805","101021008","101",1
"10102100806","101021008","101",1
"10102100807","101021008","101",1
"10102100808","101021008","101",1
"10102100809","101021008","101",1
"10102100810","101021008","101",1
"10102100811","101021008","101",1
"10102100812","101021008","101",1
"10102100813","101021008","101",1
"10102100814","101021008","101",1
"10102100815","101021008","101",1
"10102100816","101021008","101",1
"10102100817","101021008","101",1
"10102100818","101021008","101",1
"10102100819","101021008","101",1
"10102100820","101021008","101",1
"10102100821","101021008","101",1
"10102100822","101021008","101",1
"10102100823","101021008","101",1
"10102100901","101021009","101",1
"10102100902","101021009","101",1
"10102100904","101021009","101",1
"10102100905","101021009","101",1
"10102100907","101021009","101",1
"10102100908","101021009","101",1
"10102100909","101021009","101",1
"10102100910","101021009","101",1
"10102100911","101021009","101",1
"10102100912","101021009","101",1
"10102100913","101021009","101",1
"10102100914","101021009","101",1
"10102100915","101021009","101",1
"10102100916","101021009","101",1
"10102100917","101021009","101",1
"10102100918","101021009","101",1
"10102100919","101021009","101",1
"10102100920","101021009","101",1
"10102100921","101021009","101",1
"10102100923","101021009","101",1
"10102100924","101021009","101",1
"10102100925","101021009","101",1
"10102100926","101021009","101",1
"10102100927","101021009","101",1
"10102100928","101021009","101",1
"10102100929","101021009","101",1
"10102101001","101021010","101",1
"10102101002","101021010","101",1
"10102101003","101021010","101",1
"10102101004","101021010","101",1
"10102101006","101021010","101",1
"10102101007","101021010","101",1
"10102101008","101021010","101",1
"10102101009","101021010","101",1
"10102101010","101021010","101",1
"10102101011","101021010","101",1
"10102101012","101021010","101",1
"10102101013","101021010","101",1
"10102101014","101021010","101",1
"10102101015","101021010","101",1
"10102101016","101021010","101",1
"10102101017","101021010","101",1
"10102101201","101021012","101",1
"10102101202","101021012","101",1
"10102101203","101021012","101",1
"10102101204","101021012","101",1
"10102101205","101021012","101",1
"10102101206","101021012","101",1
"10102101207","101021012","101",1
"10102101208","101021012","101",1
"10102101209","101021012","101",1
"10102101210","101021012","101",1
"10102101211","101021012","101",1
"10102101212","101021012","101",1
"10102101213","101021012","101",1
"10102101214","101021012","101",1
"10102101215","101021012","101",1
"10102101216","101021012","101",1
"10102101217","101021012","101",1
"10102101218","101021012","101",1
"10102101219","101021012","101",1
"10102101220","101021012","101",1
"10102101221","101021012","101",1
"10102101222","101021012","101",1
"10102101223","101021012","101",1
"10102101224","101021012","101",1
"10102101225","101021012","101",1
"10102101226","101021012","101",1
"10102101227","101021012","101",1
"10102101228","101021012","101",1
"10102101229","101021012","101",1
"10102101230","101021012","101",1
"10102101231","101021012","101",1
"10102101232","101021012","101",1
"10102161001","101021610","101",1
"10102161002","101021610","101",1
"10102161003","101021610","101",1
"10102161004","101021610","101",1
"10102161005","101021610","101",1
"10102161006","101021610","101",1
"10102161007","101021610","101",1
"10102161008","101021610","101",1
"10102161009","101021610","101",1
"10102161010","101021610","101",1
"10102161011","101021610","101",1
"10102161012","101021610","101",1
"10102161013","101021610","101",1
"10102161014","101021610","101",1
"10102161015","101021610","101",1
"10102161101","101021611","101",1
"10102161102","101021611","101",1
"10102161103","101021611","101",1
"10102161104","101021611","101",1
"10102161105","101021611","101",1
"10102161106","101021611","101",1
"10102161107","101021611","101",1
