"dataset","variable","original_gap_occurrence_count","workbook_mapping_occurrence_count","workbook_supported_occurrence_count","workbook_unsupported_occurrence_count","existing_resolved_gap_occurrence_count","new_public_resolved_gap_occurrence_count","remaining_unresolved_gap_occurrence_count","determination","decision_basis","exact_rationale","evidence_url"
"ACLD","ADCP_21",2,2,2,0,2,0,0,"resolved","official_acld_workbook_codeframe","The official ACLD detailed-microdata workbook enumerates the domain, and the existing ACLD codeframe generator uses that domain.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202011_16_21%20detailed%20microdata.xlsx | https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202016_21%20detailed%20microdata.xlsx"
"ACLD","ANC1P_11",1,1,0,1,0,1,0,"resolved","public_census_classification","The ACLD workbook points to a public Census classification. The generator uses the checked-in official Census or classification domain and derives a coherent code from the linked spine state.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/census-population-and-housing/data%20item%20list%20-%205%20percent%20detailed%20microdata.xls"
"ACLD","ANC1P_16",2,2,0,2,0,2,0,"resolved","public_census_classification","The ACLD workbook points to a public Census classification. The generator uses the checked-in official Census or classification domain and derives a coherent code from the linked spine state.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/census-population-and-housing/data%20item%20list%20-%205%20percent%20detailed%20microdata.xls"
"ACLD","ANC1P_21",2,2,0,2,0,2,0,"resolved","public_census_classification","The ACLD workbook points to a public Census classification. The generator uses the checked-in official Census or classification domain and derives a coherent code from the linked spine state.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/cultural-diversity/ancestry-1st-response-anc1p"
"ACLD","ANC1P_FP_11",1,1,0,1,0,1,0,"resolved","public_census_classification","The ACLD workbook points to a public Census classification. The generator uses the checked-in official Census or classification domain and derives a coherent code from the linked spine state.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/census-population-and-housing/data%20item%20list%20-%205%20percent%20detailed%20microdata.xls"
"ACLD","ANC1P_FP_16",2,2,0,2,0,2,0,"resolved","public_census_classification","The ACLD workbook points to a public Census classification. The generator uses the checked-in official Census or classification domain and derives a coherent code from the linked spine state.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/census-population-and-housing/data%20item%20list%20-%205%20percent%20detailed%20microdata.xls"
"ACLD","ANC1P_FP_21",2,2,0,2,0,2,0,"resolved","public_census_classification","The ACLD workbook points to a public Census classification. The generator uses the checked-in official Census or classification domain and derives a coherent code from the linked spine state.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/cultural-diversity/ancestry-1st-response-anc1p"
"ACLD","ANC1P_MP_11",1,1,0,1,0,1,0,"resolved","public_census_classification","The ACLD workbook points to a public Census classification. The generator uses the checked-in official Census or classification domain and derives a coherent code from the linked spine state.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/census-population-and-housing/data%20item%20list%20-%205%20percent%20detailed%20microdata.xls"
"ACLD","ANC1P_MP_16",2,2,0,2,0,2,0,"resolved","public_census_classification","The ACLD workbook points to a public Census classification. The generator uses the checked-in official Census or classification domain and derives a coherent code from the linked spine state.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/census-population-and-housing/data%20item%20list%20-%205%20percent%20detailed%20microdata.xls"
"ACLD","ANC1P_MP_21",2,2,0,2,0,2,0,"resolved","public_census_classification","The ACLD workbook points to a public Census classification. The generator uses the checked-in official Census or classification domain and derives a coherent code from the linked spine state.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/cultural-diversity/ancestry-1st-response-anc1p"
"ACLD","ANC1P_SP_11",1,1,0,1,0,1,0,"resolved","public_census_classification","The ACLD workbook points to a public Census classification. The generator uses the checked-in official Census or classification domain and derives a coherent code from the linked spine state.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/census-population-and-housing/data%20item%20list%20-%205%20percent%20detailed%20microdata.xls"
"ACLD","ANC1P_SP_16",2,2,0,2,0,2,0,"resolved","public_census_classification","The ACLD workbook points to a public Census classification. The generator uses the checked-in official Census or classification domain and derives a coherent code from the linked spine state.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/census-population-and-housing/data%20item%20list%20-%205%20percent%20detailed%20microdata.xls"
"ACLD","ANC1P_SP_21",2,2,0,2,0,2,0,"resolved","public_census_classification","The ACLD workbook points to a public Census classification. The generator uses the checked-in official Census or classification domain and derives a coherent code from the linked spine state.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/cultural-diversity/ancestry-1st-response-anc1p"
"ACLD","ANC2P_11",1,1,0,1,0,1,0,"resolved","public_census_classification","The ACLD workbook points to a public Census classification. The generator uses the checked-in official Census or classification domain and derives a coherent code from the linked spine state.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/census-population-and-housing/data%20item%20list%20-%205%20percent%20detailed%20microdata.xls"
