"asset","dataset","variable","occurrence_count","product_count","table_count","type","official_descriptions","official_valid_responses","example_product","example_table","example_logical_output","existing_generator_exact_match","existing_generator_match_count","existing_generator_tables","existing_generator_types","existing_generator_crosswalk_statuses","existing_generator_candidate_variables","existing_generator_candidate_products","existing_generator_basis","existing_generator_notes","evidence_exact_match","evidence_file","evidence_status","evidence_source_url","evidence_source_summary","evidence_generated_assessment","evidence_required_next_action","source_coverage","initial_action","value_semantics","target_value_rule"
"PLIDA","A&T","ALL_INDUSTRIES",1,1,1,"character","ALL_INDUSTRIES",,"plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","APPLICATIONSTATUSCODE",1,1,1,"character","The STA decision to approve or reject the Training Contract.",,"plidage-apprentice","trainingcontract","plidage-apprentice--trainingcontract",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","categorical_codeframe","Use the official vintage-specific codeframe. Preserve structural and item non-response as missing."
"PLIDA","A&T","APPRENTICEAPPRENTICESHIPNUMBER",1,1,1,"character","APPRENTICEAPPRENTICESHIPNUMBER",,"plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","APPRENTICEEARLIEST",1,1,1,"character","APPRENTICEEARLIEST",,"plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","date_or_timestamp","Generate an event date within the official reference period. Enforce the relevant chronological order."
"PLIDA","A&T","APPRENTICELATEST",1,1,1,"character","APPRENTICELATEST",,"plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","date_or_timestamp","Generate an event date within the official reference period. Enforce the relevant chronological order."
"PLIDA","A&T","APPRENTICESHIPEARLIEST",1,1,1,"character","APPRENTICESHIPEARLIEST",,"plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","date_or_timestamp","Generate an event date within the official reference period. Enforce the relevant chronological order."
"PLIDA","A&T","APPRENTICESHIPLATEST",1,1,1,"character","APPRENTICESHIPLATEST",,"plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","date_or_timestamp","Generate an event date within the official reference period. Enforce the relevant chronological order."
"PLIDA","A&T","APPRENTICESHIPTRNGCONTRANO",1,1,1,"character","APPRENTICESHIPTRNGCONTRANO",,"plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","APPRENTICESHIPTYPE",1,1,1,"character","Australian Apprenticeship type according to STA.",,"plidage-apprentice","trainingcontract","plidage-apprentice--trainingcontract",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","categorical_codeframe","Use the official vintage-specific codeframe. Preserve structural and item non-response as missing."
"PLIDA","A&T","APPRENTICESHPEMPLRELATSHIP",1,1,1,"character","APPRENTICESHPEMPLRELATSHIP",,"plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","APPRENTICETRNGCONTRANO",1,1,1,"character","APPRENTICETRNGCONTRANO",,"plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","ARTS_AND_ENTERTAINMENT",1,1,1,"character","ARTS_AND_ENTERTAINMENT",,"plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","ATSCHOOLLEVELCODE",1,1,1,"character","At School level code identifies the level of schooling in which the person is enrolled when they started the apprenticeship.",,"plidage-apprentice","trainingcontract","plidage-apprentice--trainingcontract",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","categorical_codeframe","Use the official vintage-specific codeframe. Preserve structural and item non-response as missing."
