"table","variable","type","observed_generated_domain_or_distribution","observed_small_domain_values","plida_metadata_description","evidence_status","official_source_url","official_code_or_source_summary","current_generated_assessment","required_next_action"
"dwelling","BEDRD","character","3=394; 4=271; 2=194; 5=80; 1=33; 6=19; &=5; 0=4","3; 4; 2; 5; 1; 6; &; 0","Number of Bedrooms in Private Dwelling (ranges) | Number of bedrooms in private dwelling (ranges)","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/housing/number-bedrooms-private-dwelling-ranges-bedrd","0 none; 1-5 bedroom counts; 6 six bedrooms or more; & not stated; @ not applicable.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"dwelling","DWELLING_ID","character","D0000000001=1; D0000000002=1; D0000000003=1; D0000000004=1; D0000000005=1; D0000000006=1; D0000000007=1; D0000000008=1; D0000000009=1; D0000000010=1; D0000000011=1; D0000000012=1","D0000000001; D0000000002; D0000000003; D0000000004; D0000000005; D0000000006; D0000000007; D0000000008; D0000000009; D0000000010; D0000000011; D0000000012; D0000000013; D0000000014; D0000000015; D0000000016; D0000000017; D0000000018; D0000000019; D0000000020; D0000000021; D0000000022; D0000000023; D0000000024; D0000000025; D0000000026; D0000000027; D0000000028; D0000000029; D0000000030","Dwelling ID | Dwelling id variable","local_identifier_not_abs_dictionary","","Synthetic package dwelling link identifier, not an ABS Census Dictionary category.","Keep as package linkage key; do not describe as ABS code domain.","Document as local identifier only."
"dwelling","MRED","character","@@@@=646; &&&&=17; 1264=3; 1508=3; 1200=2; 1225=2; 1294=2; 1297=2; 1303=2; 1335=2; 1350=2; 1372=2","@@@@; &&&&; 1264; 1508; 1200; 1225; 1294; 1297; 1303; 1335; 1350; 1372; 1444; 1469; 1486; 1487; 1494; 1513; 1586; 1599; 1607; 1641; 1683; 1686; 1888; 1892; 1894; 1896; 1914; 1962","Mortgage Repayments (monthly) Dollar Values | Mortgage repayments (monthly) dollar values","official_abs_dictionary_dollar_code_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/housing/mortgage-repayments-monthly-dollar-values-mred","Monthly mortgage repayment dollar-value codes 0000-9999 plus &&&& not stated and @@@@ not applicable.","Generated values are within official dollar-code width/range in tests, but amounts/distribution are synthetic.","Keep as character code; validate range and supplementary codes; do not use generated distribution as source distribution."
"dwelling","NPRD","character","2=320; 1=269; 3=164; 4=143; 5=74; 6=18; 7=6; 8=6","2; 1; 3; 4; 5; 6; 7; 8","Number of Persons Usually Resident in Dwelling | Number of persons usually resident in dwelling","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/household-and-families/number-persons-usually-resident-dwelling-nprd","1 one person through 7 seven persons; 8 eight or more persons; @ not applicable.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"dwelling","RNTD","character","@@@@=699; &&&&=17; 0489=5; 0236=4; 0297=4; 0343=4; 0368=4; 0373=4; 0238=3; 0272=3; 0307=3; 0329=3","@@@@; &&&&; 0489; 0236; 0297; 0343; 0368; 0373; 0238; 0272; 0307; 0329; 0360; 0511; 0539; 0604; 0237; 0239; 0240; 0244; 0255; 0256; 0257; 0259; 0266; 0269; 0274; 0278; 0279; 0284","Rent (weekly) Dollar Values | Rent (weekly) dollar values","official_abs_dictionary_dollar_code_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/housing/rent-weekly-dollar-values-rntd","Weekly rent dollar-value codes 0001-9999 plus &&&& not stated and @@@@ not applicable.","Generated values are within official dollar-code width/range in tests, but amounts/distribution are synthetic.","Keep as character code; validate range and supplementary codes; do not use generated distribution as source distribution."
"dwelling","STEUCD","integer","1 / 1 / 2 / 3 / 8","1; 2; 3; 4; 5; 6; 7; 8","State of Dwelling on Census Night | State (en)","local_plida_or_asgs_not_public_dictionary_page","","Local PLIDA state of dwelling/enumeration geography field; verify against DIL and ASGS conventions.","Keep as local PLIDA/DIL or ASGS field until exact DIL/ASGS source is attached.","Attach PLIDA DIL/ASGS source before using as official geography/demographic code."
"dwelling","STRD","character","11=715; 21=91; 31=54; 22=44; 32=31; 34=23; 33=17; 35=17; 91=3; 92=2; 94=2; 93=1","11; 21; 31; 22; 32; 34; 33; 35; 91; 92; 94; 93","Dwelling Structure | Dwelling structure","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/housing/dwelling-structure-strd","11 separate house; 21-22 semi-detached/row/terrace/townhouse; 31-35 flat/apartment categories; 91-94 other dwelling categories; &&, @@ supplementary codes.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"dwelling","TEND","character","2=337; 1=331; 4=284; &=17; 7=11; 5=10; 3=5; 6=5","2; 1; 4; &; 7; 5; 3; 6","Tenure Type | Tenure type","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/housing/tenure-type-tend","1 owned outright; 2 owned with mortgage; 3 shared equity; 4 rented; 5 occupied rent free; 6 life tenure; 7 other; & not stated; @ not applicable.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"dwelling","VEHRD","character","2=356; 1=353; 3=153; 0=74; 4=49; &=15","2; 1; 3; 0; 4; &","Number of Motor Vehicles (ranges) | Number of motor vehicles (ranges)","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/transport/number-motor-vehicles-ranges-vehrd","0 no motor vehicles; 1 one; 2 two; 3 three; 4 four or more; & not stated; @ not applicable.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"family","CDCF","character","@@=269; 01=115; 02=113; 03=42; 08=41; 09=35; 04=19; 10=18; 11=6","@@; 01; 02; 03; 08; 09; 04; 10; 11","Count of Dependent Children in Family | Count of dependent children in family","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/household-and-families/count-dependent-children-family-cdcf","Count of dependent children in family; local tests allow 00-13 plus @@.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"family","CPRF","character","2=302; 3=152; 4=137; 5=48; 6=19","2; 3; 4; 5; 6","Count of Persons in Family | Count of persons in family","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/household-and-families/count-persons-family-cprf","Count of persons in family; local tests allow 2-6 plus @.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
