"dataset","table","variable","type","observed_generated_domain_or_distribution","observed_small_domain_values","plida_or_crosswalk_variable","plida_or_crosswalk_description","crosswalk_status","evidence_status","source_url","source_summary","current_generated_assessment","required_next_action"
"DEX","DEX","ASSISTANCE_TYPE","character","Employment=78; Training=68; Material Wellbeing=27; Family Relationships=24; Mental Health=21; Housing=19; Health=14; Education=12","Employment; Training; Material Wellbeing; Family Relationships; Mental Health; Housing; Health; Education","PRIMARYASSISTANCENEEDEDKEY","A given client's main reason for applying for a service, represented by a key.","manual_same_dataset_plida_concept_match","dex_protocol_or_metadata_concept_generated_labels_unverified","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DEX protocols and local PLIDA metadata support the broad field concept. This pass did not prove that the generated compact labels/codes are the official DEX field values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DEX","DEX","ATSI_CODE","character","N=254; Y=9","N; Y","ATSICODE","Whether a client identifies as being of Aboriginal or Torres Strait Islander origin as represented by a code.","manual_same_dataset_plida_concept_match","dex_protocol_or_metadata_concept_generated_labels_unverified","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DEX protocols and local PLIDA metadata support the broad field concept. This pass did not prove that the generated compact labels/codes are the official DEX field values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DEX","DEX","BIRTH_MONTH","integer","1 / 4 / 7 / 9 / 12","1; 10; 11; 12; 2; 3; 4; 5; 6; 7; 8; 9","BIRTHMONTH","The client's month of birth","manual_same_dataset_plida_concept_match","dex_protocol_context_generated_domain_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS Data Exchange policy/protocols support DEX service, client, SCORE, extended-data, and exit-reason concepts. The exact generated labels remain local unless separately matched to a protocol field-value table.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep this row under source-backed regression tests and retain the cited source."
"DEX","DEX","BIRTH_YEAR","integer","1955 / 1964 / 1984 / 1997 / 2004","","BIRTHYEAR","The client's year of birth","manual_same_dataset_plida_concept_match","dex_protocol_context_generated_domain_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS Data Exchange policy/protocols support DEX service, client, SCORE, extended-data, and exit-reason concepts. The exact generated labels remain local unless separately matched to a protocol field-value table.","Observed quantiles/ranges are synthetic generated-output evidence, not an official distribution.","Keep this row under source-backed regression tests and retain the cited source."
"DEX","DEX","COUNTRY_OF_BIRTH","integer","0 / 0 / 0 / 1 / 1","0; 1","BIRTHCOUNTRYCODE","The country where a given client was born, represented by a code.","manual_same_dataset_plida_concept_match","dex_protocol_or_metadata_concept_generated_labels_unverified","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DEX protocols and local PLIDA metadata support the broad field concept. This pass did not prove that the generated compact labels/codes are the official DEX field values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DEX","DEX","EDUCATION_LEVEL","character","Bachelor degree=81; Year 12=69; Year 11=67; Year 10 or below=24; Certificate/Diploma=22","Bachelor degree; Year 12; Year 11; Year 10 or below; Certificate/Diploma","EDUCATIONLEVELCODE","The highest level of education or qualification achieved by a given client, represented by a label.","manual_same_dataset_plida_concept_match","dex_protocol_or_metadata_concept_generated_labels_unverified","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DEX protocols and local PLIDA metadata support the broad field concept. This pass did not prove that the generated compact labels/codes are the official DEX field values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DEX","DEX","EMPLOYMENT_STATUS","character","Unemployed=215; Employed=48","Unemployed; Employed","EMPLOYMENTSTATUSCODE","The employment status of a given client, whether employed or another role, represented by a label.","manual_same_dataset_plida_concept_match","dex_protocol_or_metadata_concept_generated_labels_unverified","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DEX protocols and local PLIDA metadata support the broad field concept. This pass did not prove that the generated compact labels/codes are the official DEX field values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DEX","DEX","EXIT_REASON","character","Employment Obtained=87; Completed Program=74; No Longer Eligible=57; Voluntary Withdrawal=45","Employment Obtained; Completed Program; No Longer Eligible; Voluntary Withdrawal","EXITREASONCODE","This data provides information about the circumstances surrounding the ending of a client’s relationship with a case. This contributes to a general understanding of the patterns of client interaction with a program and gives indications as to reason a client might disengage with a service.","manual_same_dataset_plida_concept_match","official_dex_exit_reason_concept_generated_labels_not_source_equivalent","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DEX protocols list official client-exit-reason categories, but the generated labels do not match the protocol wording exactly. Treat this as concept-only, not source-equivalent.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DEX","DEX","GENDER_CODE","character","F=140; M=123","F; M","GENDERCODE","The identification of a client as male female and other genders which are a combination of male and female or neither male nor femaleas represented by a code.","manual_same_dataset_plida_concept_match","dex_protocol_or_metadata_concept_generated_labels_unverified","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DEX protocols and local PLIDA metadata support the broad field concept. This pass did not prove that the generated compact labels/codes are the official DEX field values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DEX","DEX","SCORE_POST","integer","1 / 2 / 3 / 4 / 5","1; 2; 3; 4; 5","OUTCOMEDOMAINSCORE","An outcome domain rating recorded for a given client outcome assessment, represented by a score 1-5.","manual_same_dataset_plida_concept_match","official_dex_score_range_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DEX policy/protocols support SCORE outcomes; local PLIDA metadata describes outcome-domain score as 1-5. The generated pre/post distribution and monotonic rule are synthetic local behaviour.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
