"dataset","table","variable","type","observed_generated_domain_or_distribution","observed_small_domain_values","plida_or_crosswalk_variable","plida_or_crosswalk_description","crosswalk_status","evidence_status","source_url","source_summary","current_generated_assessment","required_next_action"
"AEDC","AEDC","AGEINMONTHS","integer","48 / 55 / 66 / 75 / 83","","AGEINMONTHS","Age in months","direct_plida_dataset_variable","official_aedc_dictionary_variable_generated_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.education.gov.au/higher-education-statistics/student-data | https://www.tcsisupport.gov.au/element/330 | https://www.tcsisupport.gov.au/element/329/7.00 | https://www.education.gov.au/early-childhood/about/data-and-reports/australian-early-development-census | https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The AEDC 2025 Data Dictionary is the official variable reference and covers variable descriptions, data collection, domain-score calculation and vulnerability measures. Generated scores/frequencies are local unless mapped to cycle-specific scoring tables.","Observed quantiles/ranges are synthetic generated-output evidence, not an official distribution.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"AEDC","AEDC","ATSI","character","No=152; Yes=5","No; Yes","ATSI","Indigenous status (1 representing indigenous null signifying non-indigenous/non-identifying) | Is the child of aboriginal or torres strait islander descent","direct_plida_dataset_variable","official_aedc_dictionary_variable_generated_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.education.gov.au/higher-education-statistics/student-data | https://www.tcsisupport.gov.au/element/330 | https://www.tcsisupport.gov.au/element/329/7.00 | https://www.education.gov.au/early-childhood/about/data-and-reports/australian-early-development-census | https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The AEDC 2025 Data Dictionary is the official variable reference and covers variable descriptions, data collection, domain-score calculation and vulnerability measures. Generated scores/frequencies are local unless mapped to cycle-specific scoring tables.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"AEDC","AEDC","COMGEN","numeric","1.62 / 5.25 / 6.54 / 8.05 / 10.00","","COMGEN","Communication and general knowledge | Communication skills and general knowledge domain score","direct_plida_dataset_variable","official_aedc_dictionary_variable_generated_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.education.gov.au/higher-education-statistics/student-data | https://www.tcsisupport.gov.au/element/330 | https://www.tcsisupport.gov.au/element/329/7.00 | https://www.education.gov.au/early-childhood/about/data-and-reports/australian-early-development-census | https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The AEDC 2025 Data Dictionary is the official variable reference and covers variable descriptions, data collection, domain-score calculation and vulnerability measures. Generated scores/frequencies are local unless mapped to cycle-specific scoring tables.","Observed quantiles/ranges are synthetic generated-output evidence, not an official distribution.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"AEDC","AEDC","COMGENCATEGORY","character","On track=93; At risk=38; Vulnerable=26","On track; At risk; Vulnerable","COMGENCATEGORY","Vulnerable - communication | Percentile distribution of scores in the communication skills and general knowledge domain","direct_plida_dataset_variable","official_aedc_vulnerability_concept_generated_cutoffs_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.education.gov.au/higher-education-statistics/student-data | https://www.tcsisupport.gov.au/element/330 | https://www.tcsisupport.gov.au/element/329/7.00 | https://www.education.gov.au/early-childhood/about/data-and-reports/australian-early-development-census | https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The AEDC dictionary covers domain-score calculation and vulnerability measures, but this register did not verify the generator's 4.5/6.0 cutoffs against official cycle-specific scoring rules.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"AEDC","AEDC","CYCLE","integer","2021 / 2021 / 2021 / 2021 / 2021","2021","CYCLE","AEDC cycle | Aedc collection cycle","direct_plida_dataset_variable","official_aedc_dictionary_variable_generated_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.education.gov.au/higher-education-statistics/student-data | https://www.tcsisupport.gov.au/element/330 | https://www.tcsisupport.gov.au/element/329/7.00 | https://www.education.gov.au/early-childhood/about/data-and-reports/australian-early-development-census | https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The AEDC 2025 Data Dictionary is the official variable reference and covers variable descriptions, data collection, domain-score calculation and vulnerability measures. Generated scores/frequencies are local unless mapped to cycle-specific scoring tables.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"AEDC","AEDC","DV1","integer","0 / 0 / 0 / 1 / 1","0; 1","DV1","Vulnerable - one or more domains | Child is developmentally vulnerable on one or more domains","direct_plida_dataset_variable","official_aedc_vulnerability_concept_generated_cutoffs_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.education.gov.au/higher-education-statistics/student-data | https://www.tcsisupport.gov.au/element/330 | https://www.tcsisupport.gov.au/element/329/7.00 | https://www.education.gov.au/early-childhood/about/data-and-reports/australian-early-development-census | https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The AEDC dictionary covers domain-score calculation and vulnerability measures, but this register did not verify the generator's 4.5/6.0 cutoffs against official cycle-specific scoring rules.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"AEDC","AEDC","DV2","integer","0 / 0 / 0 / 0 / 1","0; 1","DV2","Vulnerable - two or more domains | Child is developmentally vulnerable on two or more domains","direct_plida_dataset_variable","official_aedc_vulnerability_concept_generated_cutoffs_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.education.gov.au/higher-education-statistics/student-data | https://www.tcsisupport.gov.au/element/330 | https://www.tcsisupport.gov.au/element/329/7.00 | https://www.education.gov.au/early-childhood/about/data-and-reports/australian-early-development-census | https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The AEDC dictionary covers domain-score calculation and vulnerability measures, but this register did not verify the generator's 4.5/6.0 cutoffs against official cycle-specific scoring rules.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"AEDC","AEDC","EMOT","numeric","1.44 / 5.75 / 6.79 / 7.85 / 10.00","","EMOT","Emotional maturity | Emotional maturity domain score","direct_plida_dataset_variable","official_aedc_dictionary_variable_generated_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.education.gov.au/higher-education-statistics/student-data | https://www.tcsisupport.gov.au/element/330 | https://www.tcsisupport.gov.au/element/329/7.00 | https://www.education.gov.au/early-childhood/about/data-and-reports/australian-early-development-census | https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The AEDC 2025 Data Dictionary is the official variable reference and covers variable descriptions, data collection, domain-score calculation and vulnerability measures. Generated scores/frequencies are local unless mapped to cycle-specific scoring tables.","Observed quantiles/ranges are synthetic generated-output evidence, not an official distribution.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"AEDC","AEDC","EMOTCATEGORY","character","On track=110; At risk=30; Vulnerable=17","On track; At risk; Vulnerable","EMOTCATEGORY","Vulnerable - emotional maturity | Percentile distribution of scores in the emotional maturity domain","direct_plida_dataset_variable","official_aedc_vulnerability_concept_generated_cutoffs_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.education.gov.au/higher-education-statistics/student-data | https://www.tcsisupport.gov.au/element/330 | https://www.tcsisupport.gov.au/element/329/7.00 | https://www.education.gov.au/early-childhood/about/data-and-reports/australian-early-development-census | https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The AEDC dictionary covers domain-score calculation and vulnerability measures, but this register did not verify the generator's 4.5/6.0 cutoffs against official cycle-specific scoring rules.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"AEDC","AEDC","GENDER","character","Male=79; Female=78","Male; Female","GENDER","Sex of child | Gender of the child","direct_plida_dataset_variable","official_aedc_dictionary_variable_generated_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.education.gov.au/higher-education-statistics/student-data | https://www.tcsisupport.gov.au/element/330 | https://www.tcsisupport.gov.au/element/329/7.00 | https://www.education.gov.au/early-childhood/about/data-and-reports/australian-early-development-census | https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The AEDC 2025 Data Dictionary is the official variable reference and covers variable descriptions, data collection, domain-score calculation and vulnerability measures. Generated scores/frequencies are local unless mapped to cycle-specific scoring tables.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"AEDC","AEDC","LANGCOG","numeric","1.81 / 5.89 / 7.27 / 8.96 / 10.00","","LANGCOG","Language and cognitive skills | Language and cognitive skills (school-based) domain score","direct_plida_dataset_variable","official_aedc_dictionary_variable_generated_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.education.gov.au/higher-education-statistics/student-data | https://www.tcsisupport.gov.au/element/330 | https://www.tcsisupport.gov.au/element/329/7.00 | https://www.education.gov.au/early-childhood/about/data-and-reports/australian-early-development-census | https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The AEDC 2025 Data Dictionary is the official variable reference and covers variable descriptions, data collection, domain-score calculation and vulnerability measures. Generated scores/frequencies are local unless mapped to cycle-specific scoring tables.","Observed quantiles/ranges are synthetic generated-output evidence, not an official distribution.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"AEDC","AEDC","LANGCOGCATEGORY","character","On track=114; At risk=25; Vulnerable=18","On track; At risk; Vulnerable","LANGCOGCATEGORY","Vulnerable - language and cognition | Percentile distribution of scores in the language and cognitive skills (school-based) domain","direct_plida_dataset_variable","official_aedc_vulnerability_concept_generated_cutoffs_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.education.gov.au/higher-education-statistics/student-data | https://www.tcsisupport.gov.au/element/330 | https://www.tcsisupport.gov.au/element/329/7.00 | https://www.education.gov.au/early-childhood/about/data-and-reports/australian-early-development-census | https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The AEDC dictionary covers domain-score calculation and vulnerability measures, but this register did not verify the generator's 4.5/6.0 cutoffs against official cycle-specific scoring rules.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"AEDC","AEDC","LBOTE","character","No=86; Yes=71","No; Yes","LBOTE","LBOTE indicator | Indicates if the child has a language background other than english (lbote)","direct_plida_dataset_variable","official_aedc_dictionary_variable_generated_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.education.gov.au/higher-education-statistics/student-data | https://www.tcsisupport.gov.au/element/330 | https://www.tcsisupport.gov.au/element/329/7.00 | https://www.education.gov.au/early-childhood/about/data-and-reports/australian-early-development-census | https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The AEDC 2025 Data Dictionary is the official variable reference and covers variable descriptions, data collection, domain-score calculation and vulnerability measures. Generated scores/frequencies are local unless mapped to cycle-specific scoring tables.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"AEDC","AEDC","PHYS","numeric","1.81 / 5.47 / 6.89 / 8.33 / 10.00","","PHYS","Physical health and wellbeing | Physical health and wellbeing domain score","direct_plida_dataset_variable","official_aedc_dictionary_variable_generated_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.education.gov.au/higher-education-statistics/student-data | https://www.tcsisupport.gov.au/element/330 | https://www.tcsisupport.gov.au/element/329/7.00 | https://www.education.gov.au/early-childhood/about/data-and-reports/australian-early-development-census | https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The AEDC 2025 Data Dictionary is the official variable reference and covers variable descriptions, data collection, domain-score calculation and vulnerability measures. Generated scores/frequencies are local unless mapped to cycle-specific scoring tables.","Observed quantiles/ranges are synthetic generated-output evidence, not an official distribution.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"AEDC","AEDC","PHYSCATEGORY","character","On track=102; At risk=32; Vulnerable=23","On track; At risk; Vulnerable","PHYSCATEGORY","Vulnerable - physical health and wellbeing | Percentile distribution of scores in the physical health and wellbeing domain","direct_plida_dataset_variable","official_aedc_vulnerability_concept_generated_cutoffs_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.education.gov.au/higher-education-statistics/student-data | https://www.tcsisupport.gov.au/element/330 | https://www.tcsisupport.gov.au/element/329/7.00 | https://www.education.gov.au/early-childhood/about/data-and-reports/australian-early-development-census | https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The AEDC dictionary covers domain-score calculation and vulnerability measures, but this register did not verify the generator's 4.5/6.0 cutoffs against official cycle-specific scoring rules.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"AEDC","AEDC","REMOTENESS","integer","1 / 1 / 1 / 2 / 5","1; 2; 3; 4; 5","REMOTENESS","Remoteness area | Remoteness area name: based on ra_name_2021","direct_plida_dataset_variable","official_aedc_dictionary_variable_generated_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.education.gov.au/higher-education-statistics/student-data | https://www.tcsisupport.gov.au/element/330 | https://www.tcsisupport.gov.au/element/329/7.00 | https://www.education.gov.au/early-childhood/about/data-and-reports/australian-early-development-census | https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The AEDC 2025 Data Dictionary is the official variable reference and covers variable descriptions, data collection, domain-score calculation and vulnerability measures. Generated scores/frequencies are local unless mapped to cycle-specific scoring tables.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"AEDC","AEDC","SCHOOLTYPE","character","Government=104; Catholic=31; Independent=22","Government; Catholic; Independent","SCHOOLTYPE","School type | The governance type of the school participating in the aedc survey","direct_plida_dataset_variable","official_aedc_dictionary_variable_generated_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.education.gov.au/higher-education-statistics/student-data | https://www.tcsisupport.gov.au/element/330 | https://www.tcsisupport.gov.au/element/329/7.00 | https://www.education.gov.au/early-childhood/about/data-and-reports/australian-early-development-census | https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The AEDC 2025 Data Dictionary is the official variable reference and covers variable descriptions, data collection, domain-score calculation and vulnerability measures. Generated scores/frequencies are local unless mapped to cycle-specific scoring tables.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"AEDC","AEDC","SEIFADECILE","integer","1 / 4 / 6 / 8 / 10","1; 10; 2; 3; 4; 5; 6; 7; 8; 9","SEIFADECILE","Seifa - irsd decile within australia","direct_plida_dataset_variable","official_aedc_dictionary_variable_generated_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.education.gov.au/higher-education-statistics/student-data | https://www.tcsisupport.gov.au/element/330 | https://www.tcsisupport.gov.au/element/329/7.00 | https://www.education.gov.au/early-childhood/about/data-and-reports/australian-early-development-census | https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The AEDC 2025 Data Dictionary is the official variable reference and covers variable descriptions, data collection, domain-score calculation and vulnerability measures. Generated scores/frequencies are local unless mapped to cycle-specific scoring tables.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
