"dataset","table","variable","type","observed_generated_domain_or_distribution","observed_small_domain_values","plida_or_crosswalk_variable","plida_or_crosswalk_description","crosswalk_status","evidence_status","source_url","source_summary","current_generated_assessment","required_next_action"
"AMEP","AMEP","ASLPR_LISTENING_INITIAL","integer","0 / 0 / 1 / 2 / 2","0; 1; 2","INITIAL_ASLPR_LISTEN","Initial ASLPR assessment listening","manual_same_dataset_plida_concept_match","amep_public_profile_context_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://immi.homeaffairs.gov.au/settling-in-australia/settlement-reports | https://immi.homeaffairs.gov.au/settling-in-australia/settlement-reports/settlement-reporting-caveats | https://immi.homeaffairs.gov.au/settlement-services-subsite/files/settlement-database-data-dictionary.pdf | https://immi.homeaffairs.gov.au/amep-subsite/Files/paper-a-profile-amep-clients.pdf","The AMEP profile paper supports AMEP client, tuition-hours, enrolment-period, and English-proficiency context. It does not provide a variable-level ASLPR score codebook or source distribution for the generated compact fields.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"AMEP","AMEP","ASLPR_LISTENING_LATEST","integer","0 / 1 / 2 / 3 / 4","0; 1; 2; 3; 4","LATEST_ASLPR_LISTEN","Latest ASLPR assessment listening","manual_same_dataset_plida_concept_match","amep_public_profile_context_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://immi.homeaffairs.gov.au/settling-in-australia/settlement-reports | https://immi.homeaffairs.gov.au/settling-in-australia/settlement-reports/settlement-reporting-caveats | https://immi.homeaffairs.gov.au/settlement-services-subsite/files/settlement-database-data-dictionary.pdf | https://immi.homeaffairs.gov.au/amep-subsite/Files/paper-a-profile-amep-clients.pdf","The AMEP profile paper supports AMEP client, tuition-hours, enrolment-period, and English-proficiency context. It does not provide a variable-level ASLPR score codebook or source distribution for the generated compact fields.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"AMEP","AMEP","ASLPR_READING_INITIAL","integer","0 / 0 / 1 / 2 / 2","0; 1; 2","INITIAL_ASLPR_READ","Initial ASLPR assessment reading","manual_same_dataset_plida_concept_match","amep_public_profile_context_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://immi.homeaffairs.gov.au/settling-in-australia/settlement-reports | https://immi.homeaffairs.gov.au/settling-in-australia/settlement-reports/settlement-reporting-caveats | https://immi.homeaffairs.gov.au/settlement-services-subsite/files/settlement-database-data-dictionary.pdf | https://immi.homeaffairs.gov.au/amep-subsite/Files/paper-a-profile-amep-clients.pdf","The AMEP profile paper supports AMEP client, tuition-hours, enrolment-period, and English-proficiency context. It does not provide a variable-level ASLPR score codebook or source distribution for the generated compact fields.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"AMEP","AMEP","ASLPR_READING_LATEST","integer","0 / 1 / 2 / 3 / 4","0; 1; 2; 3; 4","LATEST_ASLPR_READ","Latest ASLPR assessment reading","manual_same_dataset_plida_concept_match","amep_public_profile_context_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://immi.homeaffairs.gov.au/settling-in-australia/settlement-reports | https://immi.homeaffairs.gov.au/settling-in-australia/settlement-reports/settlement-reporting-caveats | https://immi.homeaffairs.gov.au/settlement-services-subsite/files/settlement-database-data-dictionary.pdf | https://immi.homeaffairs.gov.au/amep-subsite/Files/paper-a-profile-amep-clients.pdf","The AMEP profile paper supports AMEP client, tuition-hours, enrolment-period, and English-proficiency context. It does not provide a variable-level ASLPR score codebook or source distribution for the generated compact fields.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"AMEP","AMEP","ASLPR_SPEAKING_INITIAL","integer","0 / 0 / 1 / 2 / 2","0; 1; 2","INITIAL_ASLPR_SPEAK","Initial ASLPR assessment speaking","manual_same_dataset_plida_concept_match","amep_public_profile_context_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://immi.homeaffairs.gov.au/settling-in-australia/settlement-reports | https://immi.homeaffairs.gov.au/settling-in-australia/settlement-reports/settlement-reporting-caveats | https://immi.homeaffairs.gov.au/settlement-services-subsite/files/settlement-database-data-dictionary.pdf | https://immi.homeaffairs.gov.au/amep-subsite/Files/paper-a-profile-amep-clients.pdf","The AMEP profile paper supports AMEP client, tuition-hours, enrolment-period, and English-proficiency context. It does not provide a variable-level ASLPR score codebook or source distribution for the generated compact fields.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"AMEP","AMEP","ASLPR_SPEAKING_LATEST","integer","0 / 1 / 2 / 3 / 4","0; 1; 2; 3; 4","LATEST_ASLPR_SPEAK","Latest ASLPR assessment speaking","manual_same_dataset_plida_concept_match","amep_public_profile_context_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://immi.homeaffairs.gov.au/settling-in-australia/settlement-reports | https://immi.homeaffairs.gov.au/settling-in-australia/settlement-reports/settlement-reporting-caveats | https://immi.homeaffairs.gov.au/settlement-services-subsite/files/settlement-database-data-dictionary.pdf | https://immi.homeaffairs.gov.au/amep-subsite/Files/paper-a-profile-amep-clients.pdf","The AMEP profile paper supports AMEP client, tuition-hours, enrolment-period, and English-proficiency context. It does not provide a variable-level ASLPR score codebook or source distribution for the generated compact fields.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"AMEP","AMEP","ASLPR_WRITING_INITIAL","integer","0 / 0 / 1 / 2 / 2","0; 1; 2","INITIAL_ASLPR_WRITE","Initial ASLPR assessment writing","manual_same_dataset_plida_concept_match","amep_public_profile_context_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://immi.homeaffairs.gov.au/settling-in-australia/settlement-reports | https://immi.homeaffairs.gov.au/settling-in-australia/settlement-reports/settlement-reporting-caveats | https://immi.homeaffairs.gov.au/settlement-services-subsite/files/settlement-database-data-dictionary.pdf | https://immi.homeaffairs.gov.au/amep-subsite/Files/paper-a-profile-amep-clients.pdf","The AMEP profile paper supports AMEP client, tuition-hours, enrolment-period, and English-proficiency context. It does not provide a variable-level ASLPR score codebook or source distribution for the generated compact fields.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"AMEP","AMEP","ASLPR_WRITING_LATEST","integer","0 / 1 / 2 / 3 / 4","0; 1; 2; 3; 4","LATEST_ASLPR_WRITE","Latest ASLPR assessment writing","manual_same_dataset_plida_concept_match","amep_public_profile_context_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://immi.homeaffairs.gov.au/settling-in-australia/settlement-reports | https://immi.homeaffairs.gov.au/settling-in-australia/settlement-reports/settlement-reporting-caveats | https://immi.homeaffairs.gov.au/settlement-services-subsite/files/settlement-database-data-dictionary.pdf | https://immi.homeaffairs.gov.au/amep-subsite/Files/paper-a-profile-amep-clients.pdf","The AMEP profile paper supports AMEP client, tuition-hours, enrolment-period, and English-proficiency context. It does not provide a variable-level ASLPR score codebook or source distribution for the generated compact fields.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"AMEP","AMEP","ENROLMENT_YEAR","integer","2003 / 2009 / 2013 / 2017 / 2020","2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020","ENROLLED_FY","Client's first time of enrolment in (first attendance at) AMEP - financial year of","manual_same_dataset_plida_concept_match","amep_public_profile_context_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://immi.homeaffairs.gov.au/settling-in-australia/settlement-reports | https://immi.homeaffairs.gov.au/settling-in-australia/settlement-reports/settlement-reporting-caveats | https://immi.homeaffairs.gov.au/settlement-services-subsite/files/settlement-database-data-dictionary.pdf | https://immi.homeaffairs.gov.au/amep-subsite/Files/paper-a-profile-amep-clients.pdf","The AMEP profile paper supports AMEP client, tuition-hours, enrolment-period, and English-proficiency context. It does not provide a variable-level ASLPR score codebook or source distribution for the generated compact fields.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"AMEP","AMEP","HOURS_TOTAL","numeric","50.0 / 220.5 / 302.0 / 405.0 / 510.0","","AMEP_*","Year/quarter-specific AMEP hours attended columns such as AMEP_2003 and AMEP_2019_Q2.","generated_compact_from_same_dataset_metadata","amep_public_profile_context_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://immi.homeaffairs.gov.au/settling-in-australia/settlement-reports | https://immi.homeaffairs.gov.au/settling-in-australia/settlement-reports/settlement-reporting-caveats | https://immi.homeaffairs.gov.au/settlement-services-subsite/files/settlement-database-data-dictionary.pdf | https://immi.homeaffairs.gov.au/amep-subsite/Files/paper-a-profile-amep-clients.pdf","The AMEP profile paper supports AMEP client, tuition-hours, enrolment-period, and English-proficiency context. It does not provide a variable-level ASLPR score codebook or source distribution for the generated compact fields.","Observed quantiles/ranges are synthetic generated-output evidence, not an official distribution.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
