"guide","dataset","table","variable","type","n_rows","missing","missing_pct","distinct","domain_or_distribution","values_if_small_domain","metadata_match","plida_variable_descriptions","plida_products","blade_item","blade_valid_response","blade_available_periods"
"core-combined","COMBINED","COMBINED","EVER_ABORIGINAL_PERSON","integer",5000,0,0,2,"0 / 0 / 0 / 0 / 1","0; 1","matched PLIDA variable metadata","Flag that indicates if the individual has ever identified being of Aboriginal descent | Person identified as Aboriginal in any source dataset","madipge-comb-d-demog-ind-c11-06-latest | madipge-comb-d-demog-ind-c16-06-latest | madipge-comb-d-demog-ind-c21-06-latest | madipge-comb-d-demog-ind-nc-06-latest","","",""
"core-combined","COMBINED","COMBINED","EVER_INDIGENOUS_PERSON","integer",5000,0,0,2,"0 / 0 / 0 / 0 / 1","0; 1","matched PLIDA variable metadata","Flag that indicates if the individual has ever identified being of Aboriginal and/or Torres Strait Islander descent | Person identified as Indigenous in any source dataset","madipge-comb-d-demog-ind-c11-06-latest | madipge-comb-d-demog-ind-c16-06-latest | madipge-comb-d-demog-ind-c21-06-latest | madipge-comb-d-demog-ind-nc-06-latest","","",""
"core-combined","COMBINED","COMBINED","EVER_TSI_PERSON","integer",5000,0,0,2,"0 / 0 / 0 / 0 / 1","0; 1","matched PLIDA variable metadata","Flag that indicates if the individual has ever identified being of Torres Strait Islander descent | Person identified as Torres Strait Islander in any source dataset","madipge-comb-d-demog-ind-c11-06-latest | madipge-comb-d-demog-ind-c16-06-latest | madipge-comb-d-demog-ind-c21-06-latest | madipge-comb-d-demog-ind-nc-06-latest","","",""
"core-combined","COMBINED","COMBINED","SPINE_ID","character",5000,0,0,5000,"SP0000000001=1; SP0000000002=1; SP0000000003=1; SP0000000004=1; SP0000000005=1; SP0000000006=1; SP0000000007=1; SP0000000008=1; SP0000000009=1; SP0000000010=1; SP0000000011=1; SP0000000012=1","SP0000000001; SP0000000002; SP0000000003; SP0000000004; SP0000000005; SP0000000006; SP0000000007; SP0000000008; SP0000000009; SP0000000010; SP0000000011; SP0000000012; SP0000000013; SP0000000014; SP0000000015; SP0000000016; SP0000000017; SP0000000018; SP0000000019; SP0000000020; SP0000000021; SP0000000022; SP0000000023; SP0000000024; SP0000000025; SP0000000026; SP0000000027; SP0000000028; SP0000000029; SP0000000030","matched PLIDA variable metadata","Id of person on the MADIP Spine | PLIDA Spine entity ID","madipge-comb-d-demog-ind-c11-06-latest | madipge-comb-d-demog-ind-c16-06-latest | madipge-comb-d-demog-ind-c21-06-latest | madipge-comb-d-demog-ind-nc-06-latest","","",""
"core-combined","CORE","demographics","BIRTH_CTRY_CODE","character",5000,0,0,21,"1101=3339; 2100=315; 7100=204; 6100=176; 5101=171; 5201=111; 5203=95; 5105=80; 7103=65; 6102=60; 2201=48; 6104=44","1101; 2100; 7100; 6100; 5101; 5201; 5203; 5105; 7103; 6102; 2201; 6104; 7105; 3207; 3206; 2304; 5204; 7108; 6105; 3103; 3104","matched PLIDA variable metadata","Country of birth code","plidage-core-demog-cb-c11-2006-latest | plidage-core-demog-ss-c11-2006-latest | plidage-core-demog-cb-c16-2006-latest | plidage-core-demog-ss-c16-2006-latest | plidage-core-demog-cb-c21-2006-latest | plidage-core-demog-ss-c21-2006-latest | plidage-core-demog-cb-nc-2006-latest | plidage-core-demog-ss-nc-2006-latest","","",""
"core-combined","CORE","demographics","CORE_GENDER","character",5000,0,0,2,"F=2562; M=2438","F; M","matched PLIDA variable metadata","Combined gender","plidage-core-demog-cb-c11-2006-latest | plidage-core-demog-cb-c16-2006-latest | plidage-core-demog-cb-c21-2006-latest | plidage-core-demog-cb-nc-2006-latest","","",""
"core-combined","CORE","demographics","DAY_OF_DEATH","integer",5000,4666,93.32,28,"1.00 / 8.25 / 15.00 / 22.00 / 28.00","","matched PLIDA variable metadata","Date/day of death | Day/date of death | Day of death","plidage-core-demog-cb-c11-2006-latest | plidage-core-demog-ss-c11-2006-latest | plidage-core-demog-cb-c16-2006-latest | plidage-core-demog-ss-c16-2006-latest | plidage-core-demog-cb-c21-2006-latest | plidage-core-demog-ss-c21-2006-latest | plidage-core-demog-cb-nc-2006-latest | plidage-core-demog-ss-nc-2006-latest | plidage-core-scope-vitals-cb-2006-latest","","",""
"core-combined","CORE","demographics","MONTH_OF_BIRTH","integer",5000,0,0,12,"1 / 4 / 7 / 10 / 12","1; 10; 11; 12; 2; 3; 4; 5; 6; 7; 8; 9","matched PLIDA variable metadata","Month of birth","plidage-core-demog-cb-c11-2006-latest | plidage-core-demog-ss-c11-2006-latest | plidage-core-demog-cb-c16-2006-latest | plidage-core-demog-ss-c16-2006-latest | plidage-core-demog-cb-c21-2006-latest | plidage-core-demog-ss-c21-2006-latest | plidage-core-demog-cb-nc-2006-latest | plidage-core-demog-ss-nc-2006-latest | plidage-core-scope-vitals-cb-2006-latest","","",""
"core-combined","CORE","demographics","MONTH_OF_DEATH","integer",5000,4666,93.32,12,"1.00 / 3.25 / 6.00 / 10.00 / 12.00","1; 10; 11; 12; 2; 3; 4; 5; 6; 7; 8; 9","matched PLIDA variable metadata","Month of death","plidage-core-demog-cb-c11-2006-latest | plidage-core-demog-ss-c11-2006-latest | plidage-core-demog-cb-c16-2006-latest | plidage-core-demog-ss-c16-2006-latest | plidage-core-demog-cb-c21-2006-latest | plidage-core-demog-ss-c21-2006-latest | plidage-core-demog-cb-nc-2006-latest | plidage-core-demog-ss-nc-2006-latest | plidage-core-scope-vitals-cb-2006-latest","","",""
"core-combined","CORE","demographics","SPINE_ID","character",5000,0,0,5000,"SP0000000001=1; SP0000000002=1; SP0000000003=1; SP0000000004=1; SP0000000005=1; SP0000000006=1; SP0000000007=1; SP0000000008=1; SP0000000009=1; SP0000000010=1; SP0000000011=1; SP0000000012=1","SP0000000001; SP0000000002; SP0000000003; SP0000000004; SP0000000005; SP0000000006; SP0000000007; SP0000000008; SP0000000009; SP0000000010; SP0000000011; SP0000000012; SP0000000013; SP0000000014; SP0000000015; SP0000000016; SP0000000017; SP0000000018; SP0000000019; SP0000000020; SP0000000021; SP0000000022; SP0000000023; SP0000000024; SP0000000025; SP0000000026; SP0000000027; SP0000000028; SP0000000029; SP0000000030","matched PLIDA variable metadata","PLIDA Spine entity ID | PLIDA Spine entity ID of person","plidage-core-demog-cb-c11-2006-latest | plidage-core-demog-ss-c11-2006-latest | plidage-core-demog-cb-c16-2006-latest | plidage-core-demog-ss-c16-2006-latest | plidage-core-demog-cb-c21-2006-latest | plidage-core-demog-ss-c21-2006-latest | plidage-core-demog-cb-nc-2006-latest | plidage-core-demog-ss-nc-2006-latest | plidage-core-income-cb-annual | plidage-core-income-cb-weekly | plidage-core-income-ss-annual | plidage-core-income-ss-weekly | plidage-core-locat-cb-2006-latest | plidage-core-locat-ss-2006-latest | plidage-core-relat-cb-c11-2006-latest | plidage-core-relat-cb-c16-2006-latest | plidage-core-relat-cb-c21-2006-latest | plidage-core-relat-cb-nc-2006-latest | plidage-core-scope-acti-cb-2006-latest | plidage-core-scope-acti-ss-2006-latest | plidage-core-scope-resi-erp-2006-latest | plidage-core-scope-resi-pp-2006-latest | plidage-core-scope-vitals-cb-2006-latest","","",""
"core-combined","CORE","demographics","YEAR_OF_BIRTH","integer",5000,0,0,100,"1922 / 1963 / 1982 / 2000 / 2021","","matched PLIDA variable metadata","Year of birth","plidage-core-demog-cb-c11-2006-latest | plidage-core-demog-ss-c11-2006-latest | plidage-core-demog-cb-c16-2006-latest | plidage-core-demog-ss-c16-2006-latest | plidage-core-demog-cb-c21-2006-latest | plidage-core-demog-ss-c21-2006-latest | plidage-core-demog-cb-nc-2006-latest | plidage-core-demog-ss-nc-2006-latest | plidage-core-scope-vitals-cb-2006-latest","","",""
"core-combined","CORE","demographics","YEAR_OF_DEATH","integer",5000,4666,93.32,19,"2006 / 2011 / 2015 / 2020 / 2024","2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024","matched PLIDA variable metadata","Year of death","plidage-core-demog-cb-c11-2006-latest | plidage-core-demog-ss-c11-2006-latest | plidage-core-demog-cb-c16-2006-latest | plidage-core-demog-ss-c16-2006-latest | plidage-core-demog-cb-c21-2006-latest | plidage-core-demog-ss-c21-2006-latest | plidage-core-demog-cb-nc-2006-latest | plidage-core-demog-ss-nc-2006-latest | plidage-core-scope-vitals-cb-2006-latest","","",""
"core-combined","CORE","locations","ADR_TYP","character",5000,0,0,1,"R=5000","R","matched PLIDA variable metadata","Type of address (e.g. residential postal etc.)","plidage-core-locat-cb-2006-latest | plidage-core-locat-ss-2006-latest","","",""
"core-combined","CORE","locations","ARID","character",5000,0,0,5000,"EE306442567B=1; EE306442567C=1; EE306442567D=1; EE306442567E=1; EE306442567F=1; EE3064425680=1; EE3064425681=1; EE3064425682=1; EE3064425683=1; EE3064425684=1; EE3064425685=1; EE3064425686=1","EE306442567B; EE306442567C; EE306442567D; EE306442567E; EE306442567F; EE3064425680; EE3064425681; EE3064425682; EE3064425683; EE3064425684; EE3064425685; EE3064425686; EE3064425687; EE3064425688; EE3064425689; EE306442568A; EE306442568B; EE306442568C; EE306442568D; EE306442568E; EE306442568F; EE3064425690; EE3064425691; EE3064425692; EE3064425693; EE3064425694; EE3064425695; EE3064425696; EE3064425697; EE3064425698","matched PLIDA variable metadata","Address Register ID | Hashed and truncated arid from address coding","plidage-core-locat-cb-2006-latest | plidage-core-locat-ss-2006-latest","","",""
"core-combined","CORE","locations","END_DATE","character",5000,5000,100,0,"all missing","","matched PLIDA variable metadata","End date of the address record","plidage-core-locat-cb-2006-latest | plidage-core-locat-ss-2006-latest","","",""
"core-combined","CORE","locations","MB_ASGS_2021","character",5000,0,0,4963,"10021330000=2; 10095050000=2; 10168280000=2; 10253210000=2; 10526272000=2; 10605440000=2; 10637850000=2; 10692440000=2; 10707880000=2; 10826570000=2; 11204583600=2; 11204615700=2","10021330000; 10095050000; 10168280000; 10253210000; 10526272000; 10605440000; 10637850000; 10692440000; 10707880000; 10826570000; 11204583600; 11204615700; 11204869000; 11205749100; 20083300000; 20110650000; 20119920000; 20448880000; 20489470000; 20566520000; 20631983230; 30113760000; 30115360000; 30216280000; 30308880000; 30317950000; 30434180000; 30562666800; 30563038200; 30609632000","matched PLIDA variable metadata","Mesh block coded to 2021 asgs","plidage-core-locat-cb-2006-latest | plidage-core-locat-ss-2006-latest","","",""
"core-combined","CORE","locations","SA1_ASGS_2021","character",5000,0,0,4716,"51001126504=11; 60403109412=6; 10402108301=4; 10601111304=4; 11401127837=4; 51003127303=4; 10102100709=3; 10804161903=3; 12403146263=3; 12501158231=3; 12503148601=3; 20303104901=3","51001126504; 60403109412; 10402108301; 10601111304; 11401127837; 51003127303; 10102100709; 10804161903; 12403146263; 12501158231; 12503148601; 20303104901; 20503109117; 20504109610; 20505110010; 20606113609; 20606113630; 30102155104; 30204104408; 31602141817; 50503125804; 60403109401; 10102101229; 10103101411; 10103101520; 10104102107; 10105154025; 10201103132; 10201103237; 10201103909","matched PLIDA variable metadata","Sa1 location","plidage-core-locat-cb-2006-latest | plidage-core-locat-ss-2006-latest","","",""
"core-combined","CORE","locations","SA2_ASGS_2021","character",5000,0,0,1916,"102011040=13; 510011265=13; 313011363=11; 202031033=10; 205031091=10; 205031093=10; 301021551=10; 105021097=9; 106031121=9; 125021477=9; 206061136=9; 211011446=9","102011040; 510011265; 313011363; 202031033; 205031091; 205031093; 301021551; 105021097; 106031121; 125021477; 206061136; 211011446; 315011396; 604031094; 108041619; 110041205; 112031253; 121021403; 121041689; 208031193; 209011203; 214011371; 217031476; 303031060; 309031238; 316051435; 319051524; 401021007; 506051140; 509021242","matched PLIDA variable metadata","Sa2 location","plidage-core-locat-cb-2006-latest | plidage-core-locat-ss-2006-latest","","",""
"core-combined","CORE","locations","SA4_ASGS_2021","integer",5000,0,0,88,"101 / 122 / 212 / 318 / 801","","matched PLIDA variable metadata","Sa4 location","plidage-core-locat-cb-2006-latest | plidage-core-locat-ss-2006-latest","","",""
"core-combined","CORE","locations","SOURCE_FLAG","character",5000,0,0,1,"CENSUS=5000","CENSUS","matched PLIDA variable metadata","Identifies source datasets of location information by majority stay to the month | Identifies source dataset of relationship information","plidage-core-locat-cb-2006-latest | plidage-core-relat-cb-c11-2006-latest | plidage-core-relat-ss-c11-2006-latest | plidage-core-relat-cb-c16-2006-latest | plidage-core-relat-ss-c16-2006-latest | plidage-core-relat-cb-c21-2006-latest | plidage-core-relat-ss-c21-2006-latest | plidage-core-relat-cb-nc-2006-latest | plidage-core-relat-ss-nc-2006-latest","","",""
"core-combined","CORE","locations","SPINE_ID","character",5000,0,0,5000,"SP0000000001=1; SP0000000002=1; SP0000000003=1; SP0000000004=1; SP0000000005=1; SP0000000006=1; SP0000000007=1; SP0000000008=1; SP0000000009=1; SP0000000010=1; SP0000000011=1; SP0000000012=1","SP0000000001; SP0000000002; SP0000000003; SP0000000004; SP0000000005; SP0000000006; SP0000000007; SP0000000008; SP0000000009; SP0000000010; SP0000000011; SP0000000012; SP0000000013; SP0000000014; SP0000000015; SP0000000016; SP0000000017; SP0000000018; SP0000000019; SP0000000020; SP0000000021; SP0000000022; SP0000000023; SP0000000024; SP0000000025; SP0000000026; SP0000000027; SP0000000028; SP0000000029; SP0000000030","matched PLIDA variable metadata","PLIDA Spine entity ID | PLIDA Spine entity ID of person","plidage-core-demog-cb-c11-2006-latest | plidage-core-demog-ss-c11-2006-latest | plidage-core-demog-cb-c16-2006-latest | plidage-core-demog-ss-c16-2006-latest | plidage-core-demog-cb-c21-2006-latest | plidage-core-demog-ss-c21-2006-latest | plidage-core-demog-cb-nc-2006-latest | plidage-core-demog-ss-nc-2006-latest | plidage-core-income-cb-annual | plidage-core-income-cb-weekly | plidage-core-income-ss-annual | plidage-core-income-ss-weekly | plidage-core-locat-cb-2006-latest | plidage-core-locat-ss-2006-latest | plidage-core-relat-cb-c11-2006-latest | plidage-core-relat-cb-c16-2006-latest | plidage-core-relat-cb-c21-2006-latest | plidage-core-relat-cb-nc-2006-latest | plidage-core-scope-acti-cb-2006-latest | plidage-core-scope-acti-ss-2006-latest | plidage-core-scope-resi-erp-2006-latest | plidage-core-scope-resi-pp-2006-latest | plidage-core-scope-vitals-cb-2006-latest","","",""
"core-combined","CORE","locations","START_DATE","character",5000,0,0,1,"2006-01-01=5000","2006-01-01","matched PLIDA variable metadata","Start date of address record","plidage-core-locat-cb-2006-latest | plidage-core-locat-ss-2006-latest","","",""
"core-combined","CORE","locations","STATE","integer",5000,0,0,8,"1 / 1 / 2 / 3 / 8","1; 2; 3; 4; 5; 6; 7; 8","matched PLIDA variable metadata","State or territory","plidage-core-locat-cb-2006-latest","","",""
"core-combined","CORE","relationships","COMBINED_CATEGORY","character",1929,0,0,2,"Partner=988; Parent-Child=941","Partner; Parent-Child","matched PLIDA variable metadata","Broad relationship category of SPINE_ID_ORIGINAL as relates to SPINE_ID_MAIN_REL","plidage-core-relat-cb-c11-2006-latest | plidage-core-relat-ss-c11-2006-latest | plidage-core-relat-cb-c16-2006-latest | plidage-core-relat-ss-c16-2006-latest | plidage-core-relat-cb-c21-2006-latest | plidage-core-relat-ss-c21-2006-latest | plidage-core-relat-cb-nc-2006-latest | plidage-core-relat-ss-nc-2006-latest","","",""
