"guide","dataset","table","variable","type","n_rows","missing","missing_pct","distinct","domain_or_distribution","values_if_small_domain","metadata_match","plida_variable_descriptions","plida_products","blade_item","blade_valid_response","blade_available_periods"
"dhda-health","AIR","AIR","ABORIND","character",26136,0,0,2,"N=25256; Y=880","N; Y","matched PLIDA variable metadata","Individual Aboriginality indicator","madip-vacstrat-air","","",""
"dhda-health","AIR","AIR","ANTIGEN_CODE","character",26136,0,0,14,"COVID=10578; FLU=4806; DTPA=916; HEP_B=916; HIB=916; HPV=916; IPV=916; MENACWY=916; MMR=916; PCV13=916; ROTA=916; VAR=916","COVID; FLU; DTPA; HEP_B; HIB; HPV; IPV; MENACWY; MMR; PCV13; ROTA; VAR; DTPA_BOOST; FLU_CHILD","no PLIDA metadata match by dataset+variable","","","","",""
"dhda-health","AIR","AIR","DOB_MONTH","integer",26136,0,0,12,"1 / 4 / 7 / 10 / 12","1; 10; 11; 12; 2; 3; 4; 5; 6; 7; 8; 9","matched PLIDA variable metadata","Month of birth","madip-vacstrat-air","","",""
"dhda-health","AIR","AIR","DOB_YEAR","integer",26136,0,0,100,"1922 / 1971 / 1997 / 2011 / 2021","","matched PLIDA variable metadata","Year of birth","madip-vacstrat-air","","",""
"dhda-health","AIR","AIR","ENCOUNTER_DATE","Date",26136,0,0,5344,"2006-01-01 to 2024-12-28","","no PLIDA metadata match by dataset+variable","","","","",""
"dhda-health","AIR","AIR","EPISODE_STATUS","character",26136,0,0,1,"Valid=26136","Valid","no PLIDA metadata match by dataset+variable","","","","",""
"dhda-health","AIR","AIR","SCHEDULE_CLASSIFICATION","character",26136,0,0,1,"NIP=26136","NIP","no PLIDA metadata match by dataset+variable","","","","",""
"dhda-health","AIR","AIR","SEXCDE","character",26136,0,0,2,"F=13175; M=12961","F; M","matched PLIDA variable metadata","Individual gender","madip-vacstrat-air","","",""
"dhda-health","AIR","AIR","STATE_ASGS_2021","integer",26136,0,0,8,"1 / 1 / 2 / 3 / 8","1; 2; 3; 4; 5; 6; 7; 8","matched PLIDA variable metadata","State (number)","madip-vacstrat-air","","",""
"dhda-health","AIR","AIR","SYNTHETIC_AEUID","character",26136,0,0,4620,"3723B0000130=19; 3723B000019A=19; 3723B0000270=19; 3723B000041A=19; 3723B00006F7=19; 3723B00007B1=19; 3723B0000894=19; 3723B0000D93=19; 3723B0000EF3=19; 3723B000012B=18; 3723B00001C0=18; 3723B000049A=18","3723B0000130; 3723B000019A; 3723B0000270; 3723B000041A; 3723B00006F7; 3723B00007B1; 3723B0000894; 3723B0000D93; 3723B0000EF3; 3723B000012B; 3723B00001C0; 3723B000049A; 3723B00006B4; 3723B0000C1B; 3723B00010F9; 3723B000127B; 3723B0001388; 3723B0000520; 3723B0000620; 3723B0000A18; 3723B0000ED0; 3723B00010F3; 3723B000007B; 3723B000053E; 3723B00006FD; 3723B0000C7E; 3723B0000C8D; 3723B0000F48; 3723B0000F5C; 3723B00010CA","matched PLIDA variable metadata","Synthetic MADIP Person ID","madip-vacstrat-air","","",""
"dhda-health","AIR","AIR","VACCINE_SEQUENCE","integer",26136,0,0,19,"1 / 2 / 3 / 6 / 19","1; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 2; 3; 4; 5; 6; 7; 8; 9","no PLIDA metadata match by dataset+variable","","","","",""
"dhda-health","MBS","2020","AGGRITEM","character",74440,0,0,5226,"75842=97; 75042=95; 75606=94; 75400=91; 75851=91; 75206=90; 75007=89; 75049=89; 75610=87; 75023=86; 75603=86; 75032=84","75842; 75042; 75606; 75400; 75851; 75206; 75007; 75049; 75610; 75023; 75603; 75032; 75011; 75034; 75048; 75845; 75024; 75051; 75609; 75800; 75015; 75009; 75200; 75600; 75820; 75002; 75050; 75402; 75833; 75848","matched PLIDA variable metadata","Mbs item number from the aggregate item number field. for most mbs items this will be the same as the mbs item number in the base item number field. where the schedule fee for one item is dependent on the schedule fee for another item  the main item is stored in the aggregate item number field and the other item number is stored in the base item number field.note: all mbs statistics are based on the latest mapped item number which is derived from the aggregate item number. | Original item number","madipge-mbs-d-claims-2006 | madipge-mbs-d-claims-2007 | madipge-mbs-d-claims-2008 | madipge-mbs-d-claims-2009 | madipge-mbs-d-claims-2010 | madipge-mbs-d-claims-2011 | madipge-mbs-d-claims-2012 | madipge-mbs-d-claims-2013 | madipge-mbs-d-claims-2014 | madipge-mbs-d-claims-2015 | madipge-mbs-d-claims-2016 | madipge-mbs-d-claims-2017 | madipge-mbs-d-claims-2018 | madipge-mbs-d-claims-2019 | madipge-mbs-d-claims-2020 | madipge-mbs-d-claims-2021 | madipge-mbs-d-claims-2022 | madipge-mbs-d-claims-2023 | madipge-mbs-d-claims-2024 | madipge-mbs-d-claims-2025","","",""
"dhda-health","MBS","2020","BENPAID","numeric",74440,0,0,3078,"1.20 / 43.35 / 98.95 / 231.25 / 7897.60","","matched PLIDA variable metadata","The total amount of medicare benefit paid for services performed by a medicare service provider  expressed in australian dollars. | Benefit paid","madipge-mbs-d-claims-2006 | madipge-mbs-d-claims-2007 | madipge-mbs-d-claims-2008 | madipge-mbs-d-claims-2009 | madipge-mbs-d-claims-2010 | madipge-mbs-d-claims-2011 | madipge-mbs-d-claims-2012 | madipge-mbs-d-claims-2013 | madipge-mbs-d-claims-2014 | madipge-mbs-d-claims-2015 | madipge-mbs-d-claims-2016 | madipge-mbs-d-claims-2017 | madipge-mbs-d-claims-2018 | madipge-mbs-d-claims-2019 | madipge-mbs-d-claims-2020 | madipge-mbs-d-claims-2021 | madipge-mbs-d-claims-2022 | madipge-mbs-d-claims-2023 | madipge-mbs-d-claims-2024 | madipge-mbs-d-claims-2025","","",""
