"guide","dataset","table","variable","type","n_rows","missing","missing_pct","distinct","domain_or_distribution","values_if_small_domain","metadata_match","plida_variable_descriptions","plida_products","blade_item","blade_valid_response","blade_available_periods"
"stp","STP","stp_extended_etp_2020_21","BN","character",30,0,0,30,"BN009773741788=1; BN024119439973=1; BN059647115843=1; BN070682268293=1; BN078191686978=1; BN115926393338=1; BN145936492983=1; BN151023693148=1; BN181033792793=1; BN200008739988=1; BN263582248138=1; BN269099824363=1","BN009773741788; BN024119439973; BN059647115843; BN070682268293; BN078191686978; BN115926393338; BN145936492983; BN151023693148; BN181033792793; BN200008739988; BN263582248138; BN269099824363; BN279461837628; BN305731015478; BN356277528718; BN455593900768; BN493113419098; BN586023887708; BN638992619468; BN672313264848; BN682244902053; BN695271896963; BN700789473188; BN748240628723; BN815770246698; BN846883861588; BN860799183713; BN870057681733; BN957235386088; BN973357738703","matched PLIDA variable metadata","ABS Derived confidentialised business identifier","pmp-stp-extended | pmp-stp-standard","","",""
"stp","STP","stp_extended_etp_2020_21","DUMMY_FLAG","character",30,0,0,1,"False=30","False","matched PLIDA variable metadata","Dummy flag. Value of True or False | Dummy Identifier flag. Value of True or False.","pmp-stp-extended | pmp-stp-standard","","",""
"stp","STP","stp_extended_etp_2020_21","EMPLOYEE_KEY","character",30,0,0,30,"69BA40000062_BN846883861588=1; 69BA40000077_BN870057681733=1; 69BA400000C6_BN957235386088=1; 69BA40000171_BN145936492983=1; 69BA400001A2_BN200008739988=1; 69BA400001EA_BN279461837628=1; 69BA4000034E_BN672313264848=1; 69BA40000357_BN682244902053=1; 69BA400003D0_BN815770246698=1; 69BA400004AD_BN059647115843=1; 69BA400004B7_BN070682268293=1; 69BA400004E0_BN115926393338=1","69BA40000062_BN846883861588; 69BA40000077_BN870057681733; 69BA400000C6_BN957235386088; 69BA40000171_BN145936492983; 69BA400001A2_BN200008739988; 69BA400001EA_BN279461837628; 69BA4000034E_BN672313264848; 69BA40000357_BN682244902053; 69BA400003D0_BN815770246698; 69BA400004AD_BN059647115843; 69BA400004B7_BN070682268293; 69BA400004E0_BN115926393338; 69BA4000051B_BN181033792793; 69BA4000058C_BN305731015478; 69BA4000068A_BN586023887708; 69BA400006BA_BN638992619468; 69BA400006ED_BN695271896963; 69BA400006F2_BN700789473188; 69BA4000071D_BN748240628723; 69BA40000783_BN860799183713; 69BA400007E9_BN973357738703; 69BA4000080A_BN009773741788; 69BA40000817_BN024119439973; 69BA40000848_BN078191686978; 69BA4000088A_BN151023693148; 69BA400008F0_BN263582248138; 69BA400008F5_BN269099824363; 69BA40000944_BN356277528718; 69BA4000099E_BN455593900768; 69BA400009C0_BN493113419098","matched PLIDA variable metadata","Key unique to a payee-payer combination | Encrypted ID unique to a job","pmp-stp-extended | pmp-stp-standard","","",""
"stp","STP","stp_extended_etp_2020_21","ETP_PMT_DT","Date",30,0,0,29,"2020-08-19 to 2021-06-30","","matched PLIDA variable metadata","Date Employment Termination Payment was paid","pmp-stp-extended","","",""
"stp","STP","stp_extended_etp_2020_21","ETP_PMT_TYP_CD","character",30,0,0,1,"R=30","R","matched PLIDA variable metadata","Code that identifies the reason for the Employment Termination Payment (ETP) being made. Value Domain information is included below the DIL","pmp-stp-extended","","",""
"stp","STP","stp_extended_etp_2020_21","ETP_TAX_FREE_AMT","numeric",30,0,0,30,"170.570 / 520.175 / 974.625 / 1298.872 / 3337.700","","matched PLIDA variable metadata","Non-assessable and non-exempt income that is tax-free income part of Employment Termination Payment","pmp-stp-extended","","",""
"stp","STP","stp_extended_etp_2020_21","ETP_TAX_WHELD_TOTL_AMT","numeric",30,0,0,30,"187.620 / 572.198 / 1072.090 / 1428.763 / 3671.470","","matched PLIDA variable metadata","PAYGW tax withheld under the Pay As You Go arrangement relating to the ETP","pmp-stp-extended","","",""
"stp","STP","stp_extended_etp_2020_21","ETP_TXBL_CMPNT_AMT","numeric",30,0,0,30,"852.830 / 2600.878 / 4873.130 / 6494.372 / 16688.480","","matched PLIDA variable metadata","This repeating field input is the array of all the ETP taxable component amounts paid by the corresponding Payer listed in the ‘ETP Payer’s ABN’ field","pmp-stp-extended","","",""
"stp","STP","stp_extended_etp_2020_21","LATEST","logical",30,0,0,1,"TRUE=30","TRUE","matched PLIDA variable metadata","Latest event flag - latest transaction in the FY sorted by payroll run timestamp","pmp-stp-extended","","",""
"stp","STP","stp_extended_etp_2020_21","PYRL_FNCL_YR","character",30,0,0,1,"2020-21=30","2020-21","matched PLIDA variable metadata","Financial Year","pmp-stp-extended | pmp-stp-standard","","",""
"stp","STP","stp_extended_etp_2020_21","SEQUENCE_KEY","character",30,0,0,30,"69BA40000062_BN846883861588_ETP_2021_J1=1; 69BA40000077_BN870057681733_ETP_2021_J1=1; 69BA400000C6_BN957235386088_ETP_2021_J1=1; 69BA40000171_BN145936492983_ETP_2021_J1=1; 69BA400001A2_BN200008739988_ETP_2021_J1=1; 69BA400001EA_BN279461837628_ETP_2021_J1=1; 69BA4000034E_BN672313264848_ETP_2021_J1=1; 69BA40000357_BN682244902053_ETP_2021_J1=1; 69BA400003D0_BN815770246698_ETP_2021_J1=1; 69BA400004AD_BN059647115843_ETP_2021_J1=1; 69BA400004B7_BN070682268293_ETP_2021_J1=1; 69BA400004E0_BN115926393338_ETP_2021_J1=1","69BA40000062_BN846883861588_ETP_2021_J1; 69BA40000077_BN870057681733_ETP_2021_J1; 69BA400000C6_BN957235386088_ETP_2021_J1; 69BA40000171_BN145936492983_ETP_2021_J1; 69BA400001A2_BN200008739988_ETP_2021_J1; 69BA400001EA_BN279461837628_ETP_2021_J1; 69BA4000034E_BN672313264848_ETP_2021_J1; 69BA40000357_BN682244902053_ETP_2021_J1; 69BA400003D0_BN815770246698_ETP_2021_J1; 69BA400004AD_BN059647115843_ETP_2021_J1; 69BA400004B7_BN070682268293_ETP_2021_J1; 69BA400004E0_BN115926393338_ETP_2021_J1; 69BA4000051B_BN181033792793_ETP_2021_J1; 69BA4000058C_BN305731015478_ETP_2021_J1; 69BA4000068A_BN586023887708_ETP_2021_J1; 69BA400006BA_BN638992619468_ETP_2021_J1; 69BA400006ED_BN695271896963_ETP_2021_J1; 69BA400006F2_BN700789473188_ETP_2021_J1; 69BA4000071D_BN748240628723_ETP_2021_J1; 69BA40000783_BN860799183713_ETP_2021_J1; 69BA400007E9_BN973357738703_ETP_2021_J1; 69BA4000080A_BN009773741788_ETP_2021_J1; 69BA40000817_BN024119439973_ETP_2021_J1; 69BA40000848_BN078191686978_ETP_2021_J1; 69BA4000088A_BN151023693148_ETP_2021_J1; 69BA400008F0_BN263582248138_ETP_2021_J1; 69BA400008F5_BN269099824363_ETP_2021_J1; 69BA40000944_BN356277528718_ETP_2021_J1; 69BA4000099E_BN455593900768_ETP_2021_J1; 69BA400009C0_BN493113419098_ETP_2021_J1","matched PLIDA variable metadata","Key unique to a job pay sequence. Defined as Employee_Key + Payroll ID + Branch Number + BMS Id | Encrpyted ID unique to a job pay sequence","pmp-stp-extended | pmp-stp-standard","","",""
