"guide","dataset","table","variable","type","n_rows","missing","missing_pct","distinct","domain_or_distribution","values_if_small_domain","metadata_match","plida_variable_descriptions","plida_products","blade_item","blade_valid_response","blade_available_periods"
"vital-events","BIRTHS","BIRTHS","AGE_FATHER","integer",3339,0,0,37,"16 / 28 / 32 / 36 / 52","","matched PLIDA variable metadata","Age of Father","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","BIRTHS","AGE_MOTHER","integer",3339,0,0,34,"15 / 26 / 30 / 33 / 48","","matched PLIDA variable metadata","Age of Mother","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","BIRTHS","BIRTH_ID","character",3339,0,0,3339,"B1E31F1285AB1981E=1; B1E31F1285AB1981F=1; B1E31F1285AB19821=1; B1E31F1285AB19822=1; B1E31F1285AB19823=1; B1E31F1285AB19824=1; B1E31F1285AB19825=1; B1E31F1285AB1983C=1; B1E31F1285AB1983D=1; B1E31F1285AB1983E=1; B1E31F1285AB1983F=1; B1E31F1285AB19840=1","B1E31F1285AB1981E; B1E31F1285AB1981F; B1E31F1285AB19821; B1E31F1285AB19822; B1E31F1285AB19823; B1E31F1285AB19824; B1E31F1285AB19825; B1E31F1285AB1983C; B1E31F1285AB1983D; B1E31F1285AB1983E; B1E31F1285AB1983F; B1E31F1285AB19840; B1E31F1285AB19841; B1E31F1285AB19843; B1E31F1285AB19844; B1E31F1285AB1985B; B1E31F1285AB1985C; B1E31F1285AB1985D; B1E31F1285AB1985E; B1E31F1285AB1985F; B1E31F1285AB19861; B1E31F1285AB19864; B1E31F1285AB1987A; B1E31F1285AB1987B; B1E31F1285AB1987C; B1E31F1285AB1987E; B1E31F1285AB19880; B1E31F1285AB19881; B1E31F1285AB19882; B1E31F1285AB1989A","matched PLIDA variable metadata","Birth Identifier (Note: Variable has been hashed)","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","BIRTHS","BIRTH_MONTH","integer",3339,0,0,12,"1 / 4 / 6 / 10 / 12","1; 10; 11; 12; 2; 3; 4; 5; 6; 7; 8; 9","matched PLIDA variable metadata","Month of Birth of Child","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","BIRTHS","BIRTH_PLACE_CODE_FATHER","integer",3339,0,0,2,"0 / 0 / 1101 / 1101 / 1101","0; 1101","matched PLIDA variable metadata","Place of Birth of Father","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","BIRTHS","BIRTH_PLACE_CODE_MOTHER","integer",3339,0,0,2,"0 / 0 / 1101 / 1101 / 1101","0; 1101","matched PLIDA variable metadata","Place of Birth of Mother","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","BIRTHS","BIRTH_WEIGHT","integer",3339,0,0,1613,"1464.0 / 2973.5 / 3305.0 / 3641.5 / 5183.0","","matched PLIDA variable metadata","Birth weight of child","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","BIRTHS","BIRTH_YEAR","integer",3339,0,0,100,"1922 / 1962 / 1982 / 2000 / 2021","","matched PLIDA variable metadata","Year of Birth of Child","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","BIRTHS","FIRST_TIME_MOTHER","character",3339,0,0,2,"N=2040; Y=1299","N; Y","matched PLIDA variable metadata","Based on previous issue data","plidage-births-2006-latest","","",""
"vital-events","BIRTHS","BIRTHS","GENDER_CHILD","character",3339,0,0,2,"F=1736; M=1603","F; M","matched PLIDA variable metadata","Sex of Child","plidage-births-2006-latest","","",""
