Agency,Agency Description
ABS,Australian Bureau of Statistics
AIHW,Australian Institute of Health and Welfare
ATO,Australian Taxation Office
APSC,Australian Public Service Commission
DEWR,Department of Employment and Workplace Relations
DE,Department of Education
DHDA,"Department of Health, Disability and Ageing"
DSS,Department of Social Services
HA,Department of Home Affairs
NCVER,National Centre for Vocational Education Research
SA,Services Australia
NDIA,National Disability Insurance Agency
RBDM,"Registry of Births, Deaths, and Marriages"
