Supplier,Custodian,Dataset Acronym,Dataset Name,Dataset Description,Reference Period,Update Frequency
ABS,ABS,ACLD,Australian Census Longitudinal Dataset,A 5% sample of longitudinally linked 2011 and 2016 Census records.,2011 to 2021,Follows ABS publication
ABS,ABS,CENSUS,Census of Population and Housing,"Information from the ABS Census of Population and Housing, including person, family, and dwelling information.","2011, 2016, 2021",Follows ABS publication
ABS,ABS,LFS,Longitudinal Labour Force Survey,Person-month longitudinal labour force survey information for Australia’s resident civilian population aged 15 years and over.,1964 to current,Monthly/quarterly
ABS,ABS,NHS,National Health Survey,"Information about the health and wellbeing of people in Australia, such as medical conditions, health and lifestyle risk-factors, mental health, and use of health services.","2014-2015, 2017-2018, 2020-2021, 2022-2023",Follows ABS publication
ABS,ABS,NSMHW,National Study of Mental Health and Wellbeing,"Information on the mental health and wellbeing of people in Australia, including prevalence of selected mental disorders, level of impairment, health service usage, suicidality and self-harm behavious, and demographic and socio-economic characteristics.",2020 to 2022,Follows ABS publication
ABS,ABS,PEX,Patient Experience Survey,"Information on peoples' experiences of and access and barriers to healthcare services including GPs, specialists, dental professionals, hospitals, and emergency departments.",2023 to 2024,Follows ABS publication
ABS,ABS,SDAC,"Survey of Disability, Ageing and Carers","Information about people with a disability, people aged 65 and over, and their carers.","2018, 2022",Follows ABS publication
AIHW,DHDA,NACDC,National Aged Care Data Clearinghouse,Information on people receiving aged care and the services and organisations providing care.,2015 to current,Quarterly
APSC,APSC,APSED,APS Employment Dataset,Employment data of all current and former APS employees.,2005-2006 to 2023-2024,Not scheduled
ATO,ATO,ATO_CR,ATO Client Register,Demographic information about persons who have registered for an Australian Tax File Number with the ATO.,1999 to current,Annual
ATO,ATO,ATO_MCS,Member Contributions Statement,Information on contributions received for each superannuation fund member during a financical year.,1999-2000 to 2017-2018,Not scheduled
ATO,ATO,BUSOWN,Business Ownership,Concordances to enable MADIP data about sole traders and partnership beneficiaries to be linked to BLADE data about the businesses they operate.,2009-2010 to 2023-2024,Annual
ATO,ATO,CGT,Capital Gains Tax,"Information about capital gains tax paid by persons or sole traders on profits from disposing of assets such as property, shares and crypto assets.",2000-2001 to 2022-2023,Annual
