Module Name,Dataset,Dataset Name
ABS Derived Income,PIT_IE,ABS Derived Income
APS Employment Dataset,APSED,APS Employment Dataset
ATO Client Register 1999 - latest,ATO_CR,ATO Client Register
Adult Migrant English Program (AMEP) 2003-2019,AMEP,Adult Migrant English Program
Aged Care Data 2015-current,NACDC,National Aged Care Data Clearinghouse
Apprentice and Trainee 2006 - latest,A&T,Apprentice and Trainee
Australian Early Development Census 2009,AEDC,Australian Early Development Census
Australian Early Development Census 2012,AEDC,Australian Early Development Census
Australian Early Development Census 2015,AEDC,Australian Early Development Census
Australian Early Development Census 2018,AEDC,Australian Early Development Census
Australian Early Development Census 2021,AEDC,Australian Early Development Census
Australian Early Development Census 2024,AEDC,Australian Early Development Census
Australian Early Development Census Domain 2009,AEDC,Australian Early Development Census
Australian Early Development Census Domain 2012,AEDC,Australian Early Development Census
Australian Early Development Census Domain 2015,AEDC,Australian Early Development Census
Australian Early Development Census Domain 2018,AEDC,Australian Early Development Census
Australian Early Development Census Domain 2021,AEDC,Australian Early Development Census
Australian Early Development Census Domain 2024,AEDC,Australian Early Development Census
Australian Early Development Census Indigenous 2009,AEDC,Australian Early Development Census
Australian Early Development Census Indigenous 2012,AEDC,Australian Early Development Census
Australian Early Development Census Indigenous 2015,AEDC,Australian Early Development Census
Australian Early Development Census Indigenous 2018,AEDC,Australian Early Development Census
Australian Early Development Census Indigenous 2021,AEDC,Australian Early Development Census
Australian Early Development Census Indigenous 2024,AEDC,Australian Early Development Census
Australian Early Development Census Language 2009,AEDC,Australian Early Development Census
Australian Early Development Census Language 2012,AEDC,Australian Early Development Census
Australian Early Development Census Language 2015,AEDC,Australian Early Development Census
Australian Early Development Census Language 2018,AEDC,Australian Early Development Census
Australian Early Development Census Language 2021,AEDC,Australian Early Development Census
Australian Early Development Census Language 2024,AEDC,Australian Early Development Census
Australian Early Development Census Special Needs 2009,AEDC,Australian Early Development Census
Australian Early Development Census Special Needs 2012,AEDC,Australian Early Development Census
Australian Early Development Census Special Needs 2015,AEDC,Australian Early Development Census
Australian Early Development Census Special Needs 2018,AEDC,Australian Early Development Census
Australian Early Development Census Special Needs 2021,AEDC,Australian Early Development Census
Australian Early Development Census Special Needs 2024,AEDC,Australian Early Development Census
Australian Immunisation Register 2010 - latest,AIR,Australian Immunisation Register
Birth Registrations 2006 - latest,BIRTHS,Birth Registrations
Business Ownership,BUSOWN,Business Ownership
COVID-19 Early Release of Super scheme 2020,ERS,COVID-19 Early Release of Super scheme
Capital Gains Tax,CGT,Capital Gains Tax
Census of Population and Housing 2011,CENSUS,Census of Population and Housing
Census of Population and Housing 2016,CENSUS,Census of Population and Housing
Census of Population and Housing 2021,CENSUS,Census of Population and Housing
Census of Population and Housing ACLD 2011-2016-2021 - 5% sample,ACLD,Australian Census Longitudinal Dataset
Census of Population and Housing ACLD 2016-2021 - 5% sample,ACLD,Australian Census Longitudinal Dataset
Combined Demographics Indigenous status 2006-latest (2011 Census),COMBINED,Combined Demographics – Indigenous status
Combined Demographics Indigenous status 2006-latest (2016 Census),COMBINED,Combined Demographics – Indigenous status
Combined Demographics Indigenous status 2006-latest (2021 Census),COMBINED,Combined Demographics – Indigenous status
Combined Demographics Indigenous status 2006-latest (No Census),COMBINED,Combined Demographics – Indigenous status
Core Demographics 2006-latest (2011 Census),CORE,Core Demographics
Core Demographics 2006-latest (2016 Census),CORE,Core Demographics
Core Demographics 2006-latest (2021 Census),CORE,Core Demographics
Core Demographics 2006-latest (No Census),CORE,Core Demographics
Core Income,CORE,Core Income
Core Locations 2006-latest,CORE,Core Locations
Core Relationships 2006-latest (2011 Census),CORE,Core Relationships
Core Relationships 2006-latest (2016 Census),CORE,Core Relationships
Core Relationships 2006-latest (2021 Census),CORE,Core Relationships
Core Relationships 2006-latest (No Census),CORE,Core Relationships
Core Scoping 2006-latest,CORE,Core Scoping
DOMINO Centrelink Administrative Data Base Module 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Disability and Carers 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Families and Children 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Indigenous Status 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Older Students 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Retirement and Widows 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Benefits - Clean Energy Advance 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Benefits - Emergency Payment 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Benefits - Emergency Recovery Assistance 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Benefits - Emergency Recovery Payment 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Benefits - Exceptional Circumstance Payment 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Benefits - Income Management 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Benefits - Low Income Supplement 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Benefits - Pension Bereavement Bonus Payment 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Benefits - Savings Bonus GSR Assistance Scheme 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Benefits - Savings Bonus GST Assistance Scheme 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Benefits - Savings Bonus for existing CIS customers 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Benefits - Savings Bonus paid by CLK 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Benefits - Savings Bonus via ATO 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Benefits - Savings Bonus via DVA 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Benefits - Special Benefit 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Tables - Abstudy Education Entitlement History 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Tables - Assistance for Isolated Children Education Entitlement History 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Tables - Defence Force Income Support Allowances 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Tables - Department of Veterans Affairs Income 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
