Dataset,Module Name,Product Name,Product Description
A&T,Apprentice and Trainee 2006 - latest,plidage-apprentice,"PLIDAGE, Apprentice"
ACLD,Census of Population and Housing ACLD 2011-2016-2021 - 5% sample,madipge-acld11-d-persons-11-16-21,"MADIP GE, d, ACLD_1121, Persons, 2011-2021"
ACLD,Census of Population and Housing ACLD 2016-2021 - 5% sample,madipge-acld16-d-person-16-21,"MADIP GE, d, ACLD_1621, Persons, 2016-2021"
AEDC,Australian Early Development Census 2009,madipge-aedc-d-core-2009,"MADIP GE, d, AEDC, General analytical data, 2009"
AEDC,Australian Early Development Census 2012,madipge-aedc-d-core-2012,"MADIP GE, d, AEDC, General analytical data, 2012"
AEDC,Australian Early Development Census 2015,madipge-aedc-d-core-2015,"MADIP GE, d, AEDC, General analytical data, 2015"
AEDC,Australian Early Development Census 2018,madipge-aedc-d-core-2018,"MADIP GE, d, AEDC, General analytical data, 2018"
AEDC,Australian Early Development Census 2021,madipge-aedc-d-core-2021,"MADIP GE, d, AEDC, General analytical data, 2021"
AEDC,Australian Early Development Census 2024,madipge-aedc-d-core-2024,"MADIP GE, d, AEDC, General analytical data, 2024"
AEDC,Australian Early Development Census Domain 2009,madipge-aedc-d-domain-2009,"MADIP GE, d, AEDC, Domain data, 2009"
AEDC,Australian Early Development Census Domain 2012,madipge-aedc-d-domain-2012,"MADIP GE, d, AEDC, Domain data, 2012"
AEDC,Australian Early Development Census Domain 2015,madipge-aedc-d-domain-2015,"MADIP GE, d, AEDC, Domain data, 2015"
AEDC,Australian Early Development Census Domain 2018,madipge-aedc-d-domain-2018,"MADIP GE, d, AEDC, Domain data, 2018"
AEDC,Australian Early Development Census Domain 2021,madipge-aedc-d-domain-2021,"MADIP GE, d, AEDC, Domain data, 2021"
AEDC,Australian Early Development Census Domain 2024,madipge-aedc-d-domain-2024,"MADIP GE, d, AEDC, Domain data, 2024"
AEDC,Australian Early Development Census Indigenous 2009,madipge-aedc-d-indigenous-2009,"MADIP GE, d, AEDC, Indigenous status data, 2009"
AEDC,Australian Early Development Census Indigenous 2012,madipge-aedc-d-indigenous-2012,"MADIP GE, d, AEDC, Indigenous status data, 2012"
AEDC,Australian Early Development Census Indigenous 2015,madipge-aedc-d-indigenous-2015,"MADIP GE, d, AEDC, Indigenous status data, 2015"
AEDC,Australian Early Development Census Indigenous 2018,madipge-aedc-d-indigenous-2018,"MADIP GE, d, AEDC, Indigenous status data, 2018"
AEDC,Australian Early Development Census Indigenous 2021,madipge-aedc-d-indigenous-2021,"MADIP GE, d, AEDC, Indigenous status data, 2021"
AEDC,Australian Early Development Census Indigenous 2024,madipge-aedc-d-indigenous-2024,"MADIP GE, d, AEDC, Indigenous status data, 2024"
AEDC,Australian Early Development Census Language 2009,madipge-aedc-d-language-2009,"MADIP GE, d, AEDC, Language data, 2009"
AEDC,Australian Early Development Census Language 2012,madipge-aedc-d-language-2012,"MADIP GE, d, AEDC, Language data, 2012"
AEDC,Australian Early Development Census Language 2015,madipge-aedc-d-language-2015,"MADIP GE, d, AEDC, Language data, 2015"
AEDC,Australian Early Development Census Language 2018,madipge-aedc-d-language-2018,"MADIP GE, d, AEDC, Language data, 2018"
AEDC,Australian Early Development Census Language 2021,madipge-aedc-d-language-2021,"MADIP GE, d, AEDC, Language data, 2021"
AEDC,Australian Early Development Census Language 2024,madipge-aedc-d-language-2024,"MADIP GE, d, AEDC, Language data, 2024"
AEDC,Australian Early Development Census Special Needs 2009,madipge-aedc-d-specialneeds-2009,"MADIP GE, d, AEDC, Special Needs data, 2009"
AEDC,Australian Early Development Census Special Needs 2012,madipge-aedc-d-specialneeds-2012,"MADIP GE, d, AEDC, Special Needs data, 2012"
AEDC,Australian Early Development Census Special Needs 2015,madipge-aedc-d-specialneeds-2015,"MADIP GE, d, AEDC, Special Needs data, 2015"
AEDC,Australian Early Development Census Special Needs 2018,madipge-aedc-d-specialneeds-2018,"MADIP GE, d, AEDC, Special Needs data, 2018"
AEDC,Australian Early Development Census Special Needs 2021,madipge-aedc-d-specialneeds-2021,"MADIP GE, d, AEDC, Special Needs data, 2021"
AEDC,Australian Early Development Census Special Needs 2024,madipge-aedc-d-specialneeds-2024,"MADIP GE, d, AEDC, Special Needs data, 2024"
AIR,Australian Immunisation Register 2010 - latest,madip-vacstrat-air,"MADIP, Australian Immunisation Register, 2010 - latest"
AMEP,Adult Migrant English Program (AMEP) 2003-2019,madipge-mig-d-amep-activity-03-11,"MADIP GE, 100121d, MIGRATION, AMEP client activity, 2003-2011"
AMEP,Adult Migrant English Program (AMEP) 2003-2019,madipge-mig-d-amep-activity-11-19,"MADIP GE, 100122d, MIGRATION, AMEP client activity, 2011-2019"
AMEP,Adult Migrant English Program (AMEP) 2003-2019,madipge-mig-d-amep-address-03-19,"MADIP GE, 100119d, MIGRATION, AMEP Address details, 2003-2019"
AMEP,Adult Migrant English Program (AMEP) 2003-2019,madipge-mig-d-amep-award-codes-03-19,"MADIP GE, 100124d, MIGRATION, AMEP language course reference codes, 2003-2019"
AMEP,Adult Migrant English Program (AMEP) 2003-2019,madipge-mig-d-amep-awards-03-19,"MADIP GE, 100123d, MIGRATION, AMEP language course, 2003-2019"
AMEP,Adult Migrant English Program (AMEP) 2003-2019,madipge-mig-d-amep-client-03-19,"MADIP GE, 100120d, MIGRATION, AMEP client profile, 2003-2019"
AMEP,Adult Migrant English Program (AMEP) 2003-2019,madipge-mig-d-amep-english-03-19,"MADIP GE, 100125d, MIGRATION, AMEP English proficiency, 2003-2019"
APSED,APS Employment Dataset,pmp-apsed,"PMP, APS Employment Dataset"
ATO_CR,ATO Client Register 1999 - latest,madipge-ato-d-clientreg-demogs-1999-current,"MADIP GE, d, ATO, Client Register - Demographics, 1999-current"
ATO_CR,ATO Client Register 1999 - latest,madipge-ato-d-clientregaddr-1999-current,"MADIP GE, d, ATO, Client Register - Address, 1999-current"
ATO_MCS,Member Contributions Statement,pmp-ato-mcs,"PMP, ATO Member Contributions Statement"
BIRTHS,Birth Registrations 2006 - latest,plidage-births-2006-latest,Birth Registrations 2006 - latest
BUSOWN,Business Ownership,madipge-ato-d-business-owners-fy0910,"MADIP GE, d, ATO, business owners concordance, fy2009-10"
BUSOWN,Business Ownership,madipge-ato-d-business-owners-fy1011,"MADIP GE, d, ATO, business owners concordance, fy2010-11"
BUSOWN,Business Ownership,madipge-ato-d-business-owners-fy1112,"MADIP GE, d, ATO, business owners concordance, fy2011-12"
BUSOWN,Business Ownership,madipge-ato-d-business-owners-fy1213,"MADIP GE, d, ATO, business owners concordance, fy2012-13"
BUSOWN,Business Ownership,madipge-ato-d-business-owners-fy1314,"MADIP GE, d, ATO, business owners concordance, fy2013-14"
BUSOWN,Business Ownership,madipge-ato-d-business-owners-fy1415,"MADIP GE, d, ATO, business owners concordance, fy2014-15"
BUSOWN,Business Ownership,madipge-ato-d-business-owners-fy1516,"MADIP GE, d, ATO, business owners concordance, fy2015-16"
BUSOWN,Business Ownership,madipge-ato-d-business-owners-fy1617,"MADIP GE, d, ATO, business owners concordance, fy2016-17"
BUSOWN,Business Ownership,madipge-ato-d-business-owners-fy1718,"MADIP GE, d, ATO, business owners concordance, fy2017-18"
BUSOWN,Business Ownership,madipge-ato-d-business-owners-fy1819,"MADIP GE, d, ATO, business owners concordance, fy2018-19"
BUSOWN,Business Ownership,madipge-ato-d-business-owners-fy1920,"MADIP GE, d, ATO, business owners concordance, fy2019-20"
BUSOWN,Business Ownership,madipge-ato-d-business-owners-fy2021,"MADIP GE, d, ATO, business owners concordance, fy2020-21"
BUSOWN,Business Ownership,madipge-ato-d-business-owners-fy2122,"MADIP GE, d, ATO, business owners concordance, fy2021-22"
BUSOWN,Business Ownership,madipge-ato-d-business-owners-fy2223,"MADIP GE, d, ATO, business owners concordance, fy2022-23"
BUSOWN,Business Ownership,madipge-ato-d-business-owners-fy2324,"MADIP GE, d, ATO, business owners concordance, fy2023-24"
CENSUS,Census of Population and Housing 2011,madipge-cen11-d-dwelling-2011,"MADIP GE, 040103d, CENSUS2011, Dwelling level variables, 2011"
CENSUS,Census of Population and Housing 2011,madipge-cen11-d-family-2011,"MADIP GE, 040102d, CENSUS2011, Family level variables, 2011"
CENSUS,Census of Population and Housing 2011,madipge-cen11-d-person-2011,"MADIP GE, 040101d, CENSUS2011, Person level variables, 2011"
CENSUS,Census of Population and Housing 2016,madip-ge-030101d-census2016-census2016person-2016,"MADIP GE, 030101d, CENSUS2016, Person level variables, 2016"
CENSUS,Census of Population and Housing 2016,madip-ge-030102d-census2016-census2016family-2016,"MADIP GE, 030102d, CENSUS2016, Family level variables, 2016"
CENSUS,Census of Population and Housing 2016,madip-ge-030103d-census2016-census2016dwelling-2016,"MADIP GE, 030103d, CENSUS2016, Dwelling level variables, 2016"
CENSUS,Census of Population and Housing 2021,madipge-cen21-d-dwelling-2021,"MADIP GE, d, CENSUS2021, Dwelling level variables, 2021"
CENSUS,Census of Population and Housing 2021,madipge-cen21-d-family-2021,"MADIP GE, d, CENSUS2021, Family level variables, 2021"
CENSUS,Census of Population and Housing 2021,madipge-cen21-d-person-2021,"MADIP GE, d, CENSUS2021, Person level variables, 2021"
CGT,Capital Gains Tax,pmp-cgt-2000-01,"MADIP GE, d, CGT, Capital Gains Tax, fy0001"
CGT,Capital Gains Tax,pmp-cgt-2001-02,"MADIP GE, d, CGT, Capital Gains Tax, fy0102"
CGT,Capital Gains Tax,pmp-cgt-2002-03,"MADIP GE, d, CGT, Capital Gains Tax, fy0203"
CGT,Capital Gains Tax,pmp-cgt-2003-04,"MADIP GE, d, CGT, Capital Gains Tax, fy0304"
CGT,Capital Gains Tax,pmp-cgt-2004-05,"MADIP GE, d, CGT, Capital Gains Tax, fy0405"
CGT,Capital Gains Tax,pmp-cgt-2005-06,"MADIP GE, d, CGT, Capital Gains Tax, fy0506"
CGT,Capital Gains Tax,pmp-cgt-2006-07,"MADIP GE, d, CGT, Capital Gains Tax, fy0607"
CGT,Capital Gains Tax,pmp-cgt-2007-08,"MADIP GE, d, CGT, Capital Gains Tax, fy0708"
CGT,Capital Gains Tax,pmp-cgt-2008-09,"MADIP GE, d, CGT, Capital Gains Tax, fy0809"
CGT,Capital Gains Tax,pmp-cgt-2009-10,"MADIP GE, d, CGT, Capital Gains Tax, fy0910"
CGT,Capital Gains Tax,pmp-cgt-2010-11,"MADIP GE, d, CGT, Capital Gains Tax, fy1011"
CGT,Capital Gains Tax,pmp-cgt-2011-12,"MADIP GE, d, CGT, Capital Gains Tax, fy1112"
CGT,Capital Gains Tax,pmp-cgt-2012-13,"MADIP GE, d, CGT, Capital Gains Tax, fy1213"
CGT,Capital Gains Tax,pmp-cgt-2013-14,"MADIP GE, d, CGT, Capital Gains Tax, fy1314"
CGT,Capital Gains Tax,pmp-cgt-2014-15,"MADIP GE, d, CGT, Capital Gains Tax, fy1415"
CGT,Capital Gains Tax,pmp-cgt-2015-16,"MADIP GE, d, CGT, Capital Gains Tax, fy1516"
CGT,Capital Gains Tax,pmp-cgt-2016-17,"MADIP GE, d, CGT, Capital Gains Tax, fy1617"
CGT,Capital Gains Tax,pmp-cgt-2017-18,"MADIP GE, d, CGT, Capital Gains Tax, fy1718"
CGT,Capital Gains Tax,pmp-cgt-2018-19,"MADIP GE, d, CGT, Capital Gains Tax, fy1819"
CGT,Capital Gains Tax,pmp-cgt-2019-20,"MADIP GE, d, CGT, Capital Gains Tax, fy1920"
CGT,Capital Gains Tax,pmp-cgt-2020-21,"MADIP GE, d, CGT, Capital Gains Tax, fy2021"
CGT,Capital Gains Tax,pmp-cgt-2021-22,"MADIP GE, d, CGT, Capital Gains Tax, fy2122"
CGT,Capital Gains Tax,pmp-cgt-2022-23,"MADIP GE, d, CGT, Capital Gains Tax, fy2223"
COMBINED,Combined Demographics Indigenous status 2006-latest (2011 Census),madipge-comb-d-demog-ind-c11-06-latest,"MADIP GE, d, COMBINED, Combined demographics indigenous variables - includes 2011 Census, 2006-latest"
COMBINED,Combined Demographics Indigenous status 2006-latest (2016 Census),madipge-comb-d-demog-ind-c16-06-latest,"MADIP GE, d, COMBINED, Combined demographics indigenous variables - includes 2016 Census, 2006-latest"
COMBINED,Combined Demographics Indigenous status 2006-latest (2021 Census),madipge-comb-d-demog-ind-c21-06-latest,"MADIP GE, d, COMBINED, Combined demographics indigenous variables - includes 2021 Census, 2006-latest"
COMBINED,Combined Demographics Indigenous status 2006-latest (No Census),madipge-comb-d-demog-ind-nc-06-latest,"MADIP GE, d, COMBINED, Combined demographics indigenous variables -no census, 2006-latest"
CORE,Core Demographics 2006-latest (2011 Census),plidage-core-demog-cb-c11-2006-latest,"PLIDAGE CORE, Combined, Demographics, 2006-latest (Census 2011 version)"
CORE,Core Demographics 2006-latest (2011 Census),plidage-core-demog-ss-c11-2006-latest,"PLIDAGE CORE, Single Source, Demographics, 2006-latest (Census 2011 version)"
CORE,Core Demographics 2006-latest (2016 Census),plidage-core-demog-cb-c16-2006-latest,"PLIDAGE CORE, Combined, Demographics, 2006-latest (Census 2016 version)"
CORE,Core Demographics 2006-latest (2016 Census),plidage-core-demog-ss-c16-2006-latest,"PLIDAGE CORE, Single Source, Demographics, 2006-latest (Census 2016 version)"
CORE,Core Demographics 2006-latest (2021 Census),plidage-core-demog-cb-c21-2006-latest,"PLIDAGE CORE, Combined, Demographics, 2006-latest (Census 2021 version)"
CORE,Core Demographics 2006-latest (2021 Census),plidage-core-demog-ss-c21-2006-latest,"PLIDAGE CORE, Single Source, Demographics, 2006-latest (Census 2021 version)"
CORE,Core Demographics 2006-latest (No Census),plidage-core-demog-cb-nc-2006-latest,"PLIDAGE CORE, Combined, Demographics, 2006-latest (No Census version)"
CORE,Core Demographics 2006-latest (No Census),plidage-core-demog-ss-nc-2006-latest,"PLIDAGE CORE, Single Source, Demographics, 2006-latest (No Census version)"
CORE,Core Income,plidage-core-income-cb-annual,"PLIDAGE CORE, Combined Annual Income"
CORE,Core Income,plidage-core-income-cb-weekly,"PLIDAGE CORE, Combined Weekly Income"
CORE,Core Income,plidage-core-income-ss-annual,"PLIDAGE CORE, Single Source Annual Income"
CORE,Core Income,plidage-core-income-ss-weekly,"PLIDAGE CORE, Single Source Weekly Income"
CORE,Core Locations 2006-latest,plidage-core-locat-cb-2006-latest,"PLIDAGE CORE, Combined, Locations, 2006-latest"
CORE,Core Locations 2006-latest,plidage-core-locat-ss-2006-latest,"PLIDAGE CORE, Single Source, Locations, 2006-latest"
CORE,Core Relationships 2006-latest (2011 Census),plidage-core-relat-cb-c11-2006-latest,"PLIDAGE CORE, Combined, Relationships, 2006-latest (Census 2011 version)"
CORE,Core Relationships 2006-latest (2011 Census),plidage-core-relat-ss-c11-2006-latest,"PLIDAGE CORE, Single Source, Relationships, 2006-latest (Census 2011 version)"
